date,state,district,pincode,bio_age_5_17,bio_age_17_
16-10-2025,Andaman & Nicobar Islands,Andamans,744101,0,7
16-10-2025,Andaman & Nicobar Islands,South Andaman,744102,0,1
28-10-2025,Andaman & Nicobar Islands,Andamans,744209,0,1
26-10-2025,Andaman & Nicobar Islands,Andamans,744105,2,3
26-10-2025,Andaman & Nicobar Islands,South Andaman,744107,0,1
25-10-2025,Andaman & Nicobar Islands,Andamans,744207,0,1
25-10-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
18-10-2025,Andaman & Nicobar Islands,Andamans,744106,0,1
18-10-2025,Andaman & Nicobar Islands,Andamans,744112,1,0
31-10-2025,Andaman & Nicobar Islands,Andamans,744112,0,1
30-10-2025,Andaman & Nicobar Islands,Andamans,744106,0,1
01-11-2025,Andaman & Nicobar Islands,Andamans,744103,1,2
05-11-2025,Andaman & Nicobar Islands,Andamans,744105,1,2
15-11-2025,Andaman & Nicobar Islands,South Andaman,744105,0,1
16-11-2025,Andaman & Nicobar Islands,Andamans,744103,1,2
16-11-2025,Andaman & Nicobar Islands,Andamans,744112,0,1
16-11-2025,Andaman & Nicobar Islands,South Andaman,744107,0,1
02-12-2025,Andaman & Nicobar Islands,Andamans,744206,0,1
18-12-2025,Andaman & Nicobar Islands,South Andaman,744105,0,1
08-12-2025,Andaman & Nicobar Islands,South Andaman,744107,1,0
09-12-2025,Andaman & Nicobar Islands,Andamans,744103,0,1
07-12-2025,Andaman & Nicobar Islands,South Andaman,744105,1,0
25-12-2025,Andaman & Nicobar Islands,South Andaman,744105,0,2
27-12-2025,Andaman & Nicobar Islands,South Andaman,744107,0,3
28-12-2025,Andaman & Nicobar Islands,Andamans,744105,1,0
29-12-2025,Andaman & Nicobar Islands,Andamans,744103,1,2
29-12-2025,Andaman & Nicobar Islands,Andamans,744106,1,1
29-12-2025,Andaman & Nicobar Islands,Andamans,744107,0,1
29-12-2025,Andaman & Nicobar Islands,South Andaman,744107,0,2
01-01-2026,Andaman & Nicobar Islands,Andamans,744101,2,3
01-01-2026,Andaman & Nicobar Islands,Andamans,744103,0,4
01-01-2026,Andaman & Nicobar Islands,South Andaman,744105,0,2
01-01-2026,Andaman & Nicobar Islands,South Andaman,744107,0,1
03-01-2026,Andaman & Nicobar Islands,Andamans,744101,0,2
02-01-2026,Andaman & Nicobar Islands,Andamans,744101,1,7
02-01-2026,Andaman & Nicobar Islands,Andamans,744103,0,4
23-12-2025,Andaman & Nicobar Islands,Andamans,744107,0,1
09-12-2025,Andaman & Nicobar Islands,South Andaman,744206,0,2
11-12-2025,Andaman & Nicobar Islands,South Andaman,744206,0,2
15-11-2025,Andaman & Nicobar Islands,Andamans,744106,0,1
26-11-2025,Andaman & Nicobar Islands,Andamans,744106,0,3
18-11-2025,Andaman & Nicobar Islands,Andamans,744206,0,1
18-11-2025,Andaman & Nicobar Islands,Andamans,744211,0,1
19-11-2025,Andaman & Nicobar Islands,Andamans,744102,0,1
10-11-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
30-10-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
