date,state,district,pincode,bio_age_5_17,bio_age_17_
03-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744203,1,0
06-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,7,0
07-12-2025,Andaman and Nicobar Islands,Nicobar,744303,12,2
07-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,12,4
07-12-2025,Andaman and Nicobar Islands,South Andaman,744105,13,1
07-12-2025,Andaman and Nicobar Islands,South Andaman,744206,5,0
09-12-2025,Andaman and Nicobar Islands,Nicobar,744302,1,0
14-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744210,0,1
13-12-2025,Andaman and Nicobar Islands,South Andaman,744102,1,0
02-01-2026,Andaman and Nicobar Islands,Nicobar,744301,1,0
02-01-2026,Andaman and Nicobar Islands,South Andaman,744105,6,0
02-01-2026,Andaman and Nicobar Islands,South Andaman,744106,3,4
02-01-2026,Andaman and Nicobar Islands,South Andaman,744107,2,1
02-01-2026,Andaman and Nicobar Islands,South Andaman,744206,1,0
03-01-2026,Andaman and Nicobar Islands,South Andaman,744102,0,1
03-01-2026,Andaman and Nicobar Islands,South Andaman,744105,0,2
03-01-2026,Andaman and Nicobar Islands,South Andaman,744106,2,0
03-01-2026,Andaman and Nicobar Islands,South Andaman,744107,1,0
25-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744201,1,0
25-12-2025,Andaman and Nicobar Islands,South Andaman,744107,4,1
25-12-2025,Andaman and Nicobar Islands,South Andaman,744112,0,1
25-12-2025,Andaman and Nicobar Islands,South Andaman,744206,3,4
29-12-2025,Andaman and Nicobar Islands,Nicobar,744303,1,0
29-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744209,0,1
29-12-2025,Andaman and Nicobar Islands,South Andaman,744104,0,1
27-12-2025,Andaman and Nicobar Islands,Nicobar,744301,1,0
27-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,0,1
27-12-2025,Andaman and Nicobar Islands,South Andaman,744101,4,1
27-12-2025,Andaman and Nicobar Islands,South Andaman,744105,3,1
27-12-2025,Andaman and Nicobar Islands,South Andaman,744106,5,1
27-12-2025,Andaman and Nicobar Islands,South Andaman,744207,1,0
28-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,0,1
28-12-2025,Andaman and Nicobar Islands,South Andaman,744107,1,0
25-12-2025,Andaman and Nicobar Islands,South Andaman,744207,0,2
17-12-2025,Andaman and Nicobar Islands,South Andaman,744106,0,3
18-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,0,2
18-12-2025,Andaman and Nicobar Islands,South Andaman,744102,0,4
19-12-2025,Andaman and Nicobar Islands,South Andaman,744102,0,2
20-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744201,0,1
20-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,1,1
21-12-2025,Andaman and Nicobar Islands,South Andaman,744103,0,2
12-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744209,0,1
12-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744210,0,2
15-12-2025,Andaman and Nicobar Islands,South Andaman,744112,0,2
14-12-2025,Andaman and Nicobar Islands,South Andaman,744101,0,1
11-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744209,0,1
10-12-2025,Andaman and Nicobar Islands,North And Middle Andaman,744201,0,1
29-11-2025,Andaman and Nicobar Islands,Nicobar,744301,0,2
29-11-2025,Andaman and Nicobar Islands,Nicobar,744302,1,0
27-11-2025,Andaman and Nicobar Islands,North And Middle Andaman,744201,0,1
30-11-2025,Andaman and Nicobar Islands,South Andaman,744105,0,3
16-12-2025,Andaman and Nicobar Islands,South Andaman,744112,0,2
06-12-2025,Andaman and Nicobar Islands,South Andaman,744106,0,1
22-11-2025,Andaman and Nicobar Islands,South Andaman,744101,1,4
22-11-2025,Andaman and Nicobar Islands,South Andaman,744104,0,1
26-11-2025,Andaman and Nicobar Islands,Nicobar,744304,0,1
26-11-2025,Andaman and Nicobar Islands,North And Middle Andaman,744209,0,1
17-11-2025,Andaman and Nicobar Islands,Nicobar,744303,0,1
16-11-2025,Andaman and Nicobar Islands,North And Middle Andaman,744201,0,1
15-11-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,0,1
13-11-2025,Andaman and Nicobar Islands,Nicobar,744304,0,1
08-11-2025,Andaman and Nicobar Islands,North And Middle Andaman,744205,0,1
08-11-2025,Andaman and Nicobar Islands,South Andaman,744101,0,2
08-11-2025,Andaman and Nicobar Islands,South Andaman,744206,0,2
09-11-2025,Andaman and Nicobar Islands,South Andaman,744101,0,1
01-11-2025,Andaman and Nicobar Islands,South Andaman,744105,0,7
30-10-2025,Andaman and Nicobar Islands,South Andaman,744112,0,1
01-03-2025,Andaman and Nicobar Islands,South Andaman,744101,144,66
01-03-2025,Andaman and Nicobar Islands,South Andaman,744106,49,30
01-03-2025,Andaman and Nicobar Islands,South Andaman,744102,30,28
01-03-2025,Andaman and Nicobar Islands,South Andaman,744103,199,81
01-04-2025,Andaman and Nicobar Islands,South Andaman,744101,130,81
01-04-2025,Andaman and Nicobar Islands,North And Middle Andaman,744205,169,87
01-04-2025,Andaman and Nicobar Islands,South Andaman,744103,170,89
01-04-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,109,77
01-04-2025,Andaman and Nicobar Islands,South Andaman,744112,12,12
01-05-2025,Andaman and Nicobar Islands,North And Middle Andaman,744210,12,19
01-05-2025,Andaman and Nicobar Islands,South Andaman,744102,34,43
01-05-2025,Andaman and Nicobar Islands,North And Middle Andaman,744201,33,31
