date,state,district,pincode,bio_age_5_17,bio_age_17_
26-06-2025,Arunachal Pradesh,Tirap,786631,0,1
26-06-2025,Arunachal Pradesh,West Siang,791125,1,5
27-06-2025,Arunachal Pradesh,Tirap,786631,0,1
22-06-2025,Arunachal Pradesh,East Kameng,790102,0,2
21-06-2025,Arunachal Pradesh,Changlang,792056,1,9
21-06-2025,Arunachal Pradesh,Lohit,792001,0,2
21-06-2025,Arunachal Pradesh,Siang,791102,0,2
23-06-2025,Arunachal Pradesh,Longding,786630,0,1
23-06-2025,Arunachal Pradesh,Papum Pare,791119,1,0
23-06-2025,Arunachal Pradesh,Siang,791102,1,12
23-06-2025,Arunachal Pradesh,Tirap,786630,0,4
24-06-2025,Arunachal Pradesh,Lohit,792111,1,2
28-06-2025,Arunachal Pradesh,Anjaw,792104,0,1
28-06-2025,Arunachal Pradesh,East Siang,791104,0,6
28-06-2025,Arunachal Pradesh,West Kameng,790114,0,1
28-06-2025,Arunachal Pradesh,West Siang,791125,0,3
29-06-2025,Arunachal Pradesh,East Siang,791102,0,4
29-06-2025,Arunachal Pradesh,Papum Pare,791123,0,6
15-06-2025,Arunachal Pradesh,Longding,792131,0,2
15-06-2025,Arunachal Pradesh,Lower Dibang Valley,792110,0,1
15-06-2025,Arunachal Pradesh,Namsai,792102,0,1
15-06-2025,Arunachal Pradesh,Namsai,792105,0,3
15-06-2025,Arunachal Pradesh,Tawang,790104,0,1
30-05-2025,Arunachal Pradesh,Changlang,792121,0,1
30-05-2025,Arunachal Pradesh,Longding,786631,0,1
30-05-2025,Arunachal Pradesh,Upper Siang,791105,0,1
25-05-2025,Arunachal Pradesh,Kra Daadi,791118,1,0
25-05-2025,Arunachal Pradesh,Namsai,792105,0,1
25-05-2025,Arunachal Pradesh,Papum Pare,791111,1,1
24-05-2025,Arunachal Pradesh,Lower Dibang Valley,792110,1,1
24-05-2025,Arunachal Pradesh,Lower Subansiri,791120,0,6
24-05-2025,Arunachal Pradesh,Tirap,792130,0,1
29-05-2025,Arunachal Pradesh,Kamle,791130,1,1
22-05-2025,Arunachal Pradesh,Lower Siang,791102,0,1
23-05-2025,Arunachal Pradesh,East Siang,791104,0,6
23-05-2025,Arunachal Pradesh,Lohit,792103,0,5
23-05-2025,Arunachal Pradesh,West Kameng,790116,0,3
18-10-2025,Arunachal Pradesh,Lohit,792102,0,2
18-10-2025,Arunachal Pradesh,Longding,792131,0,3
18-10-2025,Arunachal Pradesh,Papum Pare,791109,0,2
18-10-2025,Arunachal Pradesh,Papum Pare,791112,2,0
18-10-2025,Arunachal Pradesh,Upper Subansiri,791122,2,2
18-10-2025,Arunachal Pradesh,West Siang,791001,1,7
18-10-2025,Arunachal Pradesh,West Siang,791101,1,1
19-10-2025,Arunachal Pradesh,Lower Dibang Valley,792110,0,1
19-10-2025,Arunachal Pradesh,Pakke Kessang,790103,0,1
19-10-2025,Arunachal Pradesh,Papum Pare,791123,0,1
21-10-2025,Arunachal Pradesh,Kra Daadi,791118,3,2
21-10-2025,Arunachal Pradesh,Longding,792130,0,1
21-10-2025,Arunachal Pradesh,Lower Subansiri,791120,7,10
21-10-2025,Arunachal Pradesh,Pakke Kessang,790103,0,1
21-10-2025,Arunachal Pradesh,Tawang,790104,6,3
21-10-2025,Arunachal Pradesh,Upper Subansiri,791122,13,11
21-10-2025,Arunachal Pradesh,West Siang,791001,11,4
04-06-2025,Arunachal Pradesh,Dibang Valley,792110,0,1
04-06-2025,Arunachal Pradesh,Tirap,786629,0,1
26-05-2025,Arunachal Pradesh,Changlang,792123,0,3
26-05-2025,Arunachal Pradesh,Tirap,792129,0,2
26-05-2025,Arunachal Pradesh,Upper Siang,792061,1,3
27-05-2025,Arunachal Pradesh,Kamle,791130,0,2
02-06-2025,Arunachal Pradesh,Longding,786630,0,1
02-06-2025,Arunachal Pradesh,Pakke Kessang,790103,0,1
03-06-2025,Arunachal Pradesh,Pakke Kessang,790103,0,2
03-06-2025,Arunachal Pradesh,Papum Pare,791109,0,1
09-06-2025,Arunachal Pradesh,Papum Pare,791121,0,2
31-05-2025,Arunachal Pradesh,Upper Siang,791002,0,3
28-05-2025,Arunachal Pradesh,Tirap,792129,0,5
28-05-2025,Arunachal Pradesh,Upper Siang,791105,1,0
25-07-2025,Arunachal Pradesh,East Kameng,790103,0,1
25-07-2025,Arunachal Pradesh,Lower Siang,791101,0,1
24-07-2025,Arunachal Pradesh,Changlang,792103,2,14
13-08-2025,Arunachal Pradesh,Tirap,792129,1,0
13-08-2025,Arunachal Pradesh,West Kameng,790002,0,3
13-08-2025,Arunachal Pradesh,West Kameng,790114,0,1
05-08-2025,Arunachal Pradesh,Changlang,792121,1,2
05-08-2025,Arunachal Pradesh,Lower Siang,791125,0,9
05-08-2025,Arunachal Pradesh,Papum Pare,791121,0,3
05-08-2025,Arunachal Pradesh,Shi-yomi,791003,0,5
06-08-2025,Arunachal Pradesh,East Kameng,790103,0,2
02-08-2025,Arunachal Pradesh,Kamle,791130,0,1
02-08-2025,Arunachal Pradesh,Lohit,792001,0,2
02-08-2025,Arunachal Pradesh,Lower Subansiri,791119,0,3
08-08-2025,Arunachal Pradesh,Kamle,791130,0,1
08-08-2025,Arunachal Pradesh,Siang,791001,0,4
08-08-2025,Arunachal Pradesh,West Kameng,790116,1,1
12-07-2025,Arunachal Pradesh,Changlang,792122,0,7
11-07-2025,Arunachal Pradesh,Longding,786630,0,1
11-07-2025,Arunachal Pradesh,Tirap,792130,1,1
02-07-2025,Arunachal Pradesh,Changlang,792055,0,1
02-07-2025,Arunachal Pradesh,Tawang,790105,0,5
02-07-2025,Arunachal Pradesh,Tirap,792129,0,7
02-07-2025,Arunachal Pradesh,West Kameng,790114,0,2
01-07-2025,Arunachal Pradesh,Tirap,786629,0,1
06-07-2025,Arunachal Pradesh,Lohit,792001,0,2
06-07-2025,Arunachal Pradesh,Papum Pare,791110,0,2
03-07-2025,Arunachal Pradesh,Dibang Valley,792101,0,1
03-07-2025,Arunachal Pradesh,Longding,786631,0,2
03-07-2025,Arunachal Pradesh,Lower Siang,791102,0,1
03-07-2025,Arunachal Pradesh,Papum Pare,791119,0,3
03-07-2025,Arunachal Pradesh,Upper Siang,792061,1,2
03-07-2025,Arunachal Pradesh,West Kameng,790116,0,4
20-06-2025,Arunachal Pradesh,Changlang,792121,0,1
20-06-2025,Arunachal Pradesh,Shi-yomi,791003,0,2
20-06-2025,Arunachal Pradesh,Tirap,786630,0,4
04-08-2025,Arunachal Pradesh,Leparada,791101,1,1
07-08-2025,Arunachal Pradesh,Changlang,792055,0,1
07-08-2025,Arunachal Pradesh,Lohit,792111,0,4
03-08-2025,Arunachal Pradesh,Lower Dibang Valley,792110,0,2
03-08-2025,Arunachal Pradesh,Papum Pare,791112,0,3
31-07-2025,Arunachal Pradesh,Lohit,792103,0,1
30-07-2025,Arunachal Pradesh,East Siang,791102,0,3
30-07-2025,Arunachal Pradesh,Kamle,791130,0,1
30-07-2025,Arunachal Pradesh,Lohit,792102,0,3
30-07-2025,Arunachal Pradesh,Longding,786630,0,1
30-07-2025,Arunachal Pradesh,Tirap,786629,0,2
29-07-2025,Arunachal Pradesh,Pakke Kessang,790103,1,0
29-07-2025,Arunachal Pradesh,Tirap,786631,0,1
28-07-2025,Arunachal Pradesh,Kamle,791130,1,0
28-07-2025,Arunachal Pradesh,Tirap,792129,0,2
27-07-2025,Arunachal Pradesh,Namsai,792103,1,1
26-07-2025,Arunachal Pradesh,Lower Dibang Valley,792110,0,2
26-07-2025,Arunachal Pradesh,Siang,791102,0,1
26-07-2025,Arunachal Pradesh,West Siang,792051,1,1
16-07-2025,Arunachal Pradesh,East Kameng,790103,0,1
16-07-2025,Arunachal Pradesh,Siang,791102,2,8
