date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Chandigarh,Chandigarh,160025,135,244
01-03-2025,Chandigarh,Chandigarh,160022,80,108
01-03-2025,Chandigarh,Chandigarh,160055,87,49
01-03-2025,Chandigarh,Chandigarh,160009,26,27
01-05-2025,Chandigarh,Chandigarh,160018,16,13
01-05-2025,Chandigarh,Chandigarh,160009,15,20
01-04-2025,Chandigarh,Chandigarh,160009,39,25
01-04-2025,Chandigarh,Chandigarh,160023,49,40
01-04-2025,Chandigarh,Chandigarh,160001,30,10
01-05-2025,Chandigarh,Chandigarh,160001,13,12
25-10-2025,Chandigarh,Chandigarh,160017,1,0
28-10-2025,Chandigarh,Mohali,140603,1,0
02-11-2025,Chandigarh,Chandigarh,140901,1,0
02-11-2025,Chandigarh,Chandigarh,160017,1,1
18-11-2025,Chandigarh,Chandigarh,160017,0,2
01-12-2025,Chandigarh,Chandigarh,160062,1,0
05-12-2025,Chandigarh,Chandigarh,160009,0,1
25-12-2025,Chandigarh,Chandigarh,160015,0,3
25-12-2025,Chandigarh,Chandigarh,160023,0,3
25-12-2025,Chandigarh,Chandigarh,160030,0,3
25-12-2025,Chandigarh,Chandigarh,160101,3,14
24-12-2025,Chandigarh,Chandigarh,160009,1,5
03-12-2025,Chandigarh,Mohali,140603,1,0
25-12-2025,Chandigarh,Chandigarh,140901,1,0
25-12-2025,Chandigarh,Chandigarh,160012,2,2
27-12-2025,Chandigarh,Chandigarh,160002,7,8
27-12-2025,Chandigarh,Chandigarh,160014,4,13
27-12-2025,Chandigarh,Chandigarh,160023,3,1
27-12-2025,Chandigarh,Chandigarh,160030,0,4
27-12-2025,Chandigarh,Chandigarh,160047,9,10
27-12-2025,Chandigarh,Chandigarh,160102,6,4
27-12-2025,Chandigarh,Chandigarh,160103,0,3
27-12-2025,Chandigarh,Rupnagar,160014,0,2
28-12-2025,Chandigarh,Chandigarh,160014,5,5
28-12-2025,Chandigarh,Chandigarh,160055,0,1
29-12-2025,Chandigarh,Chandigarh,160001,0,1
29-12-2025,Chandigarh,Chandigarh,160012,0,1
29-12-2025,Chandigarh,Chandigarh,160022,1,2
29-12-2025,Chandigarh,Chandigarh,160025,3,2
29-12-2025,Chandigarh,Chandigarh,160047,18,11
01-01-2026,Chandigarh,Chandigarh,160002,7,11
01-01-2026,Chandigarh,Chandigarh,160003,1,1
01-01-2026,Chandigarh,Chandigarh,160012,0,1
01-01-2026,Chandigarh,Chandigarh,160015,0,4
01-01-2026,Chandigarh,Chandigarh,160018,1,1
01-01-2026,Chandigarh,Chandigarh,160103,1,1
21-12-2025,Chandigarh,Chandigarh,160011,0,2
21-12-2025,Chandigarh,Chandigarh,160030,0,1
12-12-2025,Chandigarh,Chandigarh,160015,1,8
14-12-2025,Chandigarh,Chandigarh,160002,0,8
14-12-2025,Chandigarh,Chandigarh,160011,0,1
14-12-2025,Chandigarh,Chandigarh,160012,1,5
03-01-2026,Chandigarh,Chandigarh,160014,2,4
03-01-2026,Chandigarh,Chandigarh,160022,1,0
03-01-2026,Chandigarh,Chandigarh,160036,0,2
02-01-2026,Chandigarh,Chandigarh,160003,3,0
02-01-2026,Chandigarh,Chandigarh,160009,0,1
02-01-2026,Chandigarh,Chandigarh,160055,4,3
02-01-2026,Chandigarh,Chandigarh,160101,15,17
02-01-2026,Chandigarh,Chandigarh,160102,11,8
22-12-2025,Chandigarh,Chandigarh,160001,0,2
08-12-2025,Chandigarh,Chandigarh,160018,0,3
11-12-2025,Chandigarh,Chandigarh,160001,0,5
11-12-2025,Chandigarh,Chandigarh,160011,0,1
06-12-2025,Chandigarh,Chandigarh,160103,0,4
07-12-2025,Chandigarh,Chandigarh,160002,2,11
07-12-2025,Chandigarh,Chandigarh,160022,0,6
13-11-2025,Chandigarh,Chandigarh,160018,0,2
13-11-2025,Chandigarh,Chandigarh,160062,0,1
13-11-2025,Chandigarh,Rupnagar,160014,0,1
14-11-2025,Chandigarh,Rupnagar,160055,0,1
16-11-2025,Chandigarh,Chandigarh,160018,0,1
28-11-2025,Chandigarh,Chandigarh,160017,0,1
24-11-2025,Chandigarh,Chandigarh,160003,0,5
01-12-2025,Chandigarh,Chandigarh,160011,0,4
01-12-2025,Chandigarh,Rupnagar,160055,0,1
