date,state,district,pincode,bio_age_5_17,bio_age_17_
12-11-2025,Chhatisgarh,Raipur,493889,1,0
29-08-2025,Chhatisgarh,Raipur,493889,0,1
21-06-2025,Chhatisgarh,Raipur,493889,0,1
16-06-2025,Chhatisgarh,Raipur,493889,0,1
20-06-2025,Chhatisgarh,Raipur,493889,0,1
06-11-2025,Chhatisgarh,Raipur,493889,0,1
14-10-2025,Chhatisgarh,Raipur,493889,0,1
26-06-2025,Chhatisgarh,Raipur,493889,0,1
13-10-2025,Chhatisgarh,Raipur,493889,1,1
11-10-2025,Chhatisgarh,Raipur,493889,0,1
25-11-2025,Chhatisgarh,Raipur,493889,1,0
23-05-2025,Chhatisgarh,Raipur,493889,0,1
12-06-2025,Chhatisgarh,Raipur,493889,0,1
14-07-2025,Chhatisgarh,Raipur,493889,0,1
03-01-2026,Chhatisgarh,Raipur,493889,1,0
08-12-2025,Chhatisgarh,Raipur,493889,0,2
12-08-2025,Chhatisgarh,Raipur,493889,0,1
24-06-2025,Chhatisgarh,Raipur,493889,0,2
18-06-2025,Chhatisgarh,Raipur,493889,0,1
22-07-2025,Chhatisgarh,Raipur,493889,0,1
11-12-2025,Chhatisgarh,Raipur,493889,0,1
15-06-2025,Chhatisgarh,Raipur,493889,0,1
14-06-2025,Chhatisgarh,Raipur,493889,0,1
25-06-2025,Chhatisgarh,Raipur,493889,0,1
10-11-2025,Chhatisgarh,Raipur,493889,1,0
24-11-2025,Chhatisgarh,Raipur,493889,0,1
22-09-2025,Chhatisgarh,Raipur,493889,0,1
15-07-2025,Chhatisgarh,Raipur,493889,0,1
16-09-2025,Chhatisgarh,Raipur,493889,0,1
