date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,13,126
02-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
25-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
13-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
07-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
18-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,1,0
11-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
22-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
27-08-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
01-07-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
03-07-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
11-07-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
11-07-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396240,0,1
14-07-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
23-07-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,4
31-07-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,2
24-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,3
19-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,1
24-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
16-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
12-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,4,6
15-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,1,0
15-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
26-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396235,0,1
17-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,2,3
20-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
24-06-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
12-07-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
16-06-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
23-05-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,4
25-05-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
02-06-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
06-06-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,2
