date,state,district,pincode,bio_age_5_17,bio_age_17_
26-06-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362520,0,1
21-06-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,0,2
28-06-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396193,0,2
28-06-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396235,0,1
15-06-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362540,0,3
30-05-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396193,0,2
30-05-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396240,0,1
30-05-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,1,4
29-05-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362520,0,4
25-05-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396235,0,2
25-05-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,0,3
21-05-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,1,3
22-05-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362520,0,2
22-05-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362540,0,1
19-10-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,0
04-06-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,2,4
26-05-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,0,2
27-05-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,2,4
02-06-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396193,0,2
03-06-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396193,0,1
31-05-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,0,1
09-06-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,1,3
09-06-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362520,0,2
01-06-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396240,0,2
24-07-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396240,0,2
06-08-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396193,0,2
02-08-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396235,0,2
02-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362540,0,7
01-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362540,0,2
06-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,0,1
03-07-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396193,1,1
03-07-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,0,1
20-06-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,1,16
01-08-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396240,1,5
01-08-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362540,0,3
07-08-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,1,0
07-08-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,2,4
16-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,0,4
19-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,0,2
15-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362540,0,2
18-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362520,1,1
18-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,3,4
17-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,0,2
22-07-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,1,1
10-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,1,0
14-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362540,0,1
09-07-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396193,0,4
13-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362540,0,1
07-07-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396193,0,2
07-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362520,0,1
07-07-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362540,1,9
30-06-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362540,0,1
