date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,732,1793
19-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
25-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
07-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,2,3
27-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,4,6
28-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,24,28
21-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,1
02-01-2026,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,2,7
11-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,3
09-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1
23-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
05-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,1
19-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1
29-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
16-08-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1
25-07-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
13-07-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,9,2
23-07-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,20,53
01-08-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,3,9
30-07-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,50,95
30-07-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,10
05-08-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,16,25
06-08-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,14,19
23-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,2,7
27-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,2,0
30-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,48,59
31-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,42,76
31-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,4,10
19-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,151,150
19-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,21,44
24-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,4
16-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,8,2
12-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,57,30
15-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,165,156
25-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,8,38
09-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,1
09-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,31,109
09-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,5,10
17-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,143,151
17-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,10,10
17-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,29,42
21-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,2
20-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,6,5
22-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,5,3
22-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,22,35
23-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,11,16
02-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,2,2
03-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,55,67
