date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Delhi,North West Delhi,110081,819,1759
01-03-2025,Delhi,South West Delhi,110021,42,178
01-03-2025,Delhi,North East,110053,71,1748
01-03-2025,Delhi,North West Delhi,110056,117,64
01-03-2025,Delhi,North East,110094,91,2038
01-03-2025,Delhi,North West Delhi,110040,1239,1123
01-03-2025,Delhi,West Delhi,110018,1022,1902
01-03-2025,Delhi,West Delhi,110058,162,346
01-03-2025,Delhi,South West Delhi,110037,688,725
01-03-2025,Delhi,South West Delhi,110057,302,539
01-03-2025,Delhi,South Delhi,110013,183,153
01-03-2025,Delhi,East Delhi,110095,555,729
01-03-2025,Delhi,South East Delhi,110025,19,40
01-03-2025,Delhi,South West Delhi,110030,42,44
01-03-2025,Delhi,South West Delhi,110067,172,148
01-03-2025,Delhi,South Delhi,110017,327,456
01-03-2025,Delhi,South Delhi,110065,363,430
01-03-2025,Delhi,South Delhi,110062,2324,3785
01-03-2025,Delhi,South West Delhi,110061,284,222
01-03-2025,Delhi,North Delhi,110007,487,973
01-04-2025,Delhi,North East,110093,200,2507
01-04-2025,Delhi,North West Delhi,110089,343,597
01-04-2025,Delhi,North West Delhi,110083,1422,3132
01-05-2025,Delhi,Central Delhi,110008,949,1242
01-05-2025,Delhi,South West Delhi,110071,334,381
01-05-2025,Delhi,North West Delhi,110089,281,655
01-05-2025,Delhi,South Delhi,110025,996,1240
01-05-2025,Delhi,North West Delhi,110088,713,1005
01-05-2025,Delhi,South West Delhi,110067,122,124
01-05-2025,Delhi,North East Delhi,110053,3083,3075
01-05-2025,Delhi,South East Delhi,110025,35,47
01-05-2025,Delhi,South West Delhi,110072,112,144
01-05-2025,Delhi,Central Delhi,110005,570,930
01-04-2025,Delhi,South West Delhi,110077,707,577
01-04-2025,Delhi,South Delhi,110076,1413,2361
01-04-2025,Delhi,East Delhi,110053,235,193
01-04-2025,Delhi,West Delhi,110018,1761,2170
01-04-2025,Delhi,North West Delhi,110042,4112,6188
01-03-2025,Delhi,South West Delhi,110071,239,347
01-03-2025,Delhi,North Delhi,110054,355,541
01-03-2025,Delhi,South Delhi,110049,180,207
01-04-2025,Delhi,North West Delhi,110052,1781,2359
01-04-2025,Delhi,West Delhi,110015,1002,1273
01-04-2025,Delhi,South East Delhi,110025,58,61
01-04-2025,Delhi,North West Delhi,110094,13,72
01-04-2025,Delhi,Shahdara,110053,19,62
01-04-2025,Delhi,South Delhi,110013,462,264
01-05-2025,Delhi,North Delhi,110006,1162,1733
01-05-2025,Delhi,South Delhi,110024,119,168
01-05-2025,Delhi,South West Delhi,110077,482,506
01-05-2025,Delhi,South Delhi,110080,275,371
01-05-2025,Delhi,North West Delhi,110034,980,1140
01-04-2025,Delhi,South Delhi,110068,349,360
01-04-2025,Delhi,South West Delhi,110029,103,115
01-05-2025,Delhi,Central Delhi,110060,39,60
01-05-2025,Delhi,West Delhi,110027,814,1396
01-05-2025,Delhi,South West Delhi,110021,33,125
