date,state,district,pincode,bio_age_5_17,bio_age_17_
26-06-2025,Goa,North Goa,403004,1,3
26-06-2025,Goa,South Goa,403712,1,4
26-06-2025,Goa,South Goa,403715,0,3
26-06-2025,Goa,South Goa,403725,0,1
26-06-2025,Goa,South Goa,403806,0,3
27-06-2025,Goa,North Goa,403115,0,2
27-06-2025,Goa,South Goa,403404,0,1
27-06-2025,Goa,South Goa,403804,0,5
22-06-2025,Goa,North Goa,403523,0,1
22-06-2025,Goa,South Goa,403707,0,2
23-06-2025,Goa,North Goa,403404,1,4
23-06-2025,Goa,North Goa,403523,0,2
23-06-2025,Goa,South Goa,403717,0,1
23-06-2025,Goa,South Goa,403718,1,0
23-06-2025,Goa,South Goa,403728,0,1
23-06-2025,Goa,South Goa,403731,0,1
23-06-2025,Goa,South Goa,403801,0,3
24-06-2025,Goa,Bardez,403516,0,1
24-06-2025,Goa,North Goa,403206,0,1
24-06-2025,Goa,North Goa,403706,0,3
24-06-2025,Goa,South Goa,403724,0,3
28-06-2025,Goa,North Goa,403006,0,2
28-06-2025,Goa,North Goa,403501,0,1
28-06-2025,Goa,North Goa,403513,0,2
28-06-2025,Goa,South Goa,403702,0,2
29-06-2025,Goa,North Goa,403101,0,1
29-06-2025,Goa,South Goa,403601,0,1
15-06-2025,Goa,North Goa,403401,0,1
15-06-2025,Goa,North Goa,403511,0,1
15-06-2025,Goa,South Goa,403602,0,2
15-06-2025,Goa,South Goa,403710,0,1
15-06-2025,Goa,South Goa,403711,0,2
15-06-2025,Goa,South Goa,403726,0,2
30-05-2025,Goa,North Goa,403402,1,5
30-05-2025,Goa,South Goa,403701,0,2
30-05-2025,Goa,South Goa,403712,1,0
30-05-2025,Goa,South Goa,403724,0,1
29-05-2025,Goa,North Goa,403206,0,2
29-05-2025,Goa,North Goa,403529,0,2
29-05-2025,Goa,South Goa,403718,0,1
25-05-2025,Goa,North Goa,403107,0,1
25-05-2025,Goa,North Goa,403402,0,1
25-05-2025,Goa,South Goa,403726,1,2
20-05-2025,Goa,North Goa,403706,0,1
21-05-2025,Goa,South Goa,403604,0,1
21-05-2025,Goa,South Goa,403719,0,2
21-05-2025,Goa,South Goa,403806,0,1
24-05-2025,Goa,North Goa,403202,0,1
24-05-2025,Goa,North Goa,403502,0,1
24-05-2025,Goa,North Goa,403505,0,1
24-05-2025,Goa,South Goa,403701,0,1
24-05-2025,Goa,South Goa,403702,0,1
24-05-2025,Goa,South Goa,403712,0,1
24-05-2025,Goa,South Goa,403722,1,0
23-05-2025,Goa,South Goa,403728,0,1
22-05-2025,Goa,North Goa,403202,0,2
22-05-2025,Goa,North Goa,403402,0,1
22-05-2025,Goa,South Goa,403806,1,2
18-10-2025,Goa,North Goa,403107,2,3
18-10-2025,Goa,North Goa,403108,0,1
18-10-2025,Goa,North Goa,403110,3,1
18-10-2025,Goa,North Goa,403115,0,2
18-10-2025,Goa,North Goa,403513,8,3
18-10-2025,Goa,North Goa,403515,0,2
18-10-2025,Goa,North Goa,403530,1,0
18-10-2025,Goa,South Goa,403707,7,3
18-10-2025,Goa,South Goa,403722,1,0
20-10-2025,Goa,South Goa,403726,0,1
21-10-2025,Goa,North Goa,403001,0,2
21-10-2025,Goa,North Goa,403002,1,2
21-10-2025,Goa,North Goa,403103,3,2
21-10-2025,Goa,North Goa,403204,0,2
21-10-2025,Goa,North Goa,403406,2,2
21-10-2025,Goa,North Goa,403506,12,3
21-10-2025,Goa,North Goa,403507,14,3
21-10-2025,Goa,North Goa,403517,6,0
21-10-2025,Goa,North Goa,403523,2,0
21-10-2025,Goa,South Goa,403406,1,0
21-10-2025,Goa,South Goa,403602,2,8
21-10-2025,Goa,South Goa,403702,0,2
21-10-2025,Goa,South Goa,403705,7,2
21-10-2025,Goa,South Goa,403708,1,0
21-10-2025,Goa,South Goa,403711,0,1
21-10-2025,Goa,South Goa,403712,1,0
21-10-2025,Goa,South Goa,403718,0,1
21-10-2025,Goa,South Goa,403725,1,0
21-10-2025,Goa,South Goa,403802,5,5
04-06-2025,Goa,North Goa,403005,0,3
04-06-2025,Goa,North Goa,403109,1,0
04-06-2025,Goa,North Goa,403206,0,1
04-06-2025,Goa,North Goa,403516,0,4
04-06-2025,Goa,South Goa,403717,0,1
04-06-2025,Goa,South Goa,403731,0,1
26-05-2025,Goa,North Goa,403508,0,1
27-05-2025,Goa,North Goa,403523,0,1
02-06-2025,Goa,North Goa,403511,0,5
02-06-2025,Goa,South Goa,403701,1,2
03-06-2025,Goa,South Goa,403714,0,4
03-06-2025,Goa,South Goa,403718,0,1
31-05-2025,Goa,North Goa,403004,1,3
31-05-2025,Goa,North Goa,403511,0,2
31-05-2025,Goa,North Goa,403530,0,1
31-05-2025,Goa,South Goa,403721,0,5
31-05-2025,Goa,South Goa,403804,0,1
09-06-2025,Goa,North Goa,403106,0,1
09-06-2025,Goa,North Goa,403404,0,2
09-06-2025,Goa,South Goa,403711,0,4
09-06-2025,Goa,South Goa,403728,0,3
09-06-2025,Goa,South Goa,403803,2,1
30-07-2025,Goa,North Goa,403202,0,1
30-07-2025,Goa,North Goa,403526,0,1
30-07-2025,Goa,South Goa,403711,0,1
30-07-2025,Goa,South Goa,403721,0,2
25-07-2025,Goa,North Goa,403004,0,1
25-07-2025,Goa,North Goa,403104,0,1
25-07-2025,Goa,North Goa,403529,0,1
23-07-2025,Goa,South Goa,403718,0,3
24-07-2025,Goa,North Goa,403102,0,2
24-07-2025,Goa,North Goa,403515,0,5
24-07-2025,Goa,South Goa,403721,1,5
24-07-2025,Goa,South Goa,403722,0,4
05-08-2025,Goa,North Goa,403523,0,1
05-08-2025,Goa,South Goa,403711,0,3
04-08-2025,Goa,North Goa,403102,0,3
04-08-2025,Goa,South Goa,403728,0,2
04-08-2025,Goa,South Goa,403804,0,2
06-08-2025,Goa,North Goa,403202,0,1
06-08-2025,Goa,North Goa,403204,0,2
06-08-2025,Goa,North Goa,403403,0,2
02-08-2025,Goa,North Goa,403001,0,2
02-08-2025,Goa,North Goa,403002,0,1
02-08-2025,Goa,North Goa,403108,0,1
02-08-2025,Goa,North Goa,403505,0,4
02-08-2025,Goa,North Goa,403506,0,5
02-08-2025,Goa,North Goa,403512,0,4
02-08-2025,Goa,South Goa,403410,0,2
02-08-2025,Goa,South Goa,403602,0,3
08-08-2025,Goa,North Goa,403105,0,4
12-07-2025,Goa,North Goa,403104,0,1
02-07-2025,Goa,North Goa,403102,0,1
02-07-2025,Goa,North Goa,403403,0,1
01-07-2025,Goa,North Goa,403115,0,3
01-07-2025,Goa,South Goa,403602,0,3
01-07-2025,Goa,South Goa,403710,0,4
01-07-2025,Goa,South Goa,403801,1,17
01-07-2025,Goa,South Goa,403803,0,1
06-07-2025,Goa,North Goa,403005,1,0
06-07-2025,Goa,South Goa,403731,0,1
05-07-2025,Goa,North Goa,403406,0,3
05-07-2025,Goa,North Goa,403502,0,3
05-07-2025,Goa,South Goa,403704,1,4
05-07-2025,Goa,South Goa,403802,1,10
03-07-2025,Goa,North Goa,403402,1,2
03-07-2025,Goa,North Goa,403515,0,4
03-07-2025,Goa,North Goa,403529,1,0
20-06-2025,Goa,North Goa,403706,0,1
20-06-2025,Goa,South Goa,403701,0,3
01-08-2025,Goa,South Goa,403409,0,1
07-08-2025,Goa,North Goa,403521,1,5
07-08-2025,Goa,South Goa,403711,0,3
07-08-2025,Goa,South Goa,403722,0,1
03-08-2025,Goa,North Goa,403530,0,1
03-08-2025,Goa,South Goa,403708,0,1
03-08-2025,Goa,South Goa,403723,0,1
28-07-2025,Goa,South Goa,403724,0,1
29-07-2025,Goa,North Goa,403409,0,1
29-07-2025,Goa,North Goa,403504,0,2
26-07-2025,Goa,North Goa,403005,0,3
26-07-2025,Goa,North Goa,403102,0,1
26-07-2025,Goa,North Goa,403521,2,0
26-07-2025,Goa,South Goa,403410,0,2
26-07-2025,Goa,South Goa,403604,0,2
26-07-2025,Goa,South Goa,403702,0,1
26-07-2025,Goa,South Goa,403709,0,4
26-07-2025,Goa,South Goa,403723,0,1
26-07-2025,Goa,South Goa,403801,0,2
26-07-2025,Goa,South Goa,403804,0,3
16-07-2025,Goa,North Goa,403105,0,3
16-07-2025,Goa,South Goa,403716,0,3
19-07-2025,Goa,North Goa,403501,0,2
19-07-2025,Goa,South Goa,403720,0,2
19-07-2025,Goa,South Goa,403723,0,1
13-08-2025,Goa,North Goa,403102,0,2
13-08-2025,Goa,North Goa,403204,0,1
13-08-2025,Goa,South Goa,403804,0,5
15-07-2025,Goa,North Goa,403104,0,1
15-07-2025,Goa,North Goa,403402,0,2
15-07-2025,Goa,North Goa,403526,0,1
15-07-2025,Goa,South Goa,403409,0,1
15-07-2025,Goa,South Goa,403711,0,4
15-07-2025,Goa,South Goa,403717,0,1
15-07-2025,Goa,South Goa,403720,0,1
18-07-2025,Goa,North Goa,403108,0,2
18-07-2025,Goa,North Goa,403523,0,0
18-07-2025,Goa,South Goa,403720,0,3
18-07-2025,Goa,South Goa,403804,1,6
17-07-2025,Goa,North Goa,403105,0,1
17-07-2025,Goa,North Goa,403202,0,3
20-07-2025,Goa,North Goa,403110,0,2
20-07-2025,Goa,South Goa,403702,0,2
20-07-2025,Goa,South Goa,403703,0,1
20-07-2025,Goa,South Goa,403704,0,1
21-07-2025,Goa,North Goa,403105,0,1
21-07-2025,Goa,North Goa,403114,0,2
22-07-2025,Goa,Bardez,403101,0,1
22-07-2025,Goa,North Goa,403204,0,3
22-07-2025,Goa,North Goa,403206,0,4
22-07-2025,Goa,North Goa,403516,0,4
22-07-2025,Goa,North Goa,403526,0,2
22-07-2025,Goa,South Goa,403718,0,2
11-07-2025,Goa,North Goa,403106,0,3
11-07-2025,Goa,North Goa,403107,0,7
11-07-2025,Goa,North Goa,403115,0,1
11-07-2025,Goa,South Goa,403409,0,1
11-07-2025,Goa,South Goa,403716,0,4
11-07-2025,Goa,South Goa,403717,1,1
11-07-2025,Goa,South Goa,403725,0,1
11-07-2025,Goa,South Goa,403806,0,3
14-07-2025,Goa,Bardez,403509,0,1
14-07-2025,Goa,North Goa,403004,0,1
14-07-2025,Goa,North Goa,403105,0,2
14-07-2025,Goa,South Goa,403721,0,4
14-07-2025,Goa,South Goa,403803,1,3
09-07-2025,Goa,North Goa,403115,0,1
09-07-2025,Goa,South Goa,403410,0,3
13-07-2025,Goa,South Goa,403704,0,1
08-07-2025,Goa,North Goa,403402,0,5
08-07-2025,Goa,North Goa,403526,0,1
08-07-2025,Goa,North Goa,403527,0,1
08-07-2025,Goa,South Goa,403712,0,4
08-07-2025,Goa,South Goa,403718,0,5
08-07-2025,Goa,Tiswadi,403005,0,3
07-07-2025,Goa,North Goa,403114,0,6
04-07-2025,Goa,North Goa,403409,0,1
04-07-2025,Goa,North Goa,403523,0,2
04-07-2025,Goa,North Goa,403529,0,1
04-07-2025,Goa,South Goa,403604,0,3
30-06-2025,Goa,North Goa,403403,0,3
30-06-2025,Goa,South Goa,403712,0,1
30-06-2025,Goa,South Goa,403803,0,3
25-06-2025,Goa,Bardez,403509,0,1
25-06-2025,Goa,North Goa,403524,0,1
25-06-2025,Goa,South Goa,403803,0,1
06-06-2025,Goa,North Goa,403004,0,4
06-06-2025,Goa,South Goa,403701,1,0
06-06-2025,Goa,South Goa,403717,0,1
05-06-2025,Goa,North Goa,403203,1,0
16-06-2025,Goa,North Goa,403104,0,2
16-06-2025,Goa,North Goa,403202,0,1
16-06-2025,Goa,South Goa,403717,0,1
17-06-2025,Goa,North Goa,403204,0,2
17-06-2025,Goa,South Goa,403409,0,2
17-06-2025,Goa,South Goa,403410,1,2
19-06-2025,Goa,North Goa,403004,0,3
19-06-2025,Goa,North Goa,403106,0,2
19-06-2025,Goa,North Goa,403109,0,1
19-06-2025,Goa,North Goa,403204,0,2
11-06-2025,Goa,North Goa,403204,0,1
11-06-2025,Goa,South Goa,403717,0,1
11-06-2025,Goa,South Goa,403724,0,1
14-06-2025,Goa,North Goa,403401,0,5
14-06-2025,Goa,North Goa,403508,0,1
14-06-2025,Goa,South Goa,403713,1,3
14-06-2025,Goa,South Goa,403717,1,0
14-06-2025,Goa,South Goa,403801,0,5
18-06-2025,Goa,South Goa,403717,2,0
10-06-2025,Goa,North Goa,403104,0,2
10-06-2025,Goa,North Goa,403529,0,1
10-06-2025,Goa,South Goa,403711,1,3
10-06-2025,Goa,South Goa,403806,0,1
13-06-2025,Goa,North Goa,403105,0,1
13-06-2025,Goa,North Goa,403508,0,1
13-06-2025,Goa,South Goa,403404,0,1
13-06-2025,Goa,South Goa,403713,0,1
13-06-2025,Goa,South Goa,403714,0,1
13-06-2025,Goa,South Goa,403728,0,2
