date,state,district,pincode,bio_age_5_17,bio_age_17_
25-11-2025,Haryana,Gurgaon,123035,1,0
25-11-2025,Haryana,Jhajjar,124021,1,0
25-11-2025,Haryana,Yamunanagar,135003,1,0
19-11-2025,Haryana,Gurgaon,123034,0,1
04-12-2025,Haryana,Bhiwani,127110,1,1
03-12-2025,Haryana,Panchkula,134104,0,2
01-12-2025,Haryana,Rewari,122107,0,2
02-12-2025,Haryana,Bhiwani,127110,0,1
02-12-2025,Haryana,Charkhi Dadri,127022,1,1
05-12-2025,Haryana,Charkhi Dadri,127307,1,0
05-12-2025,Haryana,Gurgaon,122052,0,1
06-12-2025,Haryana,Faridabad,121014,1,1
06-12-2025,Haryana,Jhajjar,124412,0,1
14-12-2025,Haryana,Ambala,133006,0,1
14-12-2025,Haryana,Bhiwani,127031,0,2
14-12-2025,Haryana,Kurukshetra,136131,0,3
14-12-2025,Haryana,Panipat,132105,1,0
14-12-2025,Haryana,Rewari,123102,3,2
14-12-2025,Haryana,Sonipat,131022,2,0
07-12-2025,Haryana,Ambala,133102,1,3
07-12-2025,Haryana,Ambala,133205,5,5
07-12-2025,Haryana,Bhiwani,127309,1,10
07-12-2025,Haryana,Fatehabad,125047,1,2
07-12-2025,Haryana,Jhajjar,124504,1,1
07-12-2025,Haryana,Kaithal,136021,2,10
07-12-2025,Haryana,Kaithal,136035,2,5
07-12-2025,Haryana,Kurukshetra,136130,4,4
07-12-2025,Haryana,Kurukshetra,136156,5,11
07-12-2025,Haryana,Panchkula,134108,0,1
07-12-2025,Haryana,Rohtak,124201,0,4
07-12-2025,Haryana,Rohtak,124303,11,5
07-12-2025,Haryana,Sonipat,131022,8,3
13-12-2025,Haryana,Charkhi Dadri,127030,1,1
13-12-2025,Haryana,Gurgaon,122005,0,1
13-12-2025,Haryana,Hisar,125048,1,1
13-12-2025,Haryana,Jhajjar,124021,0,1
13-12-2025,Haryana,Panipat,132115,2,2
13-12-2025,Haryana,Rewari,122107,1,0
16-12-2025,Haryana,Ambala,135102,0,1
02-01-2026,Haryana,Ambala,133201,7,17
02-01-2026,Haryana,Ambala,134201,4,3
02-01-2026,Haryana,Bhiwani,127030,7,7
02-01-2026,Haryana,Bhiwani,127032,30,24
02-01-2026,Haryana,Bhiwani,127035,10,3
02-01-2026,Haryana,Bhiwani,127040,7,16
02-01-2026,Haryana,Bhiwani,127042,3,7
02-01-2026,Haryana,Bhiwani,127111,5,5
02-01-2026,Haryana,Bhiwani,127114,7,13
02-01-2026,Haryana,Bhiwani,127306,10,12
02-01-2026,Haryana,Bhiwani,127309,12,12
02-01-2026,Haryana,Bhiwani,127310,6,7
02-01-2026,Haryana,Charkhi Dadri,127026,3,5
02-01-2026,Haryana,Charkhi Dadri,127030,0,1
02-01-2026,Haryana,Charkhi Dadri,127306,6,11
02-01-2026,Haryana,Charkhi Dadri,127308,5,9
