date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Himachal Pradesh,Kullu,172023,63,60
01-03-2025,Himachal Pradesh,Shimla,171004,26,30
01-03-2025,Himachal Pradesh,Kinnaur,172115,13,28
01-03-2025,Himachal Pradesh,Kangra,176122,39,47
01-03-2025,Himachal Pradesh,Una,174302,18,30
01-03-2025,Himachal Pradesh,Kangra,177108,23,68
01-03-2025,Himachal Pradesh,Sirmaur,173029,223,270
01-03-2025,Himachal Pradesh,Kangra,176021,67,104
01-03-2025,Himachal Pradesh,Chamba,176315,41,80
01-03-2025,Himachal Pradesh,Kangra,176037,36,80
01-03-2025,Himachal Pradesh,Solan,173208,51,92
01-03-2025,Himachal Pradesh,Mandi,171304,93,102
01-03-2025,Himachal Pradesh,Shimla,171212,17,22
01-03-2025,Himachal Pradesh,Shimla,171001,45,68
01-03-2025,Himachal Pradesh,Shimla,171301,19,18
01-03-2025,Himachal Pradesh,Kullu,175106,15,16
01-03-2025,Himachal Pradesh,Bilaspur,174001,127,235
01-03-2025,Himachal Pradesh,Kangra,177104,27,53
01-03-2025,Himachal Pradesh,Shimla,171009,73,115
01-03-2025,Himachal Pradesh,Chamba,176312,98,108
01-03-2025,Himachal Pradesh,Chamba,176308,79,124
01-03-2025,Himachal Pradesh,Solan,173211,61,96
01-03-2025,Himachal Pradesh,Chamba,176325,29,20
01-03-2025,Himachal Pradesh,Bilaspur,174023,24,60
01-03-2025,Himachal Pradesh,Hamirpur,176043,37,39
01-03-2025,Himachal Pradesh,Bilaspur,174004,51,71
01-03-2025,Himachal Pradesh,Shimla,172030,16,24
01-03-2025,Himachal Pradesh,Hamirpur,177045,20,17
01-03-2025,Himachal Pradesh,Kangra,176210,37,51
01-03-2025,Himachal Pradesh,Bilaspur,174013,27,33
01-03-2025,Himachal Pradesh,Hamirpur,177041,32,50
01-03-2025,Himachal Pradesh,Shimla,171202,60,93
01-03-2025,Himachal Pradesh,Shimla,171218,13,5
01-03-2025,Himachal Pradesh,Una,174306,88,103
01-03-2025,Himachal Pradesh,Chamba,176319,48,152
01-03-2025,Himachal Pradesh,Kangra,176056,101,177
01-03-2025,Himachal Pradesh,Mandi,175031,75,95
01-03-2025,Himachal Pradesh,Kangra,176088,37,44
01-03-2025,Himachal Pradesh,Shimla,171019,27,24
01-03-2025,Himachal Pradesh,Mandi,175039,31,41
01-03-2025,Himachal Pradesh,Kullu,175131,63,75
01-03-2025,Himachal Pradesh,Shimla,171221,19,50
01-03-2025,Himachal Pradesh,Kullu,172201,16,25
01-03-2025,Himachal Pradesh,Shimla,171213,31,42
01-03-2025,Himachal Pradesh,Sirmaur,173001,458,456
01-03-2025,Himachal Pradesh,Shimla,171205,38,83
01-04-2025,Himachal Pradesh,Kangra,176054,28,75
01-04-2025,Himachal Pradesh,Shimla,171103,57,57
01-04-2025,Himachal Pradesh,Kullu,175123,169,99
01-04-2025,Himachal Pradesh,Mandi,175124,241,184
01-04-2025,Himachal Pradesh,Kangra,177117,11,20
01-04-2025,Himachal Pradesh,Mandi,171302,73,103
01-04-2025,Himachal Pradesh,Solan,173218,56,65
01-04-2025,Himachal Pradesh,Shimla,171012,37,64
01-04-2025,Himachal Pradesh,Kangra,176001,257,330
01-04-2025,Himachal Pradesh,Shimla,171005,24,47
01-04-2025,Himachal Pradesh,Sirmaur,173027,386,362
01-04-2025,Himachal Pradesh,Kangra,176031,59,87
01-04-2025,Himachal Pradesh,Solan,174102,154,176
01-04-2025,Himachal Pradesh,Kangra,176204,76,80
01-04-2025,Himachal Pradesh,Kangra,177114,19,35
01-04-2025,Himachal Pradesh,Mandi,175009,42,60
01-04-2025,Himachal Pradesh,Mandi,175039,28,43
01-04-2025,Himachal Pradesh,Mandi,175050,31,43
01-04-2025,Himachal Pradesh,Bilaspur,174030,49,72
01-05-2025,Himachal Pradesh,Una,177211,28,66
01-05-2025,Himachal Pradesh,Shimla,171226,20,45
01-05-2025,Himachal Pradesh,Bilaspur,174035,13,31
01-05-2025,Himachal Pradesh,Kangra,176038,19,38
01-05-2025,Himachal Pradesh,Solan,173220,38,82
01-05-2025,Himachal Pradesh,Kinnaur,172109,12,32
01-05-2025,Himachal Pradesh,Kangra,176201,69,119
01-05-2025,Himachal Pradesh,Una,174302,13,16
01-05-2025,Himachal Pradesh,Shimla,171207,58,105
01-05-2025,Himachal Pradesh,Hamirpur,177301,13,28
01-05-2025,Himachal Pradesh,Chamba,176323,78,305
01-05-2025,Himachal Pradesh,Kangra,177104,18,32
01-03-2025,Himachal Pradesh,Hamirpur,177020,30,55
01-03-2025,Himachal Pradesh,Mandi,175004,17,29
01-03-2025,Himachal Pradesh,Kullu,172032,27,47
01-03-2025,Himachal Pradesh,Shimla,172029,17,13
01-03-2025,Himachal Pradesh,Kangra,176128,18,28
01-03-2025,Himachal Pradesh,Una,176601,89,101
01-03-2025,Himachal Pradesh,Hamirpur,177023,25,64
01-03-2025,Himachal Pradesh,Kangra,176033,34,31
01-03-2025,Himachal Pradesh,Bilaspur,174034,66,63
01-03-2025,Himachal Pradesh,Sirmaur,173022,246,368
01-03-2025,Himachal Pradesh,Kullu,175105,46,72
01-03-2025,Himachal Pradesh,Shimla,172034,10,8
01-03-2025,Himachal Pradesh,Kangra,176053,33,65
01-03-2025,Himachal Pradesh,Mandi,175106,86,44
01-03-2025,Himachal Pradesh,Hamirpur,177029,27,54
01-03-2025,Himachal Pradesh,Hamirpur,174312,21,32
01-03-2025,Himachal Pradesh,Hamirpur,174305,26,39
01-03-2025,Himachal Pradesh,Hamirpur,176111,20,40
01-03-2025,Himachal Pradesh,Shimla,171002,21,34
01-03-2025,Himachal Pradesh,Solan,173213,27,63
01-03-2025,Himachal Pradesh,Mandi,171303,18,23
01-03-2025,Himachal Pradesh,Mandi,175018,21,70
01-03-2025,Himachal Pradesh,Una,177202,19,24
01-03-2025,Himachal Pradesh,Chamba,176309,97,120
01-03-2025,Himachal Pradesh,Mandi,175008,91,141
01-04-2025,Himachal Pradesh,Kangra,176200,56,108
01-04-2025,Himachal Pradesh,Kangra,177103,28,42
01-04-2025,Himachal Pradesh,Mandi,175049,72,106
01-04-2025,Himachal Pradesh,Una,177205,15,23
01-04-2025,Himachal Pradesh,Una,174315,80,104
01-04-2025,Himachal Pradesh,Mandi,176090,46,74
01-04-2025,Himachal Pradesh,Mandi,175031,79,98
01-04-2025,Himachal Pradesh,Kangra,176102,20,18
01-04-2025,Himachal Pradesh,Solan,173234,10,36
01-04-2025,Himachal Pradesh,Hamirpur,177007,11,22
01-04-2025,Himachal Pradesh,Solan,173220,70,111
01-04-2025,Himachal Pradesh,Chamba,176302,103,111
01-04-2025,Himachal Pradesh,Kangra,176093,16,12
01-04-2025,Himachal Pradesh,Kangra,176052,75,86
01-04-2025,Himachal Pradesh,Kangra,176201,137,225
01-04-2025,Himachal Pradesh,Mandi,175030,31,63
01-04-2025,Himachal Pradesh,Chamba,176301,28,30
01-04-2025,Himachal Pradesh,Kangra,177113,30,58
01-04-2025,Himachal Pradesh,Solan,173211,43,80
01-04-2025,Himachal Pradesh,Kangra,176033,26,31
01-04-2025,Himachal Pradesh,Mandi,175008,94,176
01-04-2025,Himachal Pradesh,Una,177204,85,79
01-04-2025,Himachal Pradesh,Shimla,171216,23,30
01-04-2025,Himachal Pradesh,Hamirpur,177020,23,40
01-04-2025,Himachal Pradesh,Hamirpur,174305,31,36
01-04-2025,Himachal Pradesh,Kullu,175125,170,150
01-04-2025,Himachal Pradesh,Kangra,176215,79,105
01-04-2025,Himachal Pradesh,Shimla,171220,59,81
01-04-2025,Himachal Pradesh,Hamirpur,176108,16,21
01-04-2025,Himachal Pradesh,Kangra,176501,19,14
01-04-2025,Himachal Pradesh,Sirmaur,173024,141,118
01-05-2025,Himachal Pradesh,Shimla,171011,31,86
01-05-2025,Himachal Pradesh,Chamba,176314,98,240
01-05-2025,Himachal Pradesh,Bilaspur,174034,28,46
01-05-2025,Himachal Pradesh,Kangra,176209,194,94
01-05-2025,Himachal Pradesh,Kangra,176219,27,18
01-05-2025,Himachal Pradesh,Mandi,175021,25,47
01-04-2025,Himachal Pradesh,Mandi,175002,61,105
01-04-2025,Himachal Pradesh,Kangra,176203,24,38
01-04-2025,Himachal Pradesh,Shimla,171006,40,75
01-04-2025,Himachal Pradesh,Kangra,176125,146,181
01-04-2025,Himachal Pradesh,Una,174303,224,221
01-04-2025,Himachal Pradesh,Mandi,175006,65,65
01-04-2025,Himachal Pradesh,Kangra,176077,36,39
01-04-2025,Himachal Pradesh,Chamba,176207,116,186
01-04-2025,Himachal Pradesh,Bilaspur,174033,44,52
01-04-2025,Himachal Pradesh,Solan,173233,59,60
01-04-2025,Himachal Pradesh,Bilaspur,174004,66,90
01-04-2025,Himachal Pradesh,Chamba,176318,41,39
01-04-2025,Himachal Pradesh,Hamirpur,176110,42,66
01-04-2025,Himachal Pradesh,Shimla,171206,46,71
01-04-2025,Himachal Pradesh,Una,177213,34,57
01-04-2025,Himachal Pradesh,Kullu,172026,121,136
01-04-2025,Himachal Pradesh,Mandi,175033,57,55
01-04-2025,Himachal Pradesh,Kangra,177112,30,32
01-05-2025,Himachal Pradesh,Kangra,176047,65,125
01-05-2025,Himachal Pradesh,Shimla,171001,26,65
01-05-2025,Himachal Pradesh,Bilaspur,174011,17,33
01-05-2025,Himachal Pradesh,Hamirpur,176110,20,39
01-05-2025,Himachal Pradesh,Kangra,177117,13,23
01-05-2025,Himachal Pradesh,Kangra,176103,45,63
