date,state,district,pincode,bio_age_5_17,bio_age_17_
26-06-2025,Jammu & Kashmir,Jammu,180002,0,1
26-06-2025,Jammu & Kashmir,Kargil,194103,0,1
27-06-2025,Jammu & Kashmir,Baramula,193122,0,1
21-06-2025,Jammu & Kashmir,Doda,182204,0,1
28-06-2025,Jammu & Kashmir,Doda,182204,0,1
28-05-2025,Jammu & Kashmir,Jammu,180001,0,2
20-05-2025,Jammu & Kashmir,Punch,185121,0,1
21-05-2025,Jammu & Kashmir,Baramula,193101,0,1
21-05-2025,Jammu & Kashmir,Jammu,180007,0,1
21-05-2025,Jammu & Kashmir,Punch,185101,0,1
30-05-2025,Jammu & Kashmir,Jammu,180002,0,1
30-05-2025,Jammu & Kashmir,Jammu,180003,0,1
04-06-2025,Jammu & Kashmir,Kathua,184101,0,1
26-05-2025,Jammu & Kashmir,Anantnag,192231,0,1
18-10-2025,Jammu & Kashmir,Anantnag,192201,1,0
02-06-2025,Jammu & Kashmir,Jammu,180002,0,1
31-05-2025,Jammu & Kashmir,Baramula,193101,0,1
09-06-2025,Jammu & Kashmir,Kathua,184101,0,2
24-07-2025,Jammu & Kashmir,Anantnag,192212,0,1
23-07-2025,Jammu & Kashmir,Jammu,184120,0,1
04-08-2025,Jammu & Kashmir,Jammu,180005,0,1
02-08-2025,Jammu & Kashmir,Kathua,184205,0,1
10-07-2025,Jammu & Kashmir,Kupwara,193222,0,1
06-07-2025,Jammu & Kashmir,Jammu,180013,0,1
20-06-2025,Jammu & Kashmir,Pulwama,192123,0,1
06-08-2025,Jammu & Kashmir,Kathua,184101,0,1
07-08-2025,Jammu & Kashmir,Jammu,181123,0,1
28-07-2025,Jammu & Kashmir,Jammu,180004,0,1
29-07-2025,Jammu & Kashmir,Jammu,180001,0,1
29-07-2025,Jammu & Kashmir,Jammu,180004,0,1
16-07-2025,Jammu & Kashmir,Kathua,184101,0,1
18-07-2025,Jammu & Kashmir,Kathua,184101,0,1
15-07-2025,Jammu & Kashmir,Jammu,181133,0,1
17-07-2025,Jammu & Kashmir,Jammu,181221,0,1
21-07-2025,Jammu & Kashmir,Jammu,181207,0,1
07-07-2025,Jammu & Kashmir,Rajauri,185203,0,1
04-07-2025,Jammu & Kashmir,Srinagar,190011,0,1
25-06-2025,Jammu & Kashmir,Kathua,184101,0,1
05-06-2025,Jammu & Kashmir,Doda,182203,0,1
06-06-2025,Jammu & Kashmir,Jammu,181123,0,1
14-06-2025,Jammu & Kashmir,Kupwara,193224,0,1
14-06-2025,Jammu & Kashmir,Rajauri,185202,0,1
10-06-2025,Jammu & Kashmir,Baramula,193101,0,2
25-11-2025,Jammu & Kashmir,Jammu,185153,0,1
10-12-2025,Jammu & Kashmir,Srinagar,190001,0,1
03-12-2025,Jammu & Kashmir,Jammu,181111,0,1
05-12-2025,Jammu & Kashmir,Jammu,180005,0,1
11-12-2025,Jammu & Kashmir,Baramula,193123,0,1
13-12-2025,Jammu & Kashmir,Doda,182147,0,1
06-12-2025,Jammu & Kashmir,Jammu,181102,0,2
06-12-2025,Jammu & Kashmir,Rajauri,185155,0,1
08-12-2025,Jammu & Kashmir,Jammu,180002,0,1
08-12-2025,Jammu & Kashmir,Jammu,181205,0,1
26-12-2025,Jammu & Kashmir,Jammu,180013,0,1
27-12-2025,Jammu & Kashmir,Jammu,180001,0,1
27-12-2025,Jammu & Kashmir,Srinagar,190006,0,2
29-12-2025,Jammu & Kashmir,Jammu,180002,0,1
29-12-2025,Jammu & Kashmir,Jammu,180010,0,1
01-01-2026,Jammu & Kashmir,Jammu,180007,0,1
01-01-2026,Jammu & Kashmir,Kathua,184143,0,1
01-01-2026,Jammu & Kashmir,Punch,185121,0,1
19-12-2025,Jammu & Kashmir,Baramula,193101,1,0
25-12-2025,Jammu & Kashmir,Jammu,180001,0,1
22-12-2025,Jammu & Kashmir,Jammu,180007,0,1
23-12-2025,Jammu & Kashmir,Jammu,180015,0,1
