date,state,district,pincode,bio_age_5_17,bio_age_17_
01-04-2025,Jammu and Kashmir,Rajouri,185156,60,80
01-04-2025,Jammu and Kashmir,Kathua,184206,175,229
01-04-2025,Jammu and Kashmir,Badgam,193411,156,342
01-04-2025,Jammu and Kashmir,Jammu,180002,149,330
01-04-2025,Jammu and Kashmir,Rajouri,185203,68,87
01-04-2025,Jammu and Kashmir,Jammu,181102,209,428
01-04-2025,Jammu and Kashmir,Kulgam,192231,1210,1668
01-04-2025,Jammu and Kashmir,Udhampur,182141,202,173
01-04-2025,Jammu and Kashmir,Ramban,182148,150,148
01-04-2025,Jammu and Kashmir,Samba,181143,42,43
01-03-2025,Jammu and Kashmir,Punch,185101,643,1091
01-03-2025,Jammu and Kashmir,Leh,194401,52,43
01-03-2025,Jammu and Kashmir,Kupwara,193224,455,752
01-03-2025,Jammu and Kashmir,Jammu,181204,75,115
01-03-2025,Jammu and Kashmir,Samba,181133,77,90
01-03-2025,Jammu and Kashmir,Kathua,184148,118,145
01-04-2025,Jammu and Kashmir,Srinagar,190023,43,170
01-04-2025,Jammu and Kashmir,Jammu,181122,139,216
01-04-2025,Jammu and Kashmir,Jammu,181203,110,185
01-04-2025,Jammu and Kashmir,Udhampur,182126,117,120
01-04-2025,Jammu and Kashmir,Samba,184145,25,22
01-04-2025,Jammu and Kashmir,Kathua,184144,192,171
01-03-2025,Jammu and Kashmir,Leh,194106,18,19
01-03-2025,Jammu and Kashmir,Srinagar,190023,84,142
01-03-2025,Jammu and Kashmir,Badgam,193401,21,50
01-03-2025,Jammu and Kashmir,Badgam,191113,91,276
01-03-2025,Jammu and Kashmir,Udhampur,184121,17,27
01-03-2025,Jammu and Kashmir,Kargil,194109,26,22
01-03-2025,Jammu and Kashmir,Baramula,193103,65,125
01-03-2025,Jammu and Kashmir,Jammu,181205,51,130
01-03-2025,Jammu and Kashmir,Kupwara,193222,506,698
01-03-2025,Jammu and Kashmir,Baramula,193301,234,496
01-03-2025,Jammu and Kashmir,Punch,185111,592,1314
01-03-2025,Jammu and Kashmir,Anantnag,192221,64,132
01-03-2025,Jammu and Kashmir,Kathua,184104,70,230
01-03-2025,Jammu and Kashmir,Jammu,180015,40,78
01-03-2025,Jammu and Kashmir,Rajouri,185153,92,112
01-03-2025,Jammu and Kashmir,Baramula,193401,47,75
01-03-2025,Jammu and Kashmir,Ganderbal,193504,28,20
01-03-2025,Jammu and Kashmir,Udhampur,182124,223,340
01-03-2025,Jammu and Kashmir,Baramula,193198,77,212
01-03-2025,Jammu and Kashmir,Jammu,181122,148,324
01-03-2025,Jammu and Kashmir,Kathua,184204,134,340
01-03-2025,Jammu and Kashmir,Reasi,185203,118,283
01-03-2025,Jammu and Kashmir,Srinagar,191101,95,438
01-03-2025,Jammu and Kashmir,Baramula,193402,147,363
01-03-2025,Jammu and Kashmir,Baramula,193122,206,424
01-03-2025,Jammu and Kashmir,Reasi,182301,63,79
01-03-2025,Jammu and Kashmir,Reasi,182313,271,732
01-03-2025,Jammu and Kashmir,Anantnag,192201,316,556
01-03-2025,Jammu and Kashmir,Srinagar,190017,145,241
01-03-2025,Jammu and Kashmir,Rajouri,185151,360,542
01-03-2025,Jammu and Kashmir,Udhampur,182142,115,170
01-03-2025,Jammu and Kashmir,Kathua,184142,108,157
01-03-2025,Jammu and Kashmir,Kulgam,192221,53,72
01-03-2025,Jammu and Kashmir,Srinagar,191131,13,35
01-03-2025,Jammu and Kashmir,Pulwama,192124,15,41
01-03-2025,Jammu and Kashmir,Bandipore,193504,89,134
01-04-2025,Jammu and Kashmir,Kargil,194301,33,22
01-04-2025,Jammu and Kashmir,Jammu,180003,131,332
01-04-2025,Jammu and Kashmir,Jammu,185154,70,69
01-04-2025,Jammu and Kashmir,Srinagar,190002,202,566
01-03-2025,Jammu and Kashmir,Shupiyan,192303,693,1169
01-04-2025,Jammu and Kashmir,Baramula,193201,734,1321
01-04-2025,Jammu and Kashmir,Srinagar,190012,48,88
01-04-2025,Jammu and Kashmir,Baramula,193202,188,336
01-04-2025,Jammu and Kashmir,Kathua,184152,51,147
01-04-2025,Jammu and Kashmir,Badgam,193401,22,44
01-04-2025,Jammu and Kashmir,Udhampur,182125,381,340
01-04-2025,Jammu and Kashmir,Doda,182203,483,679
01-04-2025,Jammu and Kashmir,Kishtwar,182204,602,576
01-04-2025,Jammu and Kashmir,Jammu,180010,72,209
01-04-2025,Jammu and Kashmir,Leh,194401,40,21
01-04-2025,Jammu and Kashmir,Jammu,180020,20,50
01-05-2025,Jammu and Kashmir,Jammu,180020,18,50
01-05-2025,Jammu and Kashmir,Rajouri,185212,216,350
01-05-2025,Jammu and Kashmir,Samba,184121,146,168
01-05-2025,Jammu and Kashmir,Budgam,191112,165,43
01-05-2025,Jammu and Kashmir,Srinagar,191101,71,177
01-05-2025,Jammu and Kashmir,Kulgam,192221,38,45
01-05-2025,Jammu and Kashmir,Badgam,193411,248,281
01-05-2025,Jammu and Kashmir,Jammu,181224,135,153
01-05-2025,Jammu and Kashmir,Srinagar,190003,161,410
01-05-2025,Jammu and Kashmir,Samba,181143,48,28
01-05-2025,Jammu and Kashmir,Baramula,193401,34,72
01-05-2025,Jammu and Kashmir,Rajouri,185153,39,69
01-05-2025,Jammu and Kashmir,Srinagar,190017,121,206
01-05-2025,Jammu and Kashmir,Rajouri,185135,98,103
01-05-2025,Jammu and Kashmir,Jammu,181121,16,74
01-05-2025,Jammu and Kashmir,Udhampur,182144,43,81
01-05-2025,Jammu and Kashmir,Anantnag,192212,190,170
01-05-2025,Jammu and Kashmir,Budgam,190018,25,31
01-05-2025,Jammu and Kashmir,Reasi,182320,16,31
01-05-2025,Jammu and Kashmir,Srinagar,190015,154,337
01-05-2025,Jammu and Kashmir,Jammu,181203,216,146
01-05-2025,Jammu and Kashmir,Udhampur,182126,98,119
01-05-2025,Jammu and Kashmir,Kupwara,193222,504,617
01-05-2025,Jammu and Kashmir,Reasi,182315,788,365
01-05-2025,Jammu and Kashmir,Jammu,180005,31,140
01-05-2025,Jammu and Kashmir,Ramban,182148,161,118
01-05-2025,Jammu and Kashmir,Jammu,181207,21,29
01-05-2025,Jammu and Kashmir,Anantnag,192401,52,129
01-05-2025,Jammu and Kashmir,Jammu,180011,41,77
01-05-2025,Jammu and Kashmir,Srinagar,190009,42,90
01-05-2025,Jammu and Kashmir,Srinagar,190023,61,139
01-05-2025,Jammu and Kashmir,Jammu,181201,274,341
01-05-2025,Jammu and Kashmir,Jammu,180001,114,319
01-05-2025,Jammu and Kashmir,Rajouri,185132,361,335
01-05-2025,Jammu and Kashmir,Pulwama,192302,23,23
01-05-2025,Jammu and Kashmir,Srinagar,190010,90,191
01-05-2025,Jammu and Kashmir,Punch,185101,363,371
01-05-2025,Jammu and Kashmir,Anantnag,192125,152,84
01-05-2025,Jammu and Kashmir,Anantnag,192102,26,18
01-04-2025,Jammu and Kashmir,Kupwara,193303,59,49
01-04-2025,Jammu and Kashmir,Doda,182221,116,132
01-04-2025,Jammu and Kashmir,Jammu,181133,18,66
01-04-2025,Jammu and Kashmir,Baramula,193301,187,548
01-04-2025,Jammu and Kashmir,Kathua,184151,75,83
01-04-2025,Jammu and Kashmir,Budgam,191111,578,362
01-04-2025,Jammu and Kashmir,Pulwama,192303,10,116
01-04-2025,Jammu and Kashmir,Reasi,182301,58,44
01-04-2025,Jammu and Kashmir,Udhampur,182144,14,59
01-04-2025,Jammu and Kashmir,Kathua,184101,127,185
01-04-2025,Jammu and Kashmir,Anantnag,192212,148,242
01-04-2025,Jammu and Kashmir,Doda,182147,188,103
01-04-2025,Jammu and Kashmir,Jammu,181132,189,348
01-04-2025,Jammu and Kashmir,Rajouri,185151,283,442
01-04-2025,Jammu and Kashmir,Rajouri,185135,112,208
01-04-2025,Jammu and Kashmir,Reasi,182311,179,145
01-04-2025,Jammu and Kashmir,Srinagar,190006,134,508
01-04-2025,Jammu and Kashmir,Rajouri,185155,52,92
01-04-2025,Jammu and Kashmir,Punch,185111,701,769
01-04-2025,Jammu and Kashmir,Jammu,185153,12,13
01-04-2025,Jammu and Kashmir,Kathua,184201,182,230
01-04-2025,Jammu and Kashmir,Baramula,193103,99,156
01-05-2025,Jammu and Kashmir,Jammu,185154,53,70
01-05-2025,Jammu and Kashmir,Jammu,180003,123,264
01-05-2025,Jammu and Kashmir,Udhampur,182122,466,591
01-05-2025,Jammu and Kashmir,Jammu,181141,17,51
01-06-2025,Jammu and Kashmir,Jammu,185153,26,36
01-06-2025,Jammu and Kashmir,Samba,184121,171,148
01-06-2025,Jammu and Kashmir,Anantnag,192124,218,259
01-06-2025,Jammu and Kashmir,Ganderbal,190006,14,49
01-06-2025,Jammu and Kashmir,Pulwama,192305,29,24
01-06-2025,Jammu and Kashmir,Kupwara,193303,19,12
01-06-2025,Jammu and Kashmir,Budgam,192121,23,31
01-06-2025,Jammu and Kashmir,Udhampur,182142,53,43
01-06-2025,Jammu and Kashmir,Udhampur,182161,21,24
