date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Ladakh,Leh,194106,33,42
01-05-2025,Ladakh,Leh,194101,48,70
01-03-2025,Ladakh,Leh,194101,78,101
01-04-2025,Ladakh,Leh,194101,52,115
01-04-2025,Ladakh,Leh,194401,17,40
01-04-2025,Ladakh,Kargil,194109,37,47
01-04-2025,Ladakh,Leh,194106,30,71
01-05-2025,Ladakh,Kargil,194102,12,25
01-05-2025,Ladakh,Kargil,194105,21,21
01-05-2025,Ladakh,Leh,194106,20,21
27-10-2025,Ladakh,Leh,194404,1,0
26-10-2025,Ladakh,Kargil,194102,2,0
26-10-2025,Ladakh,Leh,194404,2,0
03-11-2025,Ladakh,Kargil,194109,2,0
02-11-2025,Ladakh,Kargil,194302,1,0
02-11-2025,Ladakh,Leh,194106,3,0
09-11-2025,Ladakh,Kargil,194301,1,1
17-11-2025,Ladakh,Leh,194402,0,1
18-11-2025,Ladakh,Kargil,194302,1,0
14-12-2025,Ladakh,Kargil,194102,0,1
19-12-2025,Ladakh,Leh,194201,0,1
25-12-2025,Ladakh,Leh,194106,0,1
25-12-2025,Ladakh,Leh,194401,0,1
17-12-2025,Ladakh,Leh,194401,1,2
18-12-2025,Ladakh,Leh,194101,0,3
04-12-2025,Ladakh,Leh,194104,0,1
07-12-2025,Ladakh,Leh,194106,1,2
27-12-2025,Ladakh,Kargil,194103,2,2
27-12-2025,Ladakh,Leh,194106,1,0
27-12-2025,Ladakh,Leh,194201,0,4
27-12-2025,Ladakh,Leh,194401,3,1
28-12-2025,Ladakh,Kargil,194102,2,2
28-12-2025,Ladakh,Kargil,194103,1,3
28-12-2025,Ladakh,Kargil,194301,0,1
28-12-2025,Ladakh,Leh,194101,2,6
01-01-2026,Ladakh,Kargil,194102,1,1
29-12-2025,Ladakh,Kargil,194102,2,0
29-12-2025,Ladakh,Kargil,194109,0,3
29-12-2025,Ladakh,Leh,194106,2,0
29-12-2025,Ladakh,Leh,194201,2,1
21-12-2025,Ladakh,Kargil,194103,0,1
12-12-2025,Ladakh,Kargil,194403,1,1
03-01-2026,Ladakh,Leh,194201,0,1
02-01-2026,Ladakh,Leh,194401,2,0
22-12-2025,Ladakh,Kargil,194102,1,1
08-12-2025,Ladakh,Leh,194201,0,3
07-12-2025,Ladakh,Kargil,194109,0,3
13-11-2025,Ladakh,Leh,194401,2,17
30-11-2025,Ladakh,Kargil,194302,0,1
29-11-2025,Ladakh,Leh,194201,1,4
17-11-2025,Ladakh,Kargil,194105,0,1
22-11-2025,Ladakh,Kargil,194105,0,5
26-11-2025,Ladakh,Leh,194104,0,2
26-11-2025,Ladakh,Leh,194402,0,2
08-11-2025,Ladakh,Leh,194104,2,2
07-11-2025,Ladakh,Kargil,194105,1,0
07-11-2025,Ladakh,Leh,194201,0,3
10-11-2025,Ladakh,Kargil,194105,0,6
10-11-2025,Ladakh,Kargil,194302,0,2
10-11-2025,Ladakh,Leh,194104,0,1
01-11-2025,Ladakh,Kargil,194102,0,4
01-11-2025,Ladakh,Kargil,194109,1,2
31-10-2025,Ladakh,Leh,194104,0,1
04-11-2025,Ladakh,Leh,194101,0,2
30-10-2025,Ladakh,Kargil,194301,0,1
30-10-2025,Ladakh,Leh,194401,0,2
24-10-2025,Ladakh,Kargil,194403,0,1
25-09-2025,Ladakh,Kargil,194102,0,2
20-09-2025,Ladakh,Leh,194201,0,1
08-09-2025,Ladakh,Kargil,194102,0,3
08-09-2025,Ladakh,Leh,194104,0,1
10-09-2025,Ladakh,Kargil,194105,1,8
12-09-2025,Ladakh,Leh,194104,0,1
08-10-2025,Ladakh,Leh,194106,1,3
07-10-2025,Ladakh,Kargil,194301,1,4
06-10-2025,Ladakh,Kargil,194102,0,1
10-10-2025,Ladakh,Kargil,194403,1,0
04-09-2025,Ladakh,Leh,194401,1,0
03-09-2025,Ladakh,Kargil,194105,0,1
03-09-2025,Ladakh,Leh,194401,0,1
06-09-2025,Ladakh,Leh,194404,0,1
05-09-2025,Ladakh,Leh,194101,0,6
07-09-2025,Ladakh,Kargil,194301,0,1
17-10-2025,Ladakh,Leh,194404,1,2
28-09-2025,Ladakh,Leh,194201,0,1
21-09-2025,Ladakh,Kargil,194109,1,0
22-09-2025,Ladakh,Kargil,194102,1,0
30-08-2025,Ladakh,Leh,194201,0,4
14-08-2025,Ladakh,Kargil,194105,1,0
14-08-2025,Ladakh,Leh,194106,0,1
14-08-2025,Ladakh,Leh,194401,0,3
19-08-2025,Ladakh,Kargil,194301,1,0
20-08-2025,Ladakh,Leh,194104,0,1
22-08-2025,Ladakh,Leh,194401,0,2
21-08-2025,Ladakh,Kargil,194403,1,0
21-08-2025,Ladakh,Leh,194402,0,1
02-09-2025,Ladakh,Kargil,194302,0,3
24-08-2025,Ladakh,Kargil,194103,1,0
26-08-2025,Ladakh,Kargil,194105,0,1
29-08-2025,Ladakh,Leh,194104,0,1
18-08-2025,Ladakh,Kargil,194302,0,2
10-08-2025,Ladakh,Kargil,194105,1,0
05-08-2025,Ladakh,Kargil,194301,0,2
03-08-2025,Ladakh,Kargil,194102,0,1
03-08-2025,Ladakh,Kargil,194301,0,1
31-07-2025,Ladakh,Kargil,194302,0,2
