date,state,district,pincode,bio_age_5_17,bio_age_17_
03-12-2025,Lakshadweep,Lakshadweep,682556,0,2
03-12-2025,Lakshadweep,Lakshadweep,682559,2,1
14-12-2025,Lakshadweep,Lakshadweep,682555,0,1
07-12-2025,Lakshadweep,Lakshadweep,682558,1,1
11-12-2025,Lakshadweep,Lakshadweep,682558,0,1
01-01-2026,Lakshadweep,Lakshadweep,682556,2,0
01-01-2026,Lakshadweep,Lakshadweep,682558,3,0
02-01-2026,Lakshadweep,Lakshadweep,682557,2,3
19-12-2025,Lakshadweep,Lakshadweep,682557,2,0
25-12-2025,Lakshadweep,Lakshadweep,682559,2,1
28-12-2025,Lakshadweep,Lakshadweep,682552,1,3
29-12-2025,Lakshadweep,Lakshadweep,682557,0,1
27-12-2025,Lakshadweep,Lakshadweep,682558,1,0
26-12-2025,Lakshadweep,Lakshadweep,682559,0,1
17-12-2025,Lakshadweep,Lakshadweep,682553,0,6
18-12-2025,Lakshadweep,Lakshadweep,682559,1,0
19-12-2025,Lakshadweep,Lakshadweep,682558,0,1
12-12-2025,Lakshadweep,Lakshadweep,682555,0,1
14-12-2025,Lakshadweep,Lakshadweep,682553,0,1
25-11-2025,Lakshadweep,Lakshadweep,682554,0,1
01-11-2025,Lakshadweep,Lakshadweep,682554,0,1
08-11-2025,Lakshadweep,Lakshadweep,682553,1,0
03-11-2025,Lakshadweep,Lakshadweep,682556,1,1
01-04-2025,Lakshadweep,Lakshadweep,682559,29,32
01-04-2025,Lakshadweep,Lakshadweep,682553,70,50
01-05-2025,Lakshadweep,Lakshadweep,682551,56,80
01-06-2025,Lakshadweep,Lakshadweep,682552,49,60
26-10-2025,Lakshadweep,Lakshadweep,682556,2,1
28-10-2025,Lakshadweep,Lakshadweep,682558,1,0
02-11-2025,Lakshadweep,Lakshadweep,682551,1,0
16-11-2025,Lakshadweep,Lakshadweep,682558,0,1
17-10-2025,Lakshadweep,Lakshadweep,682552,0,1
10-10-2025,Lakshadweep,Lakshadweep,682556,0,2
10-10-2025,Lakshadweep,Lakshadweep,682557,1,2
05-07-2025,Lakshadweep,Lakshadweep,682552,0,5
02-07-2025,Lakshadweep,Lakshadweep,682552,0,3
23-06-2025,Lakshadweep,Lakshadweep,682554,0,1
27-06-2025,Lakshadweep,Lakshadweep,682554,0,1
27-06-2025,Lakshadweep,Lakshadweep,682558,0,1
16-06-2025,Lakshadweep,Lakshadweep,682558,0,1
18-10-2025,Lakshadweep,Lakshadweep,682555,7,1
18-10-2025,Lakshadweep,Lakshadweep,682556,2,0
14-06-2025,Lakshadweep,Lakshadweep,682556,0,2
19-10-2025,Lakshadweep,Lakshadweep,682559,3,2
26-05-2025,Lakshadweep,Lakshadweep,682557,0,1
06-07-2025,Lakshadweep,Lakshadweep,682556,0,1
10-07-2025,Lakshadweep,Lakshadweep,682554,0,1
14-07-2025,Lakshadweep,Lakshadweep,682552,1,3
14-07-2025,Lakshadweep,Lakshadweep,682553,0,5
24-05-2025,Lakshadweep,Lakshadweep,682558,0,1
24-07-2025,Lakshadweep,Lakshadweep,682552,0,1
22-07-2025,Lakshadweep,Lakshadweep,682557,0,1
20-05-2025,Lakshadweep,Lakshadweep,682553,0,1
16-06-2025,Lakshadweep,Lakshadweep,682552,0,1
17-06-2025,Lakshadweep,Lakshadweep,682551,0,2
17-06-2025,Lakshadweep,Lakshadweep,682555,0,4
17-06-2025,Lakshadweep,Lakshadweep,682557,0,1
13-06-2025,Lakshadweep,Lakshadweep,682559,2,5
15-06-2025,Lakshadweep,Lakshadweep,682556,0,1
14-06-2025,Lakshadweep,Lakshadweep,682552,1,1
14-06-2025,Lakshadweep,Lakshadweep,682554,0,1
