date,state,district,pincode,bio_age_5_17,bio_age_17_
01-04-2025,Manipur,Imphal West,795008,37,49
01-04-2025,Manipur,Senapati,795129,82,114
01-04-2025,Manipur,Ukhrul,795145,130,243
01-03-2025,Manipur,Imphal West,795140,36,28
01-03-2025,Manipur,Senapati,795015,76,145
01-03-2025,Manipur,Chandel,795103,12,49
01-03-2025,Manipur,Churachandpur,795133,15,21
01-03-2025,Manipur,Ukhrul,795142,210,902
01-03-2025,Manipur,Imphal East,795114,134,122
01-03-2025,Manipur,Thoubal,795101,48,44
01-03-2025,Manipur,Ukhrul,795144,19,40
01-03-2025,Manipur,Senapati,795112,33,69
01-03-2025,Manipur,Imphal West,795004,67,113
01-03-2025,Manipur,Chandel,795127,63,344
01-03-2025,Manipur,Tamenglong,795125,23,60
01-03-2025,Manipur,Chandel,795102,24,80
01-03-2025,Manipur,Senapati,795104,235,168
01-03-2025,Manipur,Churachandpur,795143,82,104
01-04-2025,Manipur,Imphal East,795003,51,33
01-04-2025,Manipur,Chandel,795102,49,55
01-04-2025,Manipur,Churachandpur,795006,111,48
01-03-2025,Manipur,Imphal East,795138,15,81
01-04-2025,Manipur,Churachandpur,795116,22,43
01-04-2025,Manipur,Churachandpur,795128,501,635
01-05-2025,Manipur,Senapati,795113,14,10
01-05-2025,Manipur,Churachandpur,795128,422,512
01-05-2025,Manipur,Senapati,795007,68,138
01-05-2025,Manipur,Tamenglong,795159,48,63
01-05-2025,Manipur,Imphal West,795002,77,35
01-05-2025,Manipur,Senapati,795002,29,61
01-05-2025,Manipur,Senapati,795015,55,124
01-05-2025,Manipur,Thoubal,795101,53,38
01-05-2025,Manipur,Chandel,795127,78,87
01-05-2025,Manipur,Ukhrul,795149,18,30
01-05-2025,Manipur,Imphal East,795008,227,170
01-05-2025,Manipur,Senapati,795150,40,69
01-05-2025,Manipur,Tamenglong,795147,71,69
01-04-2025,Manipur,Imphal West,795130,29,13
01-04-2025,Manipur,Imphal West,795004,102,102
01-04-2025,Manipur,Senapati,795145,12,19
01-05-2025,Manipur,Imphal West,795132,159,128
01-06-2025,Manipur,Churachandpur,795124,12,13
01-06-2025,Manipur,Senapati,795015,50,78
01-06-2025,Manipur,Senapati,795149,17,14
01-06-2025,Manipur,Imphal East,795003,11,20
01-06-2025,Manipur,Imphal East,795138,10,12
01-06-2025,Manipur,Chandel,795101,13,17
01-06-2025,Manipur,Churachandpur,795116,19,34
01-07-2025,Manipur,Tamenglong,795115,11,11
19-10-2025,Manipur,Chandel,795148,1,0
19-10-2025,Manipur,Churachandpur,795139,3,0
19-10-2025,Manipur,Senapati,795134,2,1
19-10-2025,Manipur,Ukhrul,795010,1,0
21-10-2025,Manipur,Ukhrul,795010,0,1
02-11-2025,Manipur,Imphal East,795138,2,0
26-10-2025,Manipur,Senapati,795008,0,1
18-10-2025,Manipur,Senapati,795144,1,0
31-10-2025,Manipur,Senapati,795138,1,0
04-11-2025,Manipur,Senapati,795136,0,4
05-11-2025,Manipur,Senapati,795144,0,1
06-11-2025,Manipur,Kakching,795135,1,0
09-11-2025,Manipur,Churachandpur,795116,1,0
13-11-2025,Manipur,Senapati,795145,1,0
16-11-2025,Manipur,Churachandpur,795126,1,0
16-11-2025,Manipur,Kakching,795101,1,2
16-11-2025,Manipur,Tamenglong,795115,0,1
07-11-2025,Manipur,Thoubal,795009,0,1
07-11-2025,Manipur,Ukhrul,795010,1,2
03-11-2025,Manipur,Chandel,795141,1,0
03-11-2025,Manipur,Churachandpur,795158,0,1
03-11-2025,Manipur,Pherzawl,795121,0,2
