date,state,district,pincode,bio_age_5_17,bio_age_17_
25-11-2025,Meghalaya,West Garo Hills,794003,2,0
18-12-2025,Meghalaya,East Khasi Hills,793110,2,0
03-12-2025,Meghalaya,East Khasi Hills,793021,1,0
02-12-2025,Meghalaya,South West Garo Hills,794101,0,1
04-12-2025,Meghalaya,North Garo Hills,783134,0,1
13-12-2025,Meghalaya,East Khasi Hills,793022,0,1
13-12-2025,Meghalaya,Ri Bhoi,793116,0,1
13-12-2025,Meghalaya,West Garo Hills,794101,0,1
13-12-2025,Meghalaya,West Khasi Hills,793120,1,0
07-12-2025,Meghalaya,East Garo Hills,794111,0,1
07-12-2025,Meghalaya,East Khasi Hills,793008,1,0
07-12-2025,Meghalaya,East Khasi Hills,793121,1,1
07-12-2025,Meghalaya,North Garo Hills,794112,1,0
07-12-2025,Meghalaya,South Garo Hills,794107,0,1
07-12-2025,Meghalaya,West Jaintia Hills,793151,3,0
06-12-2025,Meghalaya,East Khasi Hills,793111,1,0
06-12-2025,Meghalaya,East Khasi Hills,793121,3,1
06-12-2025,Meghalaya,West Garo Hills,794005,0,1
06-12-2025,Meghalaya,West Jaintia Hills,793151,3,1
09-12-2025,Meghalaya,East Khasi Hills,793014,3,0
12-12-2025,Meghalaya,East Khasi Hills,793019,1,0
12-12-2025,Meghalaya,East Khasi Hills,793110,1,0
12-12-2025,Meghalaya,Ri Bhoi,793102,5,2
12-12-2025,Meghalaya,Ri Bhoi,793104,0,1
12-12-2025,Meghalaya,South West Garo Hills,794106,3,0
14-12-2025,Meghalaya,East Khasi Hills,793001,1,0
14-12-2025,Meghalaya,East Khasi Hills,793106,7,3
14-12-2025,Meghalaya,East Khasi Hills,793113,1,0
12-12-2025,Meghalaya,East Khasi Hills,793006,1,1
12-12-2025,Meghalaya,West Garo Hills,794001,0,2
13-12-2025,Meghalaya,East Jaintia Hills,793200,0,2
13-12-2025,Meghalaya,South West Khasi Hills,793106,0,1
16-12-2025,Meghalaya,East Khasi Hills,793107,0,1
16-12-2025,Meghalaya,Ri Bhoi,793116,0,3
16-12-2025,Meghalaya,West Jaintia Hills,793161,1,1
21-12-2025,Meghalaya,Ri Bhoi,793103,0,1
14-12-2025,Meghalaya,East Khasi Hills,793004,0,1
14-12-2025,Meghalaya,East Khasi Hills,793006,0,1
14-12-2025,Meghalaya,North Garo Hills,783134,0,3
14-12-2025,Meghalaya,West Garo Hills,794105,0,1
08-12-2025,Meghalaya,East Khasi Hills,793006,0,1
08-12-2025,Meghalaya,North Garo Hills,794110,0,6
08-12-2025,Meghalaya,South Garo Hills,794005,0,5
08-12-2025,Meghalaya,South West Khasi Hills,793120,0,1
07-12-2025,Meghalaya,West Garo Hills,794002,0,2
07-12-2025,Meghalaya,West Garo Hills,794105,0,1
20-12-2025,Meghalaya,East Khasi Hills,793017,1,0
20-12-2025,Meghalaya,East Khasi Hills,793121,1,2
20-12-2025,Meghalaya,Ri Bhoi,793122,1,0
20-12-2025,Meghalaya,West Garo Hills,794101,1,0
27-12-2025,Meghalaya,East Khasi Hills,793007,1,1
27-12-2025,Meghalaya,East Khasi Hills,793107,0,1
27-12-2025,Meghalaya,Ri Bhoi,793102,1,4
27-12-2025,Meghalaya,Ri Bhoi,793105,1,0
01-01-2026,Meghalaya,East Garo Hills,794111,0,1
01-01-2026,Meghalaya,East Khasi Hills,793004,0,2
01-01-2026,Meghalaya,East Khasi Hills,793109,0,1
01-01-2026,Meghalaya,Ri Bhoi,793102,2,0
01-01-2026,Meghalaya,Ri Bhoi,793104,1,0
01-01-2026,Meghalaya,South West Garo Hills,794105,0,3
01-01-2026,Meghalaya,West Garo Hills,794104,12,17
01-01-2026,Meghalaya,West Jaintia Hills,793161,0,1
26-12-2025,Meghalaya,North Garo Hills,794112,1,0
26-12-2025,Meghalaya,Ri Bhoi,793123,0,1
25-12-2025,Meghalaya,East Khasi Hills,793121,9,0
25-12-2025,Meghalaya,North Garo Hills,794110,1,0
25-12-2025,Meghalaya,South West Garo Hills,794106,0,3
28-12-2025,Meghalaya,East Khasi Hills,793001,1,1
28-12-2025,Meghalaya,East Khasi Hills,793009,0,1
28-12-2025,Meghalaya,East Khasi Hills,793018,0,1
29-12-2025,Meghalaya,East Khasi Hills,793002,0,1
