date,state,district,pincode,bio_age_5_17,bio_age_17_
26-06-2025,Mizoram,Lunglei,796101,0,1
21-06-2025,Mizoram,Aizawl,796015,0,4
21-06-2025,Mizoram,Kolasib,796014,0,1
21-06-2025,Mizoram,Lawngtlai,796772,0,2
21-06-2025,Mizoram,Mamit,796501,0,1
21-06-2025,Mizoram,Mammit,796471,0,1
21-06-2025,Mizoram,Mammit,796501,0,1
21-06-2025,Mizoram,Saitual,796290,0,1
22-06-2025,Mizoram,Lunglei,796710,0,6
22-06-2025,Mizoram,Lunglei,796730,0,1
23-06-2025,Mizoram,Aizawl,796036,0,1
23-06-2025,Mizoram,Lunglei,796710,0,13
23-06-2025,Mizoram,Mammit,796471,0,1
24-06-2025,Mizoram,Aizawl,796025,0,1
24-06-2025,Mizoram,Lunglei,796101,0,2
28-06-2025,Mizoram,Aizawl,796014,0,2
28-06-2025,Mizoram,Aizawl,796015,0,1
28-06-2025,Mizoram,Aizawl,796190,0,2
28-06-2025,Mizoram,Aizawl,796441,0,1
28-06-2025,Mizoram,Champhai,796370,0,1
28-06-2025,Mizoram,Saitual,796290,0,1
28-06-2025,Mizoram,Saitual,796291,0,1
28-06-2025,Mizoram,Serchhip,796186,0,1
27-06-2025,Mizoram,Aizawl,796036,0,1
27-06-2025,Mizoram,Khawzawl,796310,0,1
27-06-2025,Mizoram,Kolasib,796075,0,1
27-06-2025,Mizoram,Mammit,796081,0,11
29-06-2025,Mizoram,Aizawl,796009,0,2
29-06-2025,Mizoram,Saiha,796901,0,1
29-06-2025,Mizoram,Saiha,796911,0,2
15-06-2025,Mizoram,Aizawl,796005,1,0
15-06-2025,Mizoram,Lunglei,796730,2,0
15-06-2025,Mizoram,Saitual,796261,0,1
27-05-2025,Mizoram,Saitual,796290,0,1
29-05-2025,Mizoram,Kolasib,796014,0,2
29-05-2025,Mizoram,Mamit,796501,1,0
21-05-2025,Mizoram,Aizawl,796190,0,1
21-05-2025,Mizoram,Lunglei,796181,0,1
21-05-2025,Mizoram,Saitual,796261,0,2
23-05-2025,Mizoram,Champhai,796261,0,1
23-05-2025,Mizoram,Mammit,796431,0,1
24-05-2025,Mizoram,Champhai,796290,0,1
30-05-2025,Mizoram,Saiha,796901,0,1
30-05-2025,Mizoram,Saiha,796911,0,1
20-05-2025,Mizoram,Aizawl,796015,0,3
20-05-2025,Mizoram,Aizawl,796190,0,3
20-05-2025,Mizoram,Champhai,796320,0,4
20-05-2025,Mizoram,Mammit,796501,0,1
22-05-2025,Mizoram,Aizawl,796008,0,2
22-05-2025,Mizoram,Khawzawl,796310,0,1
22-05-2025,Mizoram,Saitual,796261,0,4
22-05-2025,Mizoram,Serchhip,796186,0,3
19-10-2025,Mizoram,Aizawl,796261,0,1
19-10-2025,Mizoram,Lawngtlai,796770,0,2
20-10-2025,Mizoram,Aizawl,796012,3,1
20-10-2025,Mizoram,Aizawl,796014,0,1
20-10-2025,Mizoram,Aizawl,796410,15,8
20-10-2025,Mizoram,Champhai,796321,7,3
18-10-2025,Mizoram,Aizawl,796001,2,3
18-10-2025,Mizoram,Aizawl,796014,6,7
18-10-2025,Mizoram,Aizawl,796017,1,0
18-10-2025,Mizoram,Aizawl,796036,0,1
18-10-2025,Mizoram,Aizawl,796261,1,0
18-10-2025,Mizoram,Kolasib,796091,0,1
18-10-2025,Mizoram,Lunglei,796730,0,1
18-10-2025,Mizoram,Mammit,796421,3,18
18-10-2025,Mizoram,Mammit,796441,0,1
04-06-2025,Mizoram,Kolasib,796014,0,1
04-06-2025,Mizoram,Kolasib,796101,0,4
04-06-2025,Mizoram,Mamit,796431,1,5
03-06-2025,Mizoram,Kolasib,796014,0,2
26-05-2025,Mizoram,Khawzawl,796310,0,2
26-05-2025,Mizoram,Mamit,796471,0,2
02-06-2025,Mizoram,Aizawl,796012,0,2
02-06-2025,Mizoram,Aizawl,796190,0,2
02-06-2025,Mizoram,Lawngtlai,796901,0,1
02-06-2025,Mizoram,Mamit,796501,1,0
31-05-2025,Mizoram,Aizawl,796410,0,1
31-05-2025,Mizoram,Saitual,796261,0,1
09-06-2025,Mizoram,Aizawl,796161,0,2
09-06-2025,Mizoram,Mammit,796501,0,3
08-06-2025,Mizoram,Aizawl,796007,0,1
06-06-2025,Mizoram,Lunglei,796581,0,1
06-06-2025,Mizoram,Lunglei,796730,1,1
21-10-2025,Mizoram,Aizawl,796009,27,24
21-10-2025,Mizoram,Aizawl,796025,2,2
21-10-2025,Mizoram,Aizawl,796111,4,1
21-10-2025,Mizoram,Aizawl,796161,4,1
21-10-2025,Mizoram,Kolasib,796081,2,5
21-10-2025,Mizoram,Lawngtlai,796810,0,2
21-10-2025,Mizoram,Lunglei,796101,0,1
21-10-2025,Mizoram,Lunglei,796701,6,8
21-10-2025,Mizoram,Mamit,796471,4,0
21-10-2025,Mizoram,Saiha,796911,4,3
21-10-2025,Mizoram,Serchhip,796186,2,0
28-05-2025,Mizoram,Champhai,796370,0,1
28-05-2025,Mizoram,Kolasib,796007,0,1
28-05-2025,Mizoram,Mammit,796431,0,2
28-05-2025,Mizoram,Mammit,796471,1,4
31-07-2025,Mizoram,Aizawl,796015,0,3
31-07-2025,Mizoram,Khawzawl,796310,0,1
31-07-2025,Mizoram,Kolasib,796075,0,1
25-07-2025,Mizoram,Aizawl,796410,0,4
25-07-2025,Mizoram,Lunglei,796710,0,1
23-07-2025,Mizoram,Mammit,796081,0,1
05-08-2025,Mizoram,Mamit,796501,1,0
05-08-2025,Mizoram,Mammit,796471,1,1
01-08-2025,Mizoram,Aizawl,796161,0,2
01-08-2025,Mizoram,Khawzawl,796310,0,1
02-08-2025,Mizoram,Aizawl,796015,3,0
02-08-2025,Mizoram,Champhai,796370,0,1
02-08-2025,Mizoram,Lawngtlai,796772,0,1
13-08-2025,Mizoram,Kolasib,796070,0,4
08-08-2025,Mizoram,Mammit,796421,1,0
08-08-2025,Mizoram,Saitual,796261,0,1
