date,state,district,pincode,bio_age_5_17,bio_age_17_
25-11-2025,Nagaland,Kohima,797004,0,1
25-11-2025,Nagaland,Tseminyu,797105,0,1
05-12-2025,Nagaland,Dimapur,798621,0,1
05-12-2025,Nagaland,Kohima,797110,0,3
05-12-2025,Nagaland,Tuensang,798625,0,1
06-12-2025,Nagaland,Meluri,797114,1,19
06-12-2025,Nagaland,Phek,797102,2,1
14-12-2025,Nagaland,Kohima,797101,0,1
14-12-2025,Nagaland,Longleng,798622,0,1
14-12-2025,Nagaland,Mokokchung,798601,0,2
14-12-2025,Nagaland,Mokokchung,798613,1,2
14-12-2025,Nagaland,Mon,798602,0,2
14-12-2025,Nagaland,Mon,798603,2,3
14-12-2025,Nagaland,Phek,797104,1,2
07-12-2025,Nagaland,Meluri,797114,7,36
07-12-2025,Nagaland,Mon,798621,9,6
07-12-2025,Nagaland,Phek,797107,1,2
07-12-2025,Nagaland,Tuensang,798616,0,2
07-12-2025,Nagaland,Zunheboto,798619,0,1
10-12-2025,Nagaland,Peren,797103,1,0
13-12-2025,Nagaland,Dimapur,797117,1,0
13-12-2025,Nagaland,Meluri,797114,7,14
13-12-2025,Nagaland,Mokokchung,798615,0,1
15-12-2025,Nagaland,Mokokchung,798618,0,2
15-12-2025,Nagaland,Niuland,797112,0,2
16-12-2025,Nagaland,Tuensang,798611,0,1
01-01-2026,Nagaland,Dimapur,797116,3,5
01-01-2026,Nagaland,Kohima,797105,0,2
01-01-2026,Nagaland,Longleng,798618,1,0
01-01-2026,Nagaland,Longleng,798625,1,3
01-01-2026,Nagaland,Mon,798602,0,7
01-01-2026,Nagaland,Phek,797114,0,1
01-01-2026,Nagaland,Shamator,798628,1,0
01-01-2026,Nagaland,Tuensang,798612,4,9
01-01-2026,Nagaland,Wokha,797100,0,2
01-01-2026,Nagaland,Zunheboto,798620,1,6
03-01-2026,Nagaland,Dimapur,797112,0,6
02-01-2026,Nagaland,Dimapur,797106,0,1
02-01-2026,Nagaland,Kohima,797003,1,0
02-01-2026,Nagaland,Kohima,797101,0,1
02-01-2026,Nagaland,Phek,797107,1,1
19-12-2025,Nagaland,Mokokchung,798623,0,1
20-12-2025,Nagaland,Dimapur,797106,1,1
25-12-2025,Nagaland,Noklak,798626,1,2
25-12-2025,Nagaland,Phek,797102,0,1
25-12-2025,Nagaland,Tuensang,798626,0,1
25-12-2025,Nagaland,Zunheboto,798619,0,1
29-12-2025,Nagaland,Dimapur,797115,1,4
29-12-2025,Nagaland,Dimapur,798621,0,1
29-12-2025,Nagaland,Kohima,797003,0,5
29-12-2025,Nagaland,Kohima,797101,0,1
29-12-2025,Nagaland,Mon,798603,2,6
29-12-2025,Nagaland,Tuensang,798616,0,1
29-12-2025,Nagaland,Zunheboto,797109,1,0
29-12-2025,Nagaland,Zunheboto,798601,1,0
26-12-2025,Nagaland,Phek,797108,0,1
27-12-2025,Nagaland,Kiphire,798611,0,5
27-12-2025,Nagaland,Phek,797107,1,3
27-12-2025,Nagaland,Zunheboto,797109,1,1
23-12-2025,Nagaland,Kohima,797109,0,1
23-12-2025,Nagaland,Mokokchung,798618,0,1
25-12-2025,Nagaland,Chumukedima,797106,0,1
25-12-2025,Nagaland,Longleng,798625,0,1
24-12-2025,Nagaland,Dimapur,797113,0,1
24-12-2025,Nagaland,Peren,797110,0,1
26-12-2025,Nagaland,Mokokchung,798604,0,1
26-12-2025,Nagaland,Shamator,798628,0,2
17-12-2025,Nagaland,Chumukedima,797112,1,1
17-12-2025,Nagaland,Niuland,797112,0,1
22-12-2025,Nagaland,Mokokchung,798618,1,1
18-12-2025,Nagaland,Niuland,797112,0,1
19-12-2025,Nagaland,Niuland,797116,0,1
19-12-2025,Nagaland,Tuensang,798611,0,2
20-12-2025,Nagaland,Tseminyu,797109,0,1
12-12-2025,Nagaland,Chumukedima,797103,0,2
