date,state,district,pincode,bio_age_5_17,bio_age_17_
19-09-2025,ODISHA,NUAPADA,766107,0,1
20-05-2025,ODISHA,NUAPADA,766107,0,1
30-05-2025,ODISHA,NUAPADA,766107,1,0
27-05-2025,ODISHA,NUAPADA,766107,0,1
10-06-2025,ODISHA,NUAPADA,766107,1,0
06-06-2025,ODISHA,NUAPADA,766107,1,0
25-08-2025,ODISHA,NUAPADA,766107,0,1
23-07-2025,ODISHA,NUAPADA,766107,0,1
01-07-2025,ODISHA,NUAPADA,766107,0,1
12-07-2025,ODISHA,NUAPADA,766118,0,1
30-07-2025,ODISHA,NUAPADA,766107,2,0
16-07-2025,ODISHA,NUAPADA,766107,1,0
16-08-2025,ODISHA,NUAPADA,766118,0,1
22-08-2025,ODISHA,NUAPADA,766107,0,1
04-09-2025,ODISHA,NUAPADA,766107,0,2
06-09-2025,ODISHA,NUAPADA,766107,0,1
29-11-2025,ODISHA,NUAPADA,766107,0,2
12-11-2025,ODISHA,NUAPADA,766107,0,1
05-12-2025,ODISHA,NUAPADA,766107,0,1
18-11-2025,ODISHA,NUAPADA,766118,1,0
05-12-2025,ODISHA,NUAPADA,766118,1,0
17-12-2025,ODISHA,NUAPADA,766107,0,2
12-12-2025,ODISHA,NUAPADA,766107,0,1
11-09-2025,ODISHA,NUAPADA,766107,0,2
12-11-2025,ODISHA,NUAPADA,766118,1,0
06-10-2025,ODISHA,NUAPADA,766107,1,0
29-10-2025,ODISHA,NUAPADA,766107,0,2
24-11-2025,ODISHA,NUAPADA,766107,0,1
07-06-2025,ODISHA,NUAPADA,766118,0,1
07-07-2025,ODISHA,NUAPADA,766118,0,1
24-05-2025,ODISHA,NUAPADA,766107,0,1
04-08-2025,ODISHA,NUAPADA,766107,1,0
21-07-2025,ODISHA,NUAPADA,766107,0,1
19-07-2025,ODISHA,NUAPADA,766107,0,1
04-07-2025,ODISHA,NUAPADA,766107,0,1
13-06-2025,ODISHA,NUAPADA,766118,0,1
12-06-2025,ODISHA,NUAPADA,766107,0,1
13-06-2025,ODISHA,NUAPADA,766107,1,2
17-06-2025,ODISHA,NUAPADA,766107,0,1
10-07-2025,ODISHA,NUAPADA,766107,0,1
19-12-2025,ODISHA,NUAPADA,766118,0,1
24-12-2025,ODISHA,NUAPADA,766118,0,1
17-10-2025,ODISHA,NUAPADA,766107,0,1
15-10-2025,ODISHA,NUAPADA,766107,0,1
16-12-2025,ODISHA,NUAPADA,766107,0,1
25-12-2025,ODISHA,NUAPADA,766107,0,1
18-12-2025,ODISHA,NUAPADA,766107,0,1
26-12-2025,ODISHA,NUAPADA,766118,0,2
29-12-2025,ODISHA,NUAPADA,766107,1,0
02-01-2026,ODISHA,NUAPADA,766107,0,1
14-11-2025,ODISHA,NUAPADA,766107,0,1
06-11-2025,ODISHA,NUAPADA,766107,0,1
26-09-2025,ODISHA,NUAPADA,766107,0,1
27-09-2025,ODISHA,NUAPADA,766107,0,1
04-10-2025,ODISHA,NUAPADA,766107,0,1
16-09-2025,ODISHA,NUAPADA,766107,0,1
19-08-2025,ODISHA,NUAPADA,766107,0,1
05-08-2025,ODISHA,NUAPADA,766107,1,0
09-06-2025,ODISHA,NUAPADA,766118,0,1
09-07-2025,ODISHA,NUAPADA,766118,0,1
11-06-2025,ODISHA,NUAPADA,766107,1,0
12-08-2025,ODISHA,NUAPADA,766107,0,1
08-08-2025,ODISHA,NUAPADA,766107,1,0
01-07-2025,ODISHA,NUAPADA,766118,0,2
28-06-2025,ODISHA,NUAPADA,766107,1,0
28-11-2025,ODISHA,NUAPADA,766107,0,1
26-11-2025,ODISHA,NUAPADA,766118,0,1
01-12-2025,ODISHA,NUAPADA,766107,0,1
26-10-2025,ODISHA,NUAPADA,766107,1,0
17-11-2025,ODISHA,NUAPADA,766107,0,2
10-12-2025,ODISHA,NUAPADA,766107,0,2
05-11-2025,ODISHA,NUAPADA,766118,1,0
30-10-2025,ODISHA,NUAPADA,766107,0,1
06-10-2025,ODISHA,NUAPADA,766118,0,1
20-08-2025,ODISHA,NUAPADA,766118,0,1
01-09-2025,ODISHA,NUAPADA,766118,0,1
10-10-2025,ODISHA,NUAPADA,766107,0,1
16-10-2025,ODISHA,NUAPADA,766107,0,1
01-12-2025,ODISHA,NUAPADA,766118,0,1
13-12-2025,ODISHA,NUAPADA,766107,0,1
04-12-2025,ODISHA,NUAPADA,766118,1,0
28-05-2025,ODISHA,NUAPADA,766107,0,1
26-06-2025,ODISHA,NUAPADA,766107,0,1
12-09-2025,ODISHA,NUAPADA,766107,0,1
16-08-2025,ODISHA,NUAPADA,766107,0,1
18-08-2025,ODISHA,NUAPADA,766107,0,1
15-09-2025,ODISHA,NUAPADA,766118,0,1
01-08-2025,ODISHA,NUAPADA,766107,1,0
05-08-2025,ODISHA,NUAPADA,766118,0,1
02-09-2025,ODISHA,NUAPADA,766118,0,1
22-09-2025,ODISHA,NUAPADA,766107,0,1
03-10-2025,ODISHA,NUAPADA,766118,0,1
23-09-2025,ODISHA,NUAPADA,766107,0,1
29-07-2025,ODISHA,NUAPADA,766118,0,1
16-06-2025,ODISHA,NUAPADA,766118,0,1
17-07-2025,ODISHA,NUAPADA,766107,0,1
11-07-2025,ODISHA,NUAPADA,766107,0,1
22-10-2025,ODISHA,NUAPADA,766107,0,2
04-11-2025,ODISHA,NUAPADA,766107,0,1
11-11-2025,ODISHA,NUAPADA,766107,0,1
01-11-2025,ODISHA,NUAPADA,766107,0,1
31-10-2025,ODISHA,NUAPADA,766107,0,1
13-10-2025,ODISHA,NUAPADA,766118,0,1
23-08-2025,ODISHA,NUAPADA,766107,0,2
21-06-2025,ODISHA,NUAPADA,766118,0,1
24-05-2025,ODISHA,NUAPADA,766118,0,1
30-05-2025,ODISHA,NUAPADA,766118,0,1
21-06-2025,ODISHA,NUAPADA,766107,0,1
07-08-2025,ODISHA,NUAPADA,766107,0,1
20-12-2025,ODISHA,NUAPADA,766107,0,1
15-12-2025,ODISHA,NUAPADA,766107,0,1
27-11-2025,ODISHA,NUAPADA,766107,0,1
11-12-2025,ODISHA,NUAPADA,766107,0,2
21-11-2025,ODISHA,NUAPADA,766107,0,2
29-05-2025,ODISHA,NUAPADA,766107,0,1
07-06-2025,ODISHA,NUAPADA,766107,0,1
09-06-2025,ODISHA,NUAPADA,766107,0,3
20-10-2025,ODISHA,NUAPADA,766107,1,1
18-10-2025,ODISHA,NUAPADA,766118,1,0
28-05-2025,ODISHA,NUAPADA,766118,0,1
28-07-2025,ODISHA,NUAPADA,766107,0,1
08-07-2025,ODISHA,NUAPADA,766107,0,1
08-07-2025,ODISHA,NUAPADA,766118,0,1
05-09-2025,ODISHA,NUAPADA,766118,1,0
04-09-2025,ODISHA,NUAPADA,766118,0,1
14-10-2025,ODISHA,NUAPADA,766107,0,1
17-09-2025,ODISHA,NUAPADA,766107,0,1
