date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Orissa,Bhadrak,756117,11,38
01-03-2025,Orissa,Puri,752110,10,44
01-03-2025,Orissa,Bhadrak,756125,25,73
01-03-2025,Orissa,Bargarh,768030,16,118
01-03-2025,Orissa,Jajapur,755008,15,56
01-03-2025,Orissa,Khordha,751006,24,118
01-03-2025,Orissa,Dhenkanal,759018,14,51
01-03-2025,Orissa,Balangir,767002,38,244
01-04-2025,Orissa,Puri,752104,14,35
01-04-2025,Orissa,Balangir,767024,16,63
01-03-2025,Orissa,Cuttack,753002,14,78
01-03-2025,Orissa,Ganjam,761020,31,138
01-03-2025,Orissa,Baleshwar,756002,18,111
01-03-2025,Orissa,Khordha,751003,22,161
01-03-2025,Orissa,Baleshwar,756036,11,43
01-03-2025,Orissa,Bhadrak,756100,33,136
01-03-2025,Orissa,Puri,752014,15,105
01-03-2025,Orissa,Khordha,752034,10,67
01-04-2025,Orissa,Bhadrak,756101,11,54
01-03-2025,Orissa,Ganjam,761002,16,61
01-04-2025,Orissa,Nayagarh,752070,10,38
01-04-2025,Orissa,Ganjam,760002,21,41
01-04-2025,Orissa,Bhadrak,756128,16,36
01-04-2025,Orissa,Khordha,751024,20,158
01-04-2025,Orissa,Balangir,767030,10,15
01-04-2025,Orissa,Cuttack,754029,18,81
01-04-2025,Orissa,Puri,752110,12,17
01-04-2025,Orissa,Cuttack,753001,36,232
01-04-2025,Orissa,Ganjam,760006,16,18
01-04-2025,Orissa,Rayagada,765017,22,149
01-05-2025,Orissa,Khordha,751001,14,84
01-05-2025,Orissa,Ganjam,761026,31,77
01-05-2025,Orissa,Baleshwar,756020,13,10
01-06-2025,Orissa,Balangir,767029,13,44
01-06-2025,Orissa,Ganjam,760003,12,54
01-06-2025,Orissa,Ganjam,761020,36,148
01-05-2025,Orissa,Cuttack,754021,11,24
01-05-2025,Orissa,Dhenkanal,759018,10,20
01-05-2025,Orissa,Cuttack,753001,38,254
01-05-2025,Orissa,Ganjam,760007,14,28
01-05-2025,Orissa,Khordha,751024,16,183
01-05-2025,Orissa,Ganjam,761002,18,24
01-05-2025,Orissa,Koraput,764056,20,69
01-06-2025,Orissa,Balangir,767001,15,87
01-06-2025,Orissa,Baleshwar,756044,10,14
01-05-2025,Orissa,Cuttack,753002,13,86
01-05-2025,Orissa,Bhadrak,756181,11,44
01-06-2025,Orissa,Rayagada,765017,13,118
01-06-2025,Orissa,Cuttack,753003,11,51
01-06-2025,Orissa,Ganjam,760002,15,68
01-06-2025,Orissa,Puri,752111,12,10
01-06-2025,Orissa,Baleshwar,756002,14,38
01-06-2025,Orissa,Balangir,767040,20,73
12-09-2025,Orissa,Bhadrak,756137,0,1
13-09-2025,Orissa,Baleshwar,756020,1,0
13-09-2025,Orissa,Khordha,751021,0,1
15-09-2025,Orissa,Baleshwar,756081,0,1
15-09-2025,Orissa,Koraput,764020,0,1
17-09-2025,Orissa,Puri,752108,0,2
08-09-2025,Orissa,Jajapur,755013,0,1
08-09-2025,Orissa,Khordha,752066,0,1
06-09-2025,Orissa,Khordha,751011,0,1
06-09-2025,Orissa,Mayurbhanj,757039,1,0
09-09-2025,Orissa,Mayurbhanj,757055,0,1
27-10-2025,Orissa,Balangir,767068,0,2
27-10-2025,Orissa,Cuttack,753007,0,1
27-10-2025,Orissa,Cuttack,754202,0,1
27-10-2025,Orissa,Jagatsinghapur,754136,0,1
27-10-2025,Orissa,Kandhamal,762104,0,1
27-10-2025,Orissa,Kendrapara,754213,0,1
27-10-2025,Orissa,Khordha,751023,0,1
27-10-2025,Orissa,Nayagarh,752081,0,1
27-10-2025,Orissa,Sundargarh,770033,0,1
28-10-2025,Orissa,Baleshwar,756047,1,0
28-10-2025,Orissa,Bargarh,768111,0,1
