date,state,district,pincode,bio_age_5_17,bio_age_17_
03-01-2026,Pondicherry,Karaikal,609604,0,1
03-01-2026,Pondicherry,Pondicherry,605004,1,0
03-01-2026,Pondicherry,Pondicherry,605007,0,1
03-01-2026,Pondicherry,Pondicherry,605110,1,2
02-01-2026,Pondicherry,Pondicherry,605004,3,12
02-01-2026,Pondicherry,Pondicherry,605009,6,6
02-01-2026,Pondicherry,Pondicherry,605013,2,1
02-01-2026,Pondicherry,Pondicherry,605502,4,6
02-01-2026,Pondicherry,Pondicherry,607402,5,15
14-12-2025,Pondicherry,Karaikal,609607,0,1
14-12-2025,Pondicherry,Pondicherry,605003,3,2
14-12-2025,Pondicherry,Pondicherry,605012,1,0
14-12-2025,Pondicherry,Pondicherry,605013,1,0
14-12-2025,Pondicherry,Pondicherry,605502,0,2
25-12-2025,Pondicherry,Karaikal,609603,0,4
25-12-2025,Pondicherry,Karaikal,609604,0,5
25-12-2025,Pondicherry,Karaikal,609605,1,3
25-12-2025,Pondicherry,Karaikal,609606,0,2
25-12-2025,Pondicherry,Karaikal,609607,2,3
28-12-2025,Pondicherry,Karaikal,609605,1,1
28-12-2025,Pondicherry,Pondicherry,605004,1,0
29-12-2025,Pondicherry,Pondicherry,533464,0,1
29-12-2025,Pondicherry,Pondicherry,605009,4,3
29-12-2025,Pondicherry,Pondicherry,605011,1,1
29-12-2025,Pondicherry,Pondicherry,605012,0,1
29-12-2025,Pondicherry,Pondicherry,605102,0,3
29-12-2025,Pondicherry,Pondicherry,605106,0,4
27-12-2025,Pondicherry,Karaikal,609609,0,2
27-12-2025,Pondicherry,Pondicherry,605502,1,0
27-12-2025,Pondicherry,Pondicherry,607402,2,12
01-01-2026,Pondicherry,Karaikal,609601,1,2
01-01-2026,Pondicherry,Karaikal,609604,0,7
01-01-2026,Pondicherry,Karaikal,609606,0,2
01-01-2026,Pondicherry,Pondicherry,605001,4,14
01-01-2026,Pondicherry,Pondicherry,605005,2,4
01-01-2026,Pondicherry,Pondicherry,605014,1,8
01-01-2026,Pondicherry,Pondicherry,605110,9,13
03-12-2025,Pondicherry,Pondicherry,605102,1,1
03-12-2025,Pondicherry,Pondicherry,605107,0,3
04-12-2025,Pondicherry,Yanam,533464,0,2
07-12-2025,Pondicherry,Karaikal,609603,1,0
07-12-2025,Pondicherry,Pondicherry,605007,2,2
07-12-2025,Pondicherry,Pondicherry,605008,1,4
07-12-2025,Pondicherry,Pondicherry,605014,0,3
07-12-2025,Pondicherry,Pondicherry,605105,0,1
07-12-2025,Pondicherry,Pondicherry,605108,1,0
07-12-2025,Pondicherry,Pondicherry,607402,2,4
26-12-2025,Pondicherry,Pondicherry,673311,0,1
17-12-2025,Pondicherry,Pondicherry,533464,0,1
19-12-2025,Pondicherry,Karaikal,609605,0,2
21-12-2025,Pondicherry,Pondicherry,605007,0,1
13-12-2025,Pondicherry,Pondicherry,605006,0,2
06-12-2025,Pondicherry,Karaikal,609609,0,2
07-12-2025,Pondicherry,Pondicherry,605009,0,1
20-12-2025,Pondicherry,Pondicherry,605105,0,1
30-11-2025,Pondicherry,Pondicherry,605007,0,1
29-11-2025,Pondicherry,Pondicherry,605111,0,1
29-11-2025,Pondicherry,Yanam,533464,0,7
01-03-2025,Pondicherry,Pondicherry,605007,41,200
01-03-2025,Pondicherry,Pondicherry,605110,33,244
01-03-2025,Pondicherry,Pondicherry,605003,21,149
01-03-2025,Pondicherry,Pondicherry,605004,18,203
01-03-2025,Pondicherry,Pondicherry,605001,18,138
01-04-2025,Pondicherry,Pondicherry,605004,29,170
01-04-2025,Pondicherry,Pondicherry,605011,14,38
01-04-2025,Pondicherry,Pondicherry,605005,17,54
01-05-2025,Pondicherry,Pondicherry,605502,21,81
01-06-2025,Pondicherry,Pondicherry,605003,27,129
01-05-2025,Pondicherry,Pondicherry,605004,44,154
01-06-2025,Pondicherry,Pondicherry,605110,56,207
19-10-2025,Pondicherry,Karaikal,609601,1,4
19-10-2025,Pondicherry,Pondicherry,605107,1,5
19-10-2025,Pondicherry,Pondicherry,605110,1,14
19-10-2025,Pondicherry,Pondicherry,605111,1,1
19-10-2025,Pondicherry,Pondicherry,605502,0,5
