date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Puducherry,Puducherry,605014,29,39
01-03-2025,Puducherry,Puducherry,605007,87,127
01-03-2025,Puducherry,Puducherry,605011,17,42
01-03-2025,Puducherry,Puducherry,605102,18,26
01-03-2025,Puducherry,Karaikal,609609,56,224
01-05-2025,Puducherry,Puducherry,605007,160,90
01-03-2025,Puducherry,Karaikal,609606,30,116
01-05-2025,Puducherry,Karaikal,609609,98,179
01-05-2025,Puducherry,Karaikal,609602,145,269
01-06-2025,Puducherry,Puducherry,673310,34,43
01-06-2025,Puducherry,Karaikal,609606,35,117
01-05-2025,Puducherry,Puducherry,605502,49,50
01-05-2025,Puducherry,Puducherry,605107,49,31
01-05-2025,Puducherry,Puducherry,605501,30,34
01-05-2025,Puducherry,Puducherry,607402,92,68
01-05-2025,Puducherry,Puducherry,605106,47,37
01-05-2025,Puducherry,Puducherry,533464,64,47
01-06-2025,Puducherry,Karaikal,609602,107,262
01-06-2025,Puducherry,Puducherry,605110,119,126
01-06-2025,Puducherry,Puducherry,605005,38,54
19-10-2025,Puducherry,Puducherry,605007,9,2
19-10-2025,Puducherry,Puducherry,605014,0,2
19-10-2025,Puducherry,Puducherry,605105,2,1
19-10-2025,Puducherry,Puducherry,605502,6,0
20-10-2025,Puducherry,Puducherry,605004,0,1
17-10-2025,Puducherry,Puducherry,605102,2,0
26-10-2025,Puducherry,Karaikal,609601,3,4
26-10-2025,Puducherry,Puducherry,605502,5,5
26-10-2025,Puducherry,Puducherry,670671,1,0
26-10-2025,Puducherry,Puducherry,670672,1,2
26-10-2025,Puducherry,Puducherry,673311,3,0
15-10-2025,Puducherry,Puducherry,670671,2,0
02-11-2025,Puducherry,Karaikal,609605,3,3
02-11-2025,Puducherry,Karaikal,609607,5,0
02-11-2025,Puducherry,Puducherry,605001,3,7
02-11-2025,Puducherry,Puducherry,605005,2,0
16-11-2025,Puducherry,Karaikal,609601,0,1
05-12-2025,Puducherry,Puducherry,605107,1,0
24-12-2025,Puducherry,Pondicherry,605005,0,1
26-12-2025,Puducherry,Pondicherry,605007,1,0
25-12-2025,Puducherry,Karaikal,609607,0,2
25-12-2025,Puducherry,Karaikal,609609,0,2
25-12-2025,Puducherry,Puducherry,673310,0,1
07-12-2025,Puducherry,Puducherry,605003,2,1
07-12-2025,Puducherry,Puducherry,605106,2,0
19-12-2025,Puducherry,Pondicherry,605008,0,1
25-12-2025,Puducherry,Karaikal,609604,3,5
25-12-2025,Puducherry,Puducherry,670671,3,0
28-12-2025,Puducherry,Karaikal,609602,5,3
28-12-2025,Puducherry,Karaikal,609605,2,2
28-12-2025,Puducherry,Puducherry,605007,4,4
28-12-2025,Puducherry,Puducherry,605102,1,0
28-12-2025,Puducherry,Puducherry,605107,0,2
27-12-2025,Puducherry,Karaikal,609609,6,5
27-12-2025,Puducherry,Puducherry,605003,4,2
27-12-2025,Puducherry,Puducherry,605006,0,1
27-12-2025,Puducherry,Puducherry,605102,2,0
27-12-2025,Puducherry,Puducherry,605105,0,1
27-12-2025,Puducherry,Puducherry,605107,2,2
27-12-2025,Puducherry,Puducherry,605501,6,2
29-12-2025,Puducherry,Karaikal,609603,0,2
29-12-2025,Puducherry,Karaikal,609604,5,0
29-12-2025,Puducherry,Karaikal,609607,4,1
29-12-2025,Puducherry,Pondicherry,605009,0,1
29-12-2025,Puducherry,Puducherry,605003,2,1
29-12-2025,Puducherry,Puducherry,605004,10,3
29-12-2025,Puducherry,Puducherry,605009,7,4
29-12-2025,Puducherry,Puducherry,605011,1,1
01-01-2026,Puducherry,Karaikal,609604,6,4
01-01-2026,Puducherry,Puducherry,605009,15,5
01-01-2026,Puducherry,Puducherry,605011,2,0
01-01-2026,Puducherry,Puducherry,605110,28,6
21-12-2025,Puducherry,Puducherry,605008,0,2
21-12-2025,Puducherry,Puducherry,605110,0,1
12-12-2025,Puducherry,Puducherry,605011,0,12
12-12-2025,Puducherry,Puducherry,605102,0,1
14-12-2025,Puducherry,Puducherry,605009,0,5
03-01-2026,Puducherry,Puducherry,605001,2,0
03-01-2026,Puducherry,Puducherry,605004,1,1
03-01-2026,Puducherry,Puducherry,605010,1,1
03-01-2026,Puducherry,Puducherry,605013,1,2
03-01-2026,Puducherry,Puducherry,605110,1,0
03-01-2026,Puducherry,Puducherry,607402,1,0
03-01-2026,Puducherry,Puducherry,673310,1,0
02-01-2026,Puducherry,Karaikal,609602,19,12
02-01-2026,Puducherry,Karaikal,609606,3,2
02-01-2026,Puducherry,Puducherry,605001,1,2
02-01-2026,Puducherry,Puducherry,605102,3,3
02-01-2026,Puducherry,Puducherry,605110,19,8
02-01-2026,Puducherry,Puducherry,670672,1,1
02-01-2026,Puducherry,Puducherry,673310,9,3
22-12-2025,Puducherry,Karaikal,609603,0,6
22-12-2025,Puducherry,Puducherry,605102,1,3
11-12-2025,Puducherry,Puducherry,605111,0,1
06-12-2025,Puducherry,Puducherry,605111,1,0
07-12-2025,Puducherry,Puducherry,605001,0,4
07-12-2025,Puducherry,Puducherry,605008,0,2
07-12-2025,Puducherry,Puducherry,605009,1,1
16-11-2025,Puducherry,Puducherry,605007,0,2
30-11-2025,Puducherry,Karaikal,609603,0,1
30-11-2025,Puducherry,Puducherry,605004,0,3
30-11-2025,Puducherry,Puducherry,605009,0,5
30-11-2025,Puducherry,Puducherry,607402,1,0
29-11-2025,Puducherry,Yanam,533464,0,4
23-11-2025,Puducherry,Puducherry,605502,0,2
18-11-2025,Puducherry,Puducherry,670671,0,1
07-11-2025,Puducherry,Puducherry,670671,0,2
02-11-2025,Puducherry,Puducherry,605008,0,2
03-11-2025,Puducherry,Pondicherry,605008,0,1
05-11-2025,Puducherry,Puducherry,605006,0,3
05-11-2025,Puducherry,Yanam,533464,0,2
23-10-2025,Puducherry,Puducherry,605012,0,1
23-10-2025,Puducherry,Puducherry,670672,0,1
24-10-2025,Puducherry,Puducherry,605006,0,3
24-10-2025,Puducherry,Puducherry,673311,0,1
26-10-2025,Puducherry,Puducherry,605501,1,0
26-09-2025,Puducherry,Puducherry,670672,0,1
01-10-2025,Puducherry,Puducherry,605006,0,1
01-10-2025,Puducherry,Yanam,533464,0,2
12-09-2025,Puducherry,Pondicherry,605001,0,1
12-10-2025,Puducherry,Puducherry,605007,0,1
12-10-2025,Puducherry,Puducherry,605008,0,2
07-09-2025,Puducherry,Karaikal,609609,0,1
07-09-2025,Puducherry,Puducherry,533464,0,3
15-10-2025,Puducherry,Pondicherry,605004,0,1
13-10-2025,Puducherry,Puducherry,605006,0,1
13-10-2025,Puducherry,Puducherry,605012,1,0
21-10-2025,Puducherry,Puducherry,605007,0,3
21-10-2025,Puducherry,Puducherry,605009,2,1
21-10-2025,Puducherry,Puducherry,673311,0,1
22-10-2025,Puducherry,Puducherry,670671,0,1
05-10-2025,Puducherry,Puducherry,533464,0,2
05-10-2025,Puducherry,Puducherry,605007,0,1
05-10-2025,Puducherry,Puducherry,605009,0,2
28-09-2025,Puducherry,Puducherry,605004,0,2
28-09-2025,Puducherry,Puducherry,605110,0,2
21-09-2025,Puducherry,Puducherry,605003,0,2
22-09-2025,Puducherry,Puducherry,605105,0,1
14-09-2025,Puducherry,Karaikal,609601,0,2
14-09-2025,Puducherry,Karaikal,609605,0,1
21-08-2025,Puducherry,Pondicherry,607402,0,1
27-08-2025,Puducherry,Puducherry,605004,0,2
23-08-2025,Puducherry,Pondicherry,605110,1,0
28-08-2025,Puducherry,Puducherry,670672,0,1
15-08-2025,Puducherry,Karaikal,609609,0,4
17-08-2025,Puducherry,Karaikal,609601,0,1
13-08-2025,Puducherry,Puducherry,605105,0,1
13-08-2025,Puducherry,Yanam,533464,0,2
10-08-2025,Puducherry,Puducherry,605004,0,1
06-08-2025,Puducherry,Yanam,533464,0,1
05-08-2025,Puducherry,Puducherry,605102,0,1
05-08-2025,Puducherry,Puducherry,605105,0,3
01-08-2025,Puducherry,Puducherry,605111,0,2
26-07-2025,Puducherry,Puducherry,670671,0,1
20-07-2025,Puducherry,Karaikal,609605,0,1
20-07-2025,Puducherry,Puducherry,605007,0,2
20-07-2025,Puducherry,Puducherry,607402,0,1
15-07-2025,Puducherry,Puducherry,605105,0,1
11-07-2025,Puducherry,Puducherry,605006,0,1
11-07-2025,Puducherry,Puducherry,605111,0,1
24-07-2025,Puducherry,Puducherry,605006,0,2
27-07-2025,Puducherry,Karaikal,609609,0,1
28-07-2025,Puducherry,Puducherry,605006,0,4
17-07-2025,Puducherry,Yanam,533464,0,1
18-07-2025,Puducherry,Puducherry,605111,0,1
30-06-2025,Puducherry,Puducherry,605006,1,5
06-07-2025,Puducherry,Puducherry,605013,1,0
02-07-2025,Puducherry,Puducherry,605006,0,1
03-07-2025,Puducherry,Puducherry,605111,0,2
12-07-2025,Puducherry,Karaikal,609602,6,9
12-07-2025,Puducherry,Karaikal,609605,2,3
12-07-2025,Puducherry,Puducherry,605004,7,2
12-07-2025,Puducherry,Puducherry,605008,4,2
12-07-2025,Puducherry,Puducherry,605106,3,1
14-07-2025,Puducherry,Karaikal,609603,1,0
14-07-2025,Puducherry,Karaikal,609604,4,6
14-07-2025,Puducherry,Puducherry,605004,2,7
14-07-2025,Puducherry,Puducherry,605010,1,6
23-07-2025,Puducherry,Karaikal,609601,0,3
23-07-2025,Puducherry,Karaikal,609609,3,9
23-07-2025,Puducherry,Puducherry,605009,7,4
23-07-2025,Puducherry,Puducherry,605011,1,4
23-07-2025,Puducherry,Puducherry,605107,0,1
23-07-2025,Puducherry,Puducherry,605110,3,6
23-07-2025,Puducherry,Puducherry,670672,1,0
01-08-2025,Puducherry,Puducherry,605001,3,10
01-08-2025,Puducherry,Puducherry,605005,2,3
01-08-2025,Puducherry,Puducherry,605102,1,2
01-08-2025,Puducherry,Puducherry,673310,0,1
01-08-2025,Puducherry,Puducherry,673311,1,0
29-07-2025,Puducherry,Puducherry,605003,3,2
29-07-2025,Puducherry,Puducherry,605005,2,3
29-07-2025,Puducherry,Puducherry,605010,1,8
29-07-2025,Puducherry,Yanam,533464,1,3
30-07-2025,Puducherry,Karaikal,609606,2,3
30-07-2025,Puducherry,Karaikal,609607,10,1
30-07-2025,Puducherry,Puducherry,605007,5,6
30-07-2025,Puducherry,Puducherry,605107,7,4
30-07-2025,Puducherry,Puducherry,605110,13,6
30-07-2025,Puducherry,Puducherry,605501,1,1
30-07-2025,Puducherry,Puducherry,673311,1,0
04-08-2025,Puducherry,Puducherry,605008,12,11
04-08-2025,Puducherry,Puducherry,605501,5,4
04-08-2025,Puducherry,Puducherry,670672,1,1
04-08-2025,Puducherry,Puducherry,673310,2,4
04-08-2025,Puducherry,Puducherry,673311,2,0
05-08-2025,Puducherry,Karaikal,609604,6,7
05-08-2025,Puducherry,Puducherry,605106,10,1
05-08-2025,Puducherry,Puducherry,605111,2,2
