date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Sikkim,East,737102,75,109
01-03-2025,Sikkim,East Sikkim,737107,20,9
01-03-2025,Sikkim,East Sikkim,737133,19,21
01-03-2025,Sikkim,West Sikkim,737121,226,74
01-03-2025,Sikkim,West Sikkim,737113,207,42
01-03-2025,Sikkim,East,737131,15,19
01-03-2025,Sikkim,West,737113,107,112
01-03-2025,Sikkim,South,737132,13,46
01-03-2025,Sikkim,South Sikkim,737139,30,19
01-04-2025,Sikkim,East,737106,30,46
01-04-2025,Sikkim,West Sikkim,737121,146,82
01-04-2025,Sikkim,East Sikkim,737135,34,31
01-04-2025,Sikkim,West,737113,138,168
01-05-2025,Sikkim,South,737134,69,41
01-04-2025,Sikkim,North Sikkim,737120,14,12
01-04-2025,Sikkim,South Sikkim,737126,89,52
01-04-2025,Sikkim,South Sikkim,737134,58,28
01-04-2025,Sikkim,East,737135,31,65
01-04-2025,Sikkim,North,737116,17,29
01-04-2025,Sikkim,South,737128,22,47
01-05-2025,Sikkim,South Sikkim,737134,74,26
01-05-2025,Sikkim,East Sikkim,737101,42,38
01-06-2025,Sikkim,East,737103,10,28
01-05-2025,Sikkim,East Sikkim,737102,35,34
01-05-2025,Sikkim,East,737132,31,17
01-06-2025,Sikkim,East Sikkim,737132,14,15
01-06-2025,Sikkim,East,737135,16,45
01-06-2025,Sikkim,West Sikkim,737111,42,28
01-06-2025,Sikkim,East,737133,23,18
01-06-2025,Sikkim,South,737139,27,50
01-06-2025,Sikkim,East,737134,37,69
26-10-2025,Sikkim,East,737101,4,3
26-10-2025,Sikkim,East,737103,2,2
26-10-2025,Sikkim,East,737107,0,1
26-10-2025,Sikkim,East,737132,2,0
26-10-2025,Sikkim,East,737134,1,0
26-10-2025,Sikkim,East Sikkim,737103,2,1
26-10-2025,Sikkim,North Sikkim,737117,1,0
26-10-2025,Sikkim,South Sikkim,737126,2,1
24-10-2025,Sikkim,East Sikkim,737132,2,0
25-10-2025,Sikkim,East,737134,1,1
25-10-2025,Sikkim,North,737120,1,0
25-10-2025,Sikkim,North Sikkim,737120,4,0
21-10-2025,Sikkim,East,737103,1,0
07-11-2025,Sikkim,North,737120,1,0
09-11-2025,Sikkim,East,737103,0,1
08-11-2025,Sikkim,East,737102,1,1
12-11-2025,Sikkim,South,737139,1,0
14-11-2025,Sikkim,East,737107,0,1
16-11-2025,Sikkim,East,737101,2,1
16-11-2025,Sikkim,East,737131,0,1
16-11-2025,Sikkim,East Sikkim,737101,1,0
16-11-2025,Sikkim,South,737126,0,1
25-11-2025,Sikkim,North,737119,0,1
25-11-2025,Sikkim,South,737107,0,1
18-10-2025,Sikkim,South Sikkim,737128,1,0
15-10-2025,Sikkim,North,737120,0,2
29-10-2025,Sikkim,North,737119,0,1
31-10-2025,Sikkim,East Sikkim,737131,1,0
31-10-2025,Sikkim,North,737120,1,0
03-11-2025,Sikkim,North Sikkim,737119,0,1
20-10-2025,Sikkim,North Sikkim,737116,1,0
19-10-2025,Sikkim,East,737133,0,3
19-10-2025,Sikkim,East,737134,1,3
19-10-2025,Sikkim,East Sikkim,737138,2,0
19-10-2025,Sikkim,North Sikkim,737118,2,0
19-10-2025,Sikkim,South,737121,1,0
19-10-2025,Sikkim,South,737128,0,1
19-10-2025,Sikkim,South,737132,0,2
19-10-2025,Sikkim,South Sikkim,737134,1,0
19-10-2025,Sikkim,West,737121,1,1
30-10-2025,Sikkim,North,737107,0,2
30-10-2025,Sikkim,North,737117,2,0
02-11-2025,Sikkim,East,737101,0,4
02-11-2025,Sikkim,East,737131,0,2
02-11-2025,Sikkim,South,737131,0,1
02-11-2025,Sikkim,West Sikkim,737121,1,3
18-12-2025,Sikkim,South Sikkim,737132,1,0
01-12-2025,Sikkim,East,737132,0,3
01-12-2025,Sikkim,East Sikkim,737132,0,3
01-12-2025,Sikkim,Namchi,737134,0,1
01-12-2025,Sikkim,South Sikkim,737128,0,1
30-11-2025,Sikkim,East Sikkim,737134,0,1
29-11-2025,Sikkim,East Sikkim,737102,0,3
29-11-2025,Sikkim,Mangan,737116,0,1
29-11-2025,Sikkim,South,737139,0,3
29-11-2025,Sikkim,South Sikkim,737128,1,2
28-11-2025,Sikkim,Mangan,737116,0,1
28-11-2025,Sikkim,North Sikkim,737120,0,1
10-12-2025,Sikkim,Mangan,737116,0,2
10-12-2025,Sikkim,Namchi,737139,0,1
10-12-2025,Sikkim,South,737121,0,4
11-12-2025,Sikkim,East,737138,0,1
09-12-2025,Sikkim,Mangan,737119,0,1
09-12-2025,Sikkim,Namchi,737139,0,1
09-12-2025,Sikkim,South,737128,0,3
24-11-2025,Sikkim,East,737131,0,2
19-11-2025,Sikkim,East Sikkim,737131,0,1
19-11-2025,Sikkim,Mangan,737116,0,2
21-11-2025,Sikkim,Namchi,737128,0,1
13-11-2025,Sikkim,Namchi,737126,0,4
13-11-2025,Sikkim,North Sikkim,737117,0,1
14-11-2025,Sikkim,East Sikkim,737133,0,1
14-11-2025,Sikkim,Namchi,737132,0,1
16-11-2025,Sikkim,West,737111,0,1
15-11-2025,Sikkim,East,737131,0,2
15-11-2025,Sikkim,Namchi,737126,0,1
18-11-2025,Sikkim,East Sikkim,737131,0,1
18-11-2025,Sikkim,East Sikkim,737138,0,1
17-11-2025,Sikkim,East,737133,0,1
17-11-2025,Sikkim,East Sikkim,737134,0,7
17-11-2025,Sikkim,South Sikkim,737121,0,1
