date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Tripura,Sepahijala,799130,60,30
01-03-2025,Tripura,South Tripura,799156,121,183
01-03-2025,Tripura,West Tripura,799014,61,65
01-03-2025,Tripura,West Tripura,799115,146,476
01-03-2025,Tripura,North Tripura,799279,46,109
01-03-2025,Tripura,Gomati,799114,610,116
01-03-2025,Tripura,North Tripura,799264,71,344
01-03-2025,Tripura,North Tripura,799269,160,130
01-03-2025,Tripura,West Tripura,799210,330,309
01-03-2025,Tripura,Dhalai,799284,750,312
01-03-2025,Tripura,Gomati,799116,473,100
01-03-2025,Tripura,Dhalai,799287,330,114
01-03-2025,Tripura,South Tripura,799144,443,490
01-03-2025,Tripura,Dhalai,799273,1023,780
01-04-2025,Tripura,West Tripura,799207,218,206
01-04-2025,Tripura,North Tripura,799269,94,80
01-04-2025,Tripura,West Tripura,799002,196,196
01-04-2025,Tripura,North Tripura,799271,268,184
01-04-2025,Tripura,West Tripura,799181,142,275
01-04-2025,Tripura,Sepahijala,799100,173,27
01-05-2025,Tripura,North Tripura,799279,20,71
01-05-2025,Tripura,Dhalai,799275,314,221
01-03-2025,Tripura,West Tripura,799207,293,328
01-03-2025,Tripura,North Tripura,799253,363,214
01-03-2025,Tripura,Unakoti,799264,618,139
01-03-2025,Tripura,West Tripura,799130,191,280
01-03-2025,Tripura,South Tripura,799141,522,569
01-04-2025,Tripura,South Tripura,799144,419,251
01-04-2025,Tripura,West Tripura,799003,450,651
01-04-2025,Tripura,West Tripura,799007,51,80
01-04-2025,Tripura,Sepahijala,799130,50,28
01-04-2025,Tripura,Gomati,799114,530,85
01-04-2025,Tripura,West Tripura,799130,184,171
01-04-2025,Tripura,South Tripura,799156,124,142
01-04-2025,Tripura,West Tripura,799004,627,881
01-04-2025,Tripura,Gomati,799104,201,28
01-04-2025,Tripura,Dhalai,799286,373,156
01-04-2025,Tripura,South Tripura,799120,19,39
01-04-2025,Tripura,Khowai,799205,368,58
01-04-2025,Tripura,Dhalai,799285,551,218
01-04-2025,Tripura,North Tripura,799254,113,75
01-05-2025,Tripura,South Tripura,799104,157,228
01-05-2025,Tripura,West Tripura,799009,69,145
01-05-2025,Tripura,Sepahijala,799100,120,32
01-04-2025,Tripura,Khowai,799203,235,59
01-04-2025,Tripura,Sepahijala,799102,900,257
01-04-2025,Tripura,South Tripura,799153,123,156
01-04-2025,Tripura,Gomati,799116,413,59
01-05-2025,Tripura,Khowai,799201,149,90
01-05-2025,Tripura,West Tripura,799210,152,188
01-05-2025,Tripura,West Tripura,799012,39,44
01-05-2025,Tripura,Sepahijala,799103,154,135
01-05-2025,Tripura,North Tripura,799250,105,67
01-05-2025,Tripura,North Tripura,799263,50,192
01-05-2025,Tripura,Dhalai,799204,71,25
01-05-2025,Tripura,West Tripura,799212,133,142
01-05-2025,Tripura,North Tripura,799288,18,65
01-05-2025,Tripura,South Tripura,799144,251,227
01-05-2025,Tripura,West Tripura,799102,126,416
01-05-2025,Tripura,West Tripura,799015,54,122
01-06-2025,Tripura,South Tripura,799101,294,421
01-06-2025,Tripura,South Tripura,799116,40,147
01-06-2025,Tripura,Dhalai,799278,97,59
01-06-2025,Tripura,Dhalai,799264,228,183
01-06-2025,Tripura,West Tripura,799207,78,146
01-06-2025,Tripura,South Tripura,799156,63,99
01-06-2025,Tripura,West Tripura,799102,133,503
01-06-2025,Tripura,North Tripura,799253,85,126
01-06-2025,Tripura,West Tripura,799007,45,64
01-06-2025,Tripura,West Tripura,799008,93,230
01-06-2025,Tripura,Sepahijala,799100,55,22
01-06-2025,Tripura,North Tripura,799261,157,278
01-05-2025,Tripura,Sepahijala,799102,443,213
01-05-2025,Tripura,Gomati,799120,55,20
01-05-2025,Tripura,West Tripura,799211,227,336
01-05-2025,Tripura,West Tripura,799100,19,115
01-06-2025,Tripura,West Tripura,799202,10,24
01-06-2025,Tripura,North Tripura,799263,36,164
01-06-2025,Tripura,North Tripura,799256,129,71
01-06-2025,Tripura,Unakoti,799290,91,53
