date,state,district,pincode,bio_age_5_17,bio_age_17_
25-11-2025,Uttarakhand,Chamoli,246441,8,0
25-11-2025,Uttarakhand,Garhwal,246165,0,1
25-11-2025,Uttarakhand,Hardwar,249410,0,2
25-11-2025,Uttarakhand,Nainital,263137,3,0
19-11-2025,Uttarakhand,Dehradun,248012,1,0
17-11-2025,Uttarakhand,Chamoli,246431,0,1
17-11-2025,Uttarakhand,Dehradun,248011,0,3
17-11-2025,Uttarakhand,Garhwal,246172,0,2
18-11-2025,Uttarakhand,Almora,263651,0,2
18-11-2025,Uttarakhand,Pauri Garhwal,249306,1,0
18-11-2025,Uttarakhand,Tehri Garhwal,249125,0,2
01-12-2025,Uttarakhand,Hardwar,249407,0,1
01-12-2025,Uttarakhand,Pauri Garhwal,246142,1,0
01-12-2025,Uttarakhand,Uttarkashi,249123,1,0
02-12-2025,Uttarakhand,Almora,263676,6,0
02-12-2025,Uttarakhand,Dehradun,248013,1,0
02-12-2025,Uttarakhand,Dehradun,248144,2,1
02-12-2025,Uttarakhand,Dehradun,248195,0,1
04-12-2025,Uttarakhand,Bageshwar,263640,0,2
04-12-2025,Uttarakhand,Chamoli,246488,1,1
04-12-2025,Uttarakhand,Garhwal,246001,0,1
04-12-2025,Uttarakhand,Hardwar,247656,0,1
04-12-2025,Uttarakhand,Pauri Garhwal,246131,1,0
04-12-2025,Uttarakhand,Pauri Garhwal,246165,1,0
04-12-2025,Uttarakhand,Pithoragarh,262550,0,1
04-12-2025,Uttarakhand,Pithoragarh,262554,5,0
06-12-2025,Uttarakhand,Chamoli,246473,0,1
09-12-2025,Uttarakhand,Dehradun,248122,0,1
14-12-2025,Uttarakhand,Bageshwar,263635,1,2
14-12-2025,Uttarakhand,Bageshwar,263640,1,1
14-12-2025,Uttarakhand,Chamoli,246427,2,1
14-12-2025,Uttarakhand,Chamoli,246486,1,0
14-12-2025,Uttarakhand,Dehradun,248009,1,1
14-12-2025,Uttarakhand,Dehradun,248123,1,0
14-12-2025,Uttarakhand,Nainital,263128,0,1
14-12-2025,Uttarakhand,Pauri Garhwal,246148,1,0
14-12-2025,Uttarakhand,Pithoragarh,262520,1,0
14-12-2025,Uttarakhand,Pithoragarh,262551,1,0
14-12-2025,Uttarakhand,Pithoragarh,262554,0,3
07-12-2025,Uttarakhand,Almora,263621,0,1
07-12-2025,Uttarakhand,Almora,263646,3,6
07-12-2025,Uttarakhand,Almora,263656,10,3
07-12-2025,Uttarakhand,Bageshwar,263632,4,9
07-12-2025,Uttarakhand,Chamoli,246435,8,4
07-12-2025,Uttarakhand,Chamoli,246473,5,1
07-12-2025,Uttarakhand,Chamoli,246482,5,3
07-12-2025,Uttarakhand,Dehradun,248012,1,0
07-12-2025,Uttarakhand,Dehradun,248144,0,1
07-12-2025,Uttarakhand,Dehradun,248199,9,4
07-12-2025,Uttarakhand,Hardwar,247668,0,1
07-12-2025,Uttarakhand,Nainital,263137,1,0
07-12-2025,Uttarakhand,Pauri Garhwal,246146,2,1
07-12-2025,Uttarakhand,Pauri Garhwal,249301,1,0
07-12-2025,Uttarakhand,Pauri Garhwal,249302,1,0
07-12-2025,Uttarakhand,Pithoragarh,262502,1,0
07-12-2025,Uttarakhand,Pithoragarh,262529,2,1
07-12-2025,Uttarakhand,Pithoragarh,262531,9,2
07-12-2025,Uttarakhand,Pithoragarh,262532,17,5
07-12-2025,Uttarakhand,Pithoragarh,262545,3,2
07-12-2025,Uttarakhand,Rudraprayag,246442,6,5
07-12-2025,Uttarakhand,Rudraprayag,246445,1,0
07-12-2025,Uttarakhand,Rudraprayag,246495,3,1
07-12-2025,Uttarakhand,Tehri Garhwal,249001,9,10
07-12-2025,Uttarakhand,Uttarkashi,249135,3,1
