date,state,district,pincode,bio_age_5_17,bio_age_17_
23-06-2025,Uttaranchal,Dehradun,248005,0,1
14-06-2025,Uttaranchal,Dehradun,248001,0,1
11-08-2025,Uttaranchal,Dehradun,248198,0,1
23-06-2025,Uttaranchal,Nainital,263139,0,1
30-07-2025,Uttaranchal,Chamoli,246455,0,1
19-07-2025,Uttaranchal,Udham Singh Nagar *,262308,0,1
05-12-2025,Uttaranchal,Garhwal,249302,0,1
26-08-2025,Uttaranchal,Chamoli,246455,0,1
26-11-2025,Uttaranchal,Garhwal,249302,0,1
13-09-2025,Uttaranchal,Almora,263601,0,1
22-12-2025,Uttaranchal,Tehri Garhwal,249132,0,1
17-12-2025,Uttaranchal,Udham Singh Nagar *,244712,0,2
23-06-2025,Uttaranchal,Rudraprayag *,246442,0,1
19-11-2025,Uttaranchal,Dehradun,248001,0,1
12-07-2025,Uttaranchal,Dehradun,248145,0,1
18-06-2025,Uttaranchal,Champawat,262528,0,1
02-01-2026,Uttaranchal,Almora,263637,0,1
17-12-2025,Uttaranchal,Bageshwar,263635,0,1
13-10-2025,Uttaranchal,Almora,263658,0,1
22-08-2025,Uttaranchal,Chamoli,246444,1,0
17-12-2025,Uttaranchal,Chamoli,246449,0,1
