date,state,district,pincode,bio_age_5_17,bio_age_17_
01-11-2025,WEST BENGAL,HOOGHLY,712232,0,1
28-12-2025,WEST BENGAL,HOWRAH,711312,1,0
03-01-2026,WEST BENGAL,HOWRAH,711312,1,0
20-11-2025,WEST BENGAL,HOWRAH,711312,0,1
07-11-2025,WEST BENGAL,HOWRAH,711303,0,1
24-09-2025,WEST BENGAL,HOWRAH,711312,0,2
05-09-2025,WEST BENGAL,HOOGHLY,712232,0,1
15-09-2025,WEST BENGAL,HOWRAH,711312,0,1
16-09-2025,WEST BENGAL,HOOGHLY,712305,0,2
24-08-2025,WEST BENGAL,HOWRAH,711312,0,1
16-08-2025,WEST BENGAL,HOWRAH,711312,0,3
07-08-2025,WEST BENGAL,HOOGHLY,712233,0,2
02-08-2025,WEST BENGAL,HOOGHLY,712233,0,1
02-08-2025,WEST BENGAL,HOWRAH,711312,0,1
30-07-2025,WEST BENGAL,HOOGHLY,712232,0,1
24-10-2025,WEST BENGAL,HOOGHLY,712305,0,1
09-10-2025,WEST BENGAL,HOOGHLY,712233,0,1
31-10-2025,WEST BENGAL,HOOGHLY,712232,0,1
07-11-2025,WEST BENGAL,HOOGHLY,712232,0,1
29-07-2025,WEST BENGAL,HOOGHLY,712233,0,1
25-08-2025,WEST BENGAL,HOOGHLY,712233,0,2
20-07-2025,WEST BENGAL,HOOGHLY,712305,2,0
15-07-2025,WEST BENGAL,HOWRAH,711303,0,1
20-11-2025,WEST BENGAL,HOWRAH,711303,0,1
27-11-2025,WEST BENGAL,HOWRAH,711312,0,1
30-10-2025,WEST BENGAL,HOOGHLY,712232,0,1
11-11-2025,WEST BENGAL,HOOGHLY,712305,0,1
20-12-2025,WEST BENGAL,HOOGHLY,712305,0,2
23-12-2025,WEST BENGAL,HOOGHLY,712258,0,1
17-12-2025,WEST BENGAL,HOOGHLY,712233,0,2
17-11-2025,WEST BENGAL,HOOGHLY,712305,0,2
20-11-2025,WEST BENGAL,HOOGHLY,712233,0,1
20-11-2025,WEST BENGAL,HOOGHLY,712258,0,1
09-12-2025,WEST BENGAL,HOOGHLY,712233,0,1
08-10-2025,WEST BENGAL,HOWRAH,711312,0,1
18-10-2025,WEST BENGAL,HOOGHLY,712232,0,1
27-10-2025,WEST BENGAL,HOWRAH,711312,0,1
17-09-2025,WEST BENGAL,HOWRAH,711312,0,1
04-09-2025,WEST BENGAL,HOWRAH,711312,0,1
23-06-2025,WEST BENGAL,HOOGHLY,712233,0,2
30-05-2025,WEST BENGAL,HOWRAH,711312,0,1
18-06-2025,WEST BENGAL,HOWRAH,711312,0,1
01-07-2025,WEST BENGAL,HOOGHLY,712305,0,1
01-07-2025,WEST BENGAL,HOWRAH,711312,0,3
12-08-2025,WEST BENGAL,HOOGHLY,712232,0,1
22-07-2025,WEST BENGAL,HOOGHLY,712305,0,1
17-07-2025,WEST BENGAL,HOWRAH,711303,0,1
25-08-2025,WEST BENGAL,HOOGHLY,712305,0,1
30-08-2025,WEST BENGAL,HOOGHLY,712233,0,1
12-09-2025,WEST BENGAL,HOWRAH,711312,0,1
16-09-2025,WEST BENGAL,HOWRAH,711312,0,1
20-09-2025,WEST BENGAL,HOOGHLY,712305,0,2
06-09-2025,WEST BENGAL,HOWRAH,711312,1,0
26-09-2025,WEST BENGAL,HOOGHLY,712233,0,1
29-10-2025,WEST BENGAL,HOOGHLY,712233,0,1
10-11-2025,WEST BENGAL,HOOGHLY,712305,2,2
29-11-2025,WEST BENGAL,HOWRAH,711312,0,1
24-12-2025,WEST BENGAL,HOWRAH,711312,0,1
26-10-2025,WEST BENGAL,HOOGHLY,712305,0,1
26-10-2025,WEST BENGAL,HOWRAH,711312,0,2
18-10-2025,WEST BENGAL,HOWRAH,711312,1,1
03-11-2025,WEST BENGAL,HOWRAH,711312,0,1
27-11-2025,WEST BENGAL,HOOGHLY,712305,0,1
25-12-2025,WEST BENGAL,HOWRAH,711312,0,1
10-12-2025,WEST BENGAL,HOWRAH,711312,0,1
07-12-2025,WEST BENGAL,HOWRAH,711312,0,1
22-12-2025,WEST BENGAL,hooghly,712401,0,1
08-12-2025,WEST BENGAL,HOOGHLY,712305,0,1
09-12-2025,WEST BENGAL,HOOGHLY,712305,0,1
10-11-2025,WEST BENGAL,HOOGHLY,712258,0,1
31-10-2025,WEST BENGAL,HOWRAH,711312,0,4
23-09-2025,WEST BENGAL,hooghly,712401,0,1
21-10-2025,WEST BENGAL,HOOGHLY,712233,0,1
16-10-2025,WEST BENGAL,HOOGHLY,712305,0,1
16-10-2025,WEST BENGAL,hooghly,712401,0,1
19-08-2025,WEST BENGAL,HOWRAH,711312,0,1
18-08-2025,WEST BENGAL,HOOGHLY,712305,0,1
07-09-2025,WEST BENGAL,HOWRAH,711312,0,1
10-09-2025,WEST BENGAL,HOOGHLY,712233,0,1
10-09-2025,WEST BENGAL,HOWRAH,711312,0,1
08-09-2025,WEST BENGAL,HOOGHLY,712305,0,1
08-09-2025,WEST BENGAL,hooghly,712401,0,1
15-10-2025,WEST BENGAL,HOOGHLY,712233,0,1
08-11-2025,WEST BENGAL,hooghly,712401,0,1
16-10-2025,WEST BENGAL,HOWRAH,711312,0,1
03-10-2025,WEST BENGAL,HOWRAH,711312,0,1
23-10-2025,WEST BENGAL,HOOGHLY,712233,0,1
14-12-2025,WEST BENGAL,HOOGHLY,712305,0,1
26-06-2025,WEST BENGAL,HOOGHLY,712233,0,1
22-05-2025,WEST BENGAL,HOOGHLY,712258,0,1
17-08-2025,WEST BENGAL,HOOGHLY,712305,1,1
08-09-2025,WEST BENGAL,HOOGHLY,712232,0,1
13-08-2025,WEST BENGAL,HOOGHLY,712305,0,2
30-06-2025,WEST BENGAL,HOOGHLY,712305,1,0
20-06-2025,WEST BENGAL,HOWRAH,711312,0,1
26-10-2025,WEST BENGAL,HOOGHLY,712233,0,1
18-10-2025,WEST BENGAL,HOOGHLY,712233,0,1
30-10-2025,WEST BENGAL,HOOGHLY,712233,0,1
02-01-2026,WEST BENGAL,HOOGHLY,712258,0,1
23-12-2025,WEST BENGAL,HOOGHLY,712305,0,1
26-11-2025,WEST BENGAL,HOWRAH,711312,0,1
16-12-2025,WEST BENGAL,HOOGHLY,712233,0,3
18-12-2025,WEST BENGAL,HOOGHLY,712233,0,1
06-12-2025,WEST BENGAL,HOOGHLY,712305,0,4
28-10-2025,WEST BENGAL,HOOGHLY,712232,0,1
30-10-2025,WEST BENGAL,HOOGHLY,712258,0,1
16-09-2025,WEST BENGAL,HOOGHLY,712233,0,1
13-10-2025,WEST BENGAL,HOOGHLY,712232,0,1
31-08-2025,WEST BENGAL,HOWRAH,711312,0,1
27-08-2025,WEST BENGAL,HOOGHLY,712258,0,1
28-08-2025,WEST BENGAL,HOWRAH,711312,0,3
05-09-2025,WEST BENGAL,HOOGHLY,712233,0,1
08-08-2025,WEST BENGAL,HOOGHLY,712233,0,1
01-11-2025,WEST BENGAL,HOWRAH,711312,0,1
29-10-2025,WEST BENGAL,HOOGHLY,712232,0,1
19-11-2025,WEST BENGAL,HOWRAH,711312,0,1
24-11-2025,WEST BENGAL,HOWRAH,711312,0,1
09-12-2025,WEST BENGAL,HOWRAH,711312,0,1
29-05-2025,WEST BENGAL,HOWRAH,711312,0,1
26-06-2025,WEST BENGAL,HOOGHLY,712305,0,1
02-09-2025,WEST BENGAL,hooghly,712401,0,1
03-09-2025,WEST BENGAL,HOOGHLY,712232,0,1
05-09-2025,WEST BENGAL,HOWRAH,711312,1,0
