date,state,district,pincode,bio_age_5_17,bio_age_17_
26-10-2025,West  Bengal,Hooghly,712135,1,0
26-10-2025,West  Bengal,Hooghly,712222,0,1
30-10-2025,West  Bengal,Hooghly,712134,0,1
29-12-2025,West  Bengal,Hooghly,712135,1,0
24-11-2025,West  Bengal,Hooghly,712149,0,1
24-11-2025,West  Bengal,Hooghly,712222,0,1
25-11-2025,West  Bengal,Hooghly,712221,0,1
18-11-2025,West  Bengal,Hooghly,712124,0,1
06-12-2025,West  Bengal,Hooghly,712221,0,1
21-11-2025,West  Bengal,Hooghly,712149,0,1
04-11-2025,West  Bengal,Hooghly,712222,0,1
18-09-2025,West  Bengal,Hooghly,712134,0,1
18-09-2025,West  Bengal,Hooghly,712222,0,1
19-09-2025,West  Bengal,Hooghly,712149,0,1
20-10-2025,West  Bengal,Hooghly,712222,0,1
26-08-2025,West  Bengal,Hooghly,712221,0,1
22-08-2025,West  Bengal,Hooghly,712222,0,1
02-09-2025,West  Bengal,Hooghly,712134,0,1
23-08-2025,West  Bengal,Hooghly,712134,0,2
13-11-2025,West  Bengal,Hooghly,712149,0,1
13-10-2025,West  Bengal,Hooghly,712222,0,1
14-10-2025,West  Bengal,Hooghly,712134,0,1
23-05-2025,West  Bengal,Hooghly,712134,0,1
28-05-2025,West  Bengal,Hooghly,712221,0,1
04-09-2025,West  Bengal,Hooghly,712222,0,1
29-08-2025,West  Bengal,Hooghly,712221,1,0
31-07-2025,West  Bengal,Hooghly,712222,0,2
16-07-2025,West  Bengal,Hooghly,712135,0,1
16-06-2025,West  Bengal,Hooghly,712135,0,2
29-07-2025,West  Bengal,Hooghly,712221,0,1
29-05-2025,West  Bengal,Hooghly,712222,0,1
02-07-2025,West  Bengal,Hooghly,712222,1,0
18-07-2025,West  Bengal,Hooghly,712135,0,2
20-12-2025,West  Bengal,Hooghly,712135,0,1
23-12-2025,West  Bengal,Hooghly,712222,0,1
15-11-2025,West  Bengal,Hooghly,712149,1,0
25-11-2025,West  Bengal,Hooghly,712134,0,2
03-11-2025,West  Bengal,Hooghly,712222,0,1
13-11-2025,West  Bengal,Hooghly,712222,0,1
14-11-2025,West  Bengal,Hooghly,712135,0,2
25-12-2025,West  Bengal,Hooghly,712222,0,1
26-12-2025,West  Bengal,Hooghly,712222,0,1
18-12-2025,West  Bengal,Hooghly,712222,0,1
10-11-2025,West  Bengal,Hooghly,712149,0,2
04-11-2025,West  Bengal,Hooghly,712135,0,1
06-11-2025,West  Bengal,Hooghly,712221,0,1
31-10-2025,West  Bengal,Hooghly,712134,0,1
31-10-2025,West  Bengal,Hooghly,712135,0,1
25-09-2025,West  Bengal,Hooghly,712222,0,1
27-10-2025,West  Bengal,Hooghly,712134,0,1
17-08-2025,West  Bengal,Hooghly,712134,0,1
04-09-2025,West  Bengal,Hooghly,712221,0,1
02-09-2025,West  Bengal,Hooghly,712149,0,2
12-09-2025,West  Bengal,Hooghly,712149,0,2
12-09-2025,West  Bengal,Hooghly,712221,0,1
16-10-2025,West  Bengal,Hooghly,712222,0,1
30-10-2025,West  Bengal,Hooghly,712222,0,1
19-11-2025,West  Bengal,Hooghly,712149,0,1
24-11-2025,West  Bengal,Hooghly,712134,0,2
01-07-2025,West  Bengal,Hooghly,712134,0,1
21-07-2025,West  Bengal,Hooghly,712135,0,1
03-08-2025,West  Bengal,Hooghly,712222,0,1
30-07-2025,West  Bengal,Hooghly,712221,0,1
25-07-2025,West  Bengal,Hooghly,712221,0,1
19-08-2025,West  Bengal,Hooghly,712222,0,1
21-08-2025,West  Bengal,Hooghly,712222,0,2
23-07-2025,West  Bengal,Hooghly,712135,0,1
25-08-2025,West  Bengal,Hooghly,712124,0,1
29-08-2025,West  Bengal,Hooghly,712135,1,0
22-05-2025,West  Bengal,Hooghly,712124,1,0
28-06-2025,West  Bengal,Hooghly,712222,0,1
29-07-2025,West  Bengal,Hooghly,712222,0,1
16-06-2025,West  Bengal,Hooghly,712149,1,0
09-07-2025,West  Bengal,Hooghly,712135,0,1
10-06-2025,West  Bengal,Hooghly,712124,0,1
30-10-2025,West  Bengal,Hooghly,712149,0,1
24-12-2025,West  Bengal,Hooghly,712222,0,1
23-12-2025,West  Bengal,Hooghly,712124,0,1
26-11-2025,West  Bengal,Hooghly,712221,0,2
