date,state,district,pincode,bio_age_5_17,bio_age_17_
30-06-2025,West Bangal,Hooghly,712136,0,1
29-05-2025,West Bangal,Howrah,711316,0,1
28-05-2025,West Bangal,Howrah,711303,0,1
21-05-2025,West Bangal,Howrah,711303,0,1
23-07-2025,West Bangal,Hooghly,712136,0,1
01-07-2025,West Bangal,Howrah,711316,0,1
28-07-2025,West Bangal,Hooghly,712104,0,1
15-07-2025,West Bangal,Hooghly,712104,0,2
17-06-2025,West Bangal,Hooghly,712101,0,1
17-06-2025,West Bangal,South 24 Parganas,743368,0,1
01-01-2026,West Bangal,Hooghly,712103,0,1
18-12-2025,West Bangal,Howrah,711303,1,0
20-12-2025,West Bangal,Howrah,711316,0,1
16-12-2025,West Bangal,Howrah,711316,0,1
27-11-2025,West Bangal,Hooghly,712101,0,1
24-10-2025,West Bangal,Hooghly,712103,0,1
18-10-2025,West Bangal,Hooghly,712101,0,1
25-10-2025,West Bangal,Howrah,711316,0,1
17-10-2025,West Bangal,Hooghly,712101,1,1
12-11-2025,West Bangal,Hooghly,712104,1,1
25-11-2025,West Bangal,Hooghly,712136,0,1
05-11-2025,West Bangal,Hooghly,712101,0,1
01-11-2025,West Bangal,Howrah,711303,0,3
10-11-2025,West Bangal,Hooghly,712101,0,1
11-11-2025,West Bangal,Howrah,711316,0,1
09-11-2025,West Bangal,Howrah,711303,0,1
03-11-2025,West Bangal,Hooghly,712103,0,2
31-10-2025,West Bangal,Hooghly,712101,0,1
06-10-2025,West Bangal,Hooghly,712104,0,1
23-10-2025,West Bangal,Hooghly,712103,0,1
16-10-2025,West Bangal,Hooghly,712104,0,1
17-10-2025,West Bangal,Hooghly,712104,0,1
13-10-2025,West Bangal,Howrah,711316,0,2
08-10-2025,West Bangal,Hooghly,712103,0,1
12-10-2025,West Bangal,Howrah,711316,0,1
28-08-2025,West Bangal,Hooghly,712103,0,1
25-08-2025,West Bangal,Hooghly,712101,0,2
17-08-2025,West Bangal,Howrah,711401,0,1
13-09-2025,West Bangal,Hooghly,712101,0,1
21-10-2025,West Bangal,Hooghly,712101,0,1
06-09-2025,West Bangal,Howrah,711401,0,2
02-09-2025,West Bangal,Hooghly,712136,0,1
19-06-2025,West Bangal,Howrah,711316,0,1
09-06-2025,West Bangal,Hooghly,712101,0,2
10-06-2025,West Bangal,Hooghly,712103,1,0
06-06-2025,West Bangal,Hooghly,712104,0,1
03-07-2025,West Bangal,Hooghly,712105,0,1
30-06-2025,West Bangal,Hooghly,712101,0,1
25-07-2025,West Bangal,Hooghly,712101,0,2
22-05-2025,West Bangal,Howrah,711401,2,0
11-07-2025,West Bangal,Howrah,711316,0,1
19-08-2025,West Bangal,Howrah,711316,1,0
13-11-2025,West Bangal,Howrah,711303,0,1
21-11-2025,West Bangal,Howrah,711316,0,1
23-09-2025,West Bangal,Hooghly,712101,0,1
02-12-2025,West Bangal,Hooghly,712105,0,1
17-11-2025,West Bangal,Hooghly,712103,0,1
14-10-2025,West Bangal,Hooghly,712103,0,1
10-12-2025,West Bangal,Hooghly,712105,0,1
18-12-2025,West Bangal,Hooghly,712104,0,1
18-12-2025,West Bangal,Hooghly,712105,0,2
06-12-2025,West Bangal,Hooghly,712104,0,1
12-12-2025,West Bangal,Hooghly,712105,1,0
06-12-2025,West Bangal,Howrah,711303,0,1
24-12-2025,West Bangal,Hooghly,712105,0,1
26-12-2025,West Bangal,South 24 Parganas,743368,0,2
19-12-2025,West Bangal,Howrah,711316,0,1
10-12-2025,West Bangal,Hooghly,712104,0,1
29-11-2025,West Bangal,Howrah,711316,0,1
24-11-2025,West Bangal,Hooghly,712103,0,1
30-10-2025,West Bangal,Hooghly,712104,0,1
14-11-2025,West Bangal,Hooghly,712103,0,1
18-11-2025,West Bangal,Hooghly,712101,0,2
28-10-2025,West Bangal,Howrah,711303,0,1
31-10-2025,West Bangal,Howrah,711316,0,1
03-11-2025,West Bangal,South 24 Parganas,743368,0,2
06-11-2025,West Bangal,Hooghly,712104,0,1
24-10-2025,West Bangal,Howrah,711316,0,2
18-07-2025,West Bangal,Hooghly,712101,0,2
13-09-2025,West Bangal,Hooghly,712104,0,1
16-09-2025,West Bangal,Howrah,711303,0,1
04-08-2025,West Bangal,Hooghly,712136,0,1
02-07-2025,West Bangal,Hooghly,712104,0,1
26-06-2025,West Bangal,Hooghly,712104,0,1
