date,state,district,pincode,bio_age_5_17,bio_age_17_
15-10-2025,West bengal,hooghly,712401,0,1
01-01-2026,West bengal,hooghly,712415,0,2
28-11-2025,West bengal,hooghly,712415,0,1
18-11-2025,West bengal,hooghly,712415,0,1
15-12-2025,West bengal,hooghly,712415,0,3
08-12-2025,West bengal,hooghly,712401,0,1
01-11-2025,West bengal,South 24 Parganas,743368,0,1
14-10-2025,West bengal,South 24 Parganas,743368,0,1
29-08-2025,West bengal,South 24 Parganas,743368,0,1
07-12-2025,West bengal,hooghly,712401,0,1
09-07-2025,West bengal,hooghly,712401,0,1
13-09-2025,West bengal,Hooghly,712222,0,1
30-06-2025,West bengal,South 24 Parganas,743368,0,1
11-11-2025,West bengal,hooghly,712401,0,1
10-11-2025,West bengal,hooghly,712401,0,2
08-07-2025,West bengal,hooghly,712415,0,1
14-06-2025,West bengal,hooghly,712401,0,1
01-09-2025,West bengal,hooghly,712415,0,1
02-09-2025,West bengal,hooghly,712401,0,5
11-12-2025,West bengal,South 24 Parganas,743368,0,1
01-12-2025,West bengal,hooghly,712401,0,1
21-11-2025,West bengal,hooghly,712401,0,1
03-10-2025,West bengal,Hooghly,712222,0,1
10-09-2025,West bengal,South 24 Parganas,743368,0,3
20-08-2025,West bengal,South 24 Parganas,743368,0,1
30-08-2025,West bengal,South 24 Parganas,743368,0,1
03-10-2025,West bengal,hooghly,712401,0,1
16-09-2025,West bengal,hooghly,712401,2,0
06-12-2025,West bengal,hooghly,712401,0,1
11-12-2025,West bengal,hooghly,712415,1,0
26-12-2025,West bengal,South 24 Parganas,743368,0,1
15-11-2025,West bengal,hooghly,712401,0,1
20-11-2025,West bengal,hooghly,712401,0,1
11-11-2025,West bengal,Hooghly,712222,0,1
21-10-2025,West bengal,hooghly,712401,0,1
22-10-2025,West bengal,hooghly,712415,0,1
03-09-2025,West bengal,hooghly,712401,0,1
02-06-2025,West bengal,hooghly,712401,0,2
24-05-2025,West bengal,hooghly,712401,0,1
10-06-2025,West bengal,hooghly,712401,0,1
25-08-2025,West bengal,hooghly,712401,0,2
20-05-2025,West bengal,hooghly,712401,0,1
18-08-2025,West bengal,Hooghly,712222,0,1
23-06-2025,West bengal,Hooghly,712222,0,1
02-08-2025,West bengal,hooghly,712401,2,0
30-06-2025,West bengal,hooghly,712415,0,1
09-09-2025,West bengal,hooghly,712415,0,1
17-10-2025,West bengal,hooghly,712401,0,1
04-11-2025,West bengal,hooghly,712415,0,1
07-11-2025,West bengal,hooghly,712401,0,1
21-11-2025,West bengal,hooghly,712415,0,1
16-10-2025,West bengal,hooghly,712401,1,0
16-12-2025,West bengal,hooghly,712415,0,3
10-12-2025,West bengal,hooghly,712401,0,2
12-11-2025,West bengal,hooghly,712401,0,1
14-11-2025,West bengal,hooghly,712415,0,1
03-11-2025,West bengal,hooghly,712401,0,1
17-10-2025,West bengal,hooghly,712415,0,2
18-10-2025,West bengal,hooghly,712415,0,1
22-08-2025,West bengal,South 24 Parganas,743368,0,1
12-08-2025,West bengal,hooghly,712415,0,1
26-07-2025,West bengal,hooghly,712401,1,0
07-07-2025,West bengal,hooghly,712401,0,1
30-10-2025,West bengal,hooghly,712401,0,1
21-06-2025,West bengal,hooghly,712401,0,1
28-06-2025,West bengal,hooghly,712401,0,2
16-06-2025,West bengal,hooghly,712415,0,1
21-06-2025,West bengal,South 24 Parganas,743368,1,0
25-07-2025,West bengal,hooghly,712401,0,1
28-11-2025,West bengal,South 24 Parganas,743368,0,1
08-12-2025,West bengal,hooghly,712415,0,1
22-12-2025,West bengal,South 24 Parganas,743368,0,1
31-10-2025,West bengal,hooghly,712401,0,1
27-11-2025,West bengal,hooghly,712401,0,1
29-12-2025,West bengal,hooghly,712401,0,1
06-12-2025,West bengal,Hooghly,712222,0,1
06-12-2025,West bengal,South 24 Parganas,743368,0,1
09-12-2025,West bengal,South 24 Parganas,743368,0,2
10-11-2025,West bengal,South 24 Parganas,743368,0,1
11-11-2025,West bengal,South 24 Parganas,743368,0,1
18-09-2025,West bengal,hooghly,712401,0,1
21-09-2025,West bengal,Hooghly,712222,0,1
07-10-2025,West bengal,hooghly,712401,0,1
11-09-2025,West bengal,hooghly,712415,0,2
12-09-2025,West bengal,hooghly,712401,0,1
14-10-2025,West bengal,hooghly,712401,1,1
01-12-2025,West bengal,hooghly,712415,0,1
05-12-2025,West bengal,hooghly,712401,0,1
10-12-2025,West bengal,hooghly,712415,1,0
23-05-2025,West bengal,hooghly,712415,0,1
20-08-2025,West bengal,hooghly,712401,1,1
21-08-2025,West bengal,hooghly,712401,0,1
12-09-2025,West bengal,hooghly,712415,1,0
19-09-2025,West bengal,Hooghly,712222,0,1
24-06-2025,West bengal,South 24 Parganas,743368,0,2
16-06-2025,West bengal,hooghly,712401,0,1
13-08-2025,West bengal,hooghly,712401,0,1
