date,state,district,pincode,bio_age_5_17,bio_age_17_
24-10-2025,andhra pradesh,rangareddi,501218,0,1
04-11-2025,andhra pradesh,chittoor,517520,1,0
30-10-2025,andhra pradesh,chittoor,517520,0,1
22-10-2025,andhra pradesh,chittoor,517520,0,3
29-08-2025,andhra pradesh,chittoor,517520,0,2
24-06-2025,andhra pradesh,chittoor,517520,0,2
17-06-2025,andhra pradesh,chittoor,517520,0,1
19-06-2025,andhra pradesh,chittoor,517520,0,1
27-05-2025,andhra pradesh,chittoor,517520,2,0
25-08-2025,andhra pradesh,chittoor,517520,0,3
23-12-2025,andhra pradesh,rangareddi,501218,0,2
27-11-2025,andhra pradesh,chittoor,517520,0,1
08-10-2025,andhra pradesh,rangareddi,501218,1,0
08-09-2025,andhra pradesh,chittoor,517520,0,1
28-05-2025,andhra pradesh,rangareddi,501218,0,3
09-06-2025,andhra pradesh,chittoor,517520,0,2
11-08-2025,andhra pradesh,chittoor,517520,0,1
08-10-2025,andhra pradesh,chittoor,517520,2,0
06-10-2025,andhra pradesh,chittoor,517520,1,1
29-07-2025,andhra pradesh,chittoor,517520,0,1
03-07-2025,andhra pradesh,chittoor,517520,0,1
03-11-2025,andhra pradesh,chittoor,517520,1,0
05-11-2025,andhra pradesh,chittoor,517520,0,3
28-11-2025,andhra pradesh,chittoor,517520,1,1
26-12-2025,andhra pradesh,chittoor,517520,0,1
31-10-2025,andhra pradesh,rangareddi,501218,0,1
18-12-2025,andhra pradesh,rangareddi,501218,0,1
12-11-2025,andhra pradesh,rangareddi,501218,0,1
09-12-2025,andhra pradesh,chittoor,517520,0,1
30-09-2025,andhra pradesh,chittoor,517520,0,2
23-09-2025,andhra pradesh,chittoor,517520,0,2
27-09-2025,andhra pradesh,chittoor,517520,0,1
03-10-2025,andhra pradesh,chittoor,517520,0,1
10-09-2025,andhra pradesh,rangareddi,501218,0,1
05-09-2025,andhra pradesh,chittoor,517520,0,2
30-05-2025,andhra pradesh,chittoor,517520,0,1
28-05-2025,andhra pradesh,chittoor,517520,1,0
26-06-2025,andhra pradesh,rangareddi,501218,0,1
05-06-2025,andhra pradesh,chittoor,517520,2,0
09-06-2025,andhra pradesh,rangareddi,501218,1,0
18-06-2025,andhra pradesh,chittoor,517520,0,1
23-07-2025,andhra pradesh,chittoor,517520,0,1
07-07-2025,andhra pradesh,rangareddi,501218,0,2
16-07-2025,andhra pradesh,chittoor,517520,0,1
18-08-2025,andhra pradesh,chittoor,517520,0,1
30-06-2025,andhra pradesh,chittoor,517520,0,1
31-07-2025,andhra pradesh,chittoor,517520,0,1
10-07-2025,andhra pradesh,chittoor,517520,0,2
19-08-2025,andhra pradesh,rangareddi,501218,0,1
17-09-2025,andhra pradesh,chittoor,517520,0,1
06-09-2025,andhra pradesh,chittoor,517520,1,0
25-09-2025,andhra pradesh,chittoor,517520,1,0
25-10-2025,andhra pradesh,chittoor,517520,3,1
18-11-2025,andhra pradesh,chittoor,517520,0,1
18-10-2025,andhra pradesh,chittoor,517520,1,0
30-10-2025,andhra pradesh,rangareddi,501218,1,0
25-11-2025,andhra pradesh,chittoor,517520,0,1
20-12-2025,andhra pradesh,rangareddi,501218,0,1
19-12-2025,andhra pradesh,rangareddi,501218,0,1
10-12-2025,andhra pradesh,chittoor,517520,0,1
12-11-2025,andhra pradesh,chittoor,517520,0,2
07-11-2025,andhra pradesh,chittoor,517520,0,1
13-11-2025,andhra pradesh,chittoor,517520,0,1
13-11-2025,andhra pradesh,rangareddi,501218,0,1
25-10-2025,andhra pradesh,rangareddi,501218,0,1
21-08-2025,andhra pradesh,chittoor,517520,0,1
04-08-2025,andhra pradesh,chittoor,517520,0,3
05-08-2025,andhra pradesh,rangareddi,501218,0,1
23-10-2025,andhra pradesh,chittoor,517520,0,1
29-10-2025,andhra pradesh,chittoor,517520,2,0
29-05-2025,andhra pradesh,chittoor,517520,0,1
18-07-2025,andhra pradesh,chittoor,517520,0,1
09-09-2025,andhra pradesh,chittoor,517520,1,1
14-08-2025,andhra pradesh,chittoor,517520,0,2
15-09-2025,andhra pradesh,chittoor,517520,1,0
01-09-2025,andhra pradesh,rangareddi,501218,0,1
22-07-2025,andhra pradesh,chittoor,517520,0,1
23-06-2025,andhra pradesh,rangareddi,501218,0,1
08-07-2025,andhra pradesh,chittoor,517520,0,1
06-06-2025,andhra pradesh,chittoor,517520,0,1
12-06-2025,andhra pradesh,chittoor,517520,0,1
15-12-2025,andhra pradesh,chittoor,517520,0,1
06-11-2025,andhra pradesh,chittoor,517520,0,1
20-12-2025,andhra pradesh,chittoor,517520,0,2
10-10-2025,andhra pradesh,chittoor,517520,0,3
20-09-2025,andhra pradesh,chittoor,517520,0,1
13-10-2025,andhra pradesh,chittoor,517520,1,0
14-08-2025,andhra pradesh,rangareddi,501218,0,1
06-09-2025,andhra pradesh,rangareddi,501218,0,1
12-09-2025,andhra pradesh,rangareddi,501218,0,1
15-11-2025,andhra pradesh,chittoor,517520,0,1
10-11-2025,andhra pradesh,chittoor,517520,0,1
14-11-2025,andhra pradesh,chittoor,517520,0,2
07-10-2025,andhra pradesh,chittoor,517520,0,1
01-11-2025,andhra pradesh,chittoor,517520,1,0
31-10-2025,andhra pradesh,chittoor,517520,2,0
27-10-2025,andhra pradesh,chittoor,517520,1,0
09-10-2025,andhra pradesh,chittoor,517520,0,1
22-10-2025,andhra pradesh,rangareddi,501218,0,1
25-06-2025,andhra pradesh,chittoor,517520,0,1
