date,state,district,pincode,bio_age_5_17,bio_age_17_
31-05-2025,odisha,Gajapati,761207,0,1
01-07-2025,odisha,Gajapati,761201,0,1
29-07-2025,odisha,Gajapati,761201,0,2
14-07-2025,odisha,Gajapati,761201,0,1
10-12-2025,odisha,Gajapati,761201,0,1
11-10-2025,odisha,Gajapati,761207,0,1
12-08-2025,odisha,Gajapati,761207,0,1
17-06-2025,odisha,Gajapati,761207,0,1
07-11-2025,odisha,Gajapati,761207,0,1
22-09-2025,odisha,Gajapati,761208,0,2
09-12-2025,odisha,Gajapati,761208,0,2
29-11-2025,odisha,Gajapati,761208,0,1
23-07-2025,odisha,Gajapati,761201,0,1
26-07-2025,odisha,Gajapati,761207,0,1
09-10-2025,odisha,Gajapati,761208,0,1
12-11-2025,odisha,Gajapati,761208,0,1
15-10-2025,odisha,Gajapati,761207,0,1
01-09-2025,odisha,Gajapati,761208,0,1
28-07-2025,odisha,Gajapati,761208,0,1
16-06-2025,odisha,Gajapati,761208,0,1
08-07-2025,odisha,Gajapati,761208,0,1
03-12-2025,odisha,Gajapati,761207,0,1
18-07-2025,odisha,Gajapati,761201,0,1
21-08-2025,odisha,Gajapati,761207,0,1
02-09-2025,odisha,Gajapati,761207,0,1
25-11-2025,odisha,Gajapati,761207,0,1
20-09-2025,odisha,Gajapati,761201,0,2
13-06-2025,odisha,Gajapati,761207,0,1
08-07-2025,odisha,Gajapati,761207,0,1
28-08-2025,odisha,Gajapati,761207,0,1
16-09-2025,odisha,Gajapati,761201,0,1
18-09-2025,odisha,Gajapati,761208,0,1
09-10-2025,odisha,Gajapati,761207,0,1
19-07-2025,odisha,Gajapati,761201,0,1
18-10-2025,odisha,Gajapati,761208,0,1
21-05-2025,odisha,Gajapati,761208,0,2
06-11-2025,odisha,Gajapati,761207,0,1
10-11-2025,odisha,Gajapati,761208,0,1
23-08-2025,odisha,Gajapati,761201,0,2
04-09-2025,odisha,Gajapati,761208,0,1
23-08-2025,odisha,Gajapati,761207,0,1
23-08-2025,odisha,Gajapati,761208,1,0
19-08-2025,odisha,Gajapati,761208,0,1
15-09-2025,odisha,Gajapati,761208,0,1
18-09-2025,odisha,Gajapati,761207,0,1
12-09-2025,odisha,Gajapati,761208,0,1
07-11-2025,odisha,Gajapati,761201,0,1
08-11-2025,odisha,Gajapati,761207,0,1
30-08-2025,odisha,Gajapati,761207,0,1
19-09-2025,odisha,Gajapati,761207,0,1
18-08-2025,odisha,Gajapati,761208,0,2
11-10-2025,odisha,Gajapati,761208,0,1
06-10-2025,odisha,Gajapati,761208,0,1
08-09-2025,odisha,Gajapati,761207,0,1
26-09-2025,odisha,Gajapati,761208,0,1
02-06-2025,odisha,Gajapati,761208,0,2
31-05-2025,odisha,Gajapati,761208,0,1
05-07-2025,odisha,Gajapati,761201,0,1
23-05-2025,odisha,Gajapati,761207,0,1
31-07-2025,odisha,Gajapati,761201,0,2
25-07-2025,odisha,Gajapati,761201,0,1
24-11-2025,odisha,Gajapati,761207,0,1
26-08-2025,odisha,Gajapati,761208,0,1
08-08-2025,odisha,Gajapati,761208,0,1
29-08-2025,odisha,Gajapati,761207,0,1
13-08-2025,odisha,Gajapati,761208,0,1
30-08-2025,odisha,Gajapati,761208,0,1
03-09-2025,odisha,Gajapati,761207,0,1
08-12-2025,odisha,Gajapati,761207,0,1
