date,state,district,pincode,bio_age_5_17,bio_age_17_
01-09-2025,west Bengal,South 24 Parganas,743368,0,1
22-11-2025,west Bengal,South 24 Parganas,743368,0,1
27-08-2025,west Bengal,South 24 Parganas,743368,0,1
03-10-2025,west Bengal,South 24 Parganas,743368,0,1
16-09-2025,west Bengal,South 24 Parganas,743368,0,1
06-09-2025,west Bengal,South 24 Parganas,743368,0,1
02-09-2025,west Bengal,South 24 Parganas,743368,0,2
29-05-2025,west Bengal,South 24 Parganas,743368,0,1
18-08-2025,west Bengal,South 24 Parganas,743368,0,1
11-09-2025,west Bengal,South 24 Parganas,743368,1,0
15-12-2025,west Bengal,South 24 Parganas,743368,0,1
13-10-2025,west Bengal,South 24 Parganas,743368,0,2
21-06-2025,west Bengal,South 24 Parganas,743368,0,2
13-06-2025,west Bengal,South 24 Parganas,743368,0,1
21-10-2025,west Bengal,South 24 Parganas,743368,0,1
28-10-2025,west Bengal,South 24 Parganas,743368,0,1
22-10-2025,west Bengal,South 24 Parganas,743368,0,1
27-05-2025,west Bengal,South 24 Parganas,743368,0,1
05-08-2025,west Bengal,South 24 Parganas,743368,0,1
29-08-2025,west Bengal,South 24 Parganas,743368,0,1
17-12-2025,west Bengal,South 24 Parganas,743368,0,1
10-12-2025,west Bengal,South 24 Parganas,743368,0,1
26-09-2025,west Bengal,South 24 Parganas,743368,0,2
29-09-2025,west Bengal,South 24 Parganas,743368,0,1
10-09-2025,west Bengal,South 24 Parganas,743368,0,1
06-10-2025,west Bengal,South 24 Parganas,743368,0,1
15-10-2025,west Bengal,South 24 Parganas,743368,0,1
25-06-2025,west Bengal,South 24 Parganas,743368,0,1
11-07-2025,west Bengal,South 24 Parganas,743368,0,1
22-08-2025,west Bengal,South 24 Parganas,743368,1,0
03-07-2025,west Bengal,South 24 Parganas,743368,0,2
24-07-2025,west Bengal,South 24 Parganas,743368,0,1
