date,state,district,pincode,demo_age_5_17,demo_age_17_
03-09-2025,Andaman & Nicobar Islands,Andamans,744103,1,3
03-09-2025,Andaman & Nicobar Islands,Andamans,744105,0,2
04-09-2025,Andaman & Nicobar Islands,Andamans,744112,0,1
06-09-2025,Andaman & Nicobar Islands,Andamans,744103,0,1
08-09-2025,Andaman & Nicobar Islands,Andamans,744101,0,9
08-09-2025,Andaman & Nicobar Islands,South Andaman,744105,0,2
12-09-2025,Andaman & Nicobar Islands,Andamans,744202,0,1
12-09-2025,Andaman & Nicobar Islands,South Andaman,744207,0,1
13-09-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
16-09-2025,Andaman & Nicobar Islands,Andamans,744105,0,1
16-09-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
15-09-2025,Andaman & Nicobar Islands,Andamans,744103,1,4
15-09-2025,Andaman & Nicobar Islands,Andamans,744105,0,2
19-09-2025,Andaman & Nicobar Islands,South Andaman,744206,0,2
20-09-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
16-10-2025,Andaman & Nicobar Islands,Andamans,744101,0,3
16-10-2025,Andaman & Nicobar Islands,Andamans,744102,0,1
16-10-2025,Andaman & Nicobar Islands,South Andaman,744107,0,1
21-10-2025,Andaman & Nicobar Islands,Andamans,744105,0,2
21-10-2025,Andaman & Nicobar Islands,Andamans,744206,0,1
23-10-2025,Andaman & Nicobar Islands,Andamans,744106,0,1
24-10-2025,Andaman & Nicobar Islands,Andamans,744105,1,2
27-10-2025,Andaman & Nicobar Islands,Andamans,744105,0,1
28-10-2025,Andaman & Nicobar Islands,Andamans,744101,0,5
28-10-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
26-10-2025,Andaman & Nicobar Islands,Andamans,744105,0,2
26-10-2025,Andaman & Nicobar Islands,South Andaman,744107,0,1
05-11-2025,Andaman & Nicobar Islands,Andamans,744105,0,1
06-11-2025,Andaman & Nicobar Islands,Andamans,744112,0,1
11-11-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
04-11-2025,Andaman & Nicobar Islands,Andamans,744106,0,1
04-11-2025,Andaman & Nicobar Islands,South Andaman,744103,1,0
06-11-2025,Andaman & Nicobar Islands,Andamans,744105,0,5
07-11-2025,Andaman & Nicobar Islands,Andamans,744105,0,3
07-11-2025,Andaman & Nicobar Islands,Andamans,744107,0,1
06-12-2025,Andaman & Nicobar Islands,Andamans,744105,0,1
10-11-2025,Andaman & Nicobar Islands,Andamans,744103,0,3
10-11-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
13-11-2025,Andaman & Nicobar Islands,Andamans,744105,0,4
13-11-2025,Andaman & Nicobar Islands,South Andaman,744107,0,1
12-11-2025,Andaman & Nicobar Islands,Andamans,744101,0,1
12-11-2025,Andaman & Nicobar Islands,Andamans,744103,0,5
12-11-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
12-11-2025,Andaman & Nicobar Islands,South Andaman,744105,0,3
14-11-2025,Andaman & Nicobar Islands,Andamans,744101,0,1
29-12-2025,Andaman & Nicobar Islands,Andamans,744103,0,4
29-12-2025,Andaman & Nicobar Islands,Andamans,744106,0,2
31-12-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
31-12-2025,Andaman & Nicobar Islands,South Andaman,744206,0,2
02-01-2026,Andaman & Nicobar Islands,Andamans,744101,0,1
02-01-2026,Andaman & Nicobar Islands,Andamans,744103,1,0
01-01-2026,Andaman & Nicobar Islands,Andamans,744101,0,1
01-01-2026,Andaman & Nicobar Islands,South Andaman,744105,0,1
03-01-2026,Andaman & Nicobar Islands,Andamans,744101,0,1
16-12-2025,Andaman & Nicobar Islands,Andamans,744102,0,1
27-11-2025,Andaman & Nicobar Islands,Andamans,744204,0,1
27-11-2025,Andaman & Nicobar Islands,Andamans,744206,0,1
27-11-2025,Andaman & Nicobar Islands,South Andaman,744105,0,2
21-12-2025,Andaman & Nicobar Islands,South Andaman,744105,0,1
23-12-2025,Andaman & Nicobar Islands,Andamans,744107,0,1
24-12-2025,Andaman & Nicobar Islands,Andamans,744105,0,5
26-12-2025,Andaman & Nicobar Islands,Andamans,744107,0,2
18-12-2025,Andaman & Nicobar Islands,Andamans,744105,0,6
18-12-2025,Andaman & Nicobar Islands,South Andaman,744105,0,1
04-12-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
07-12-2025,Andaman & Nicobar Islands,South Andaman,744105,0,1
07-12-2025,Andaman & Nicobar Islands,South Andaman,744206,0,2
14-12-2025,Andaman & Nicobar Islands,Andamans,744101,1,0
22-12-2025,Andaman & Nicobar Islands,Andamans,744105,0,3
22-12-2025,Andaman & Nicobar Islands,South Andaman,744105,0,2
15-12-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
16-12-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
08-12-2025,Andaman & Nicobar Islands,Andamans,744101,0,1
08-12-2025,Andaman & Nicobar Islands,Andamans,744105,0,1
10-12-2025,Andaman & Nicobar Islands,Andamans,744103,0,6
09-12-2025,Andaman & Nicobar Islands,South Andaman,744206,0,2
11-12-2025,Andaman & Nicobar Islands,Andamans,744206,0,1
11-12-2025,Andaman & Nicobar Islands,South Andaman,744206,0,2
04-12-2025,Andaman & Nicobar Islands,Andamans,744101,0,5
03-12-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
03-12-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
05-12-2025,Andaman & Nicobar Islands,Andamans,744106,0,1
05-12-2025,Andaman & Nicobar Islands,South Andaman,744105,1,2
19-11-2025,Andaman & Nicobar Islands,Andamans,744102,0,1
17-11-2025,Andaman & Nicobar Islands,South Andaman,744105,0,1
21-11-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
29-10-2025,Andaman & Nicobar Islands,Andamans,744101,0,4
29-10-2025,Andaman & Nicobar Islands,Andamans,744103,0,2
29-10-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
18-11-2025,Andaman & Nicobar Islands,Andamans,744103,0,4
18-11-2025,Andaman & Nicobar Islands,Andamans,744206,0,1
18-11-2025,Andaman & Nicobar Islands,Andamans,744211,0,1
15-11-2025,Andaman & Nicobar Islands,Andamans,744106,0,1
30-10-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
31-10-2025,Andaman & Nicobar Islands,Andamans,744105,0,2
31-10-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
25-11-2025,Andaman & Nicobar Islands,Andamans,744101,0,6
25-11-2025,Andaman & Nicobar Islands,South Andaman,744103,0,4
25-11-2025,Andaman & Nicobar Islands,South Andaman,744206,0,2
26-11-2025,Andaman & Nicobar Islands,Andamans,744106,0,3
01-12-2025,Andaman & Nicobar Islands,Andamans,744101,0,5
01-12-2025,Andaman & Nicobar Islands,Andamans,744105,0,1
27-11-2025,Andaman & Nicobar Islands,Andamans,744103,0,3
27-11-2025,Andaman & Nicobar Islands,Andamans,744105,0,5
28-11-2025,Andaman & Nicobar Islands,Andamans,744101,1,5
28-11-2025,Andaman & Nicobar Islands,Andamans,744106,0,2
02-12-2025,Andaman & Nicobar Islands,Andamans,744103,0,1
07-12-2025,Andaman & Nicobar Islands,Andamans,744101,0,1
18-12-2025,Andaman & Nicobar Islands,Andamans,744206,0,1
27-11-2025,Andaman & Nicobar Islands,Andamans,744107,0,3
25-12-2025,Andaman & Nicobar Islands,Andamans,744103,0,2
25-12-2025,Andaman & Nicobar Islands,Andamans,744105,0,1
25-12-2025,Andaman & Nicobar Islands,South Andaman,744107,0,1
29-12-2025,Andaman & Nicobar Islands,Andamans,744101,0,7
31-12-2025,Andaman & Nicobar Islands,Andamans,744103,0,3
31-12-2025,Andaman & Nicobar Islands,Andamans,744107,0,1
02-01-2026,Andaman & Nicobar Islands,South Andaman,744105,0,2
23-12-2025,Andaman & Nicobar Islands,Andamans,744103,1,7
23-12-2025,Andaman & Nicobar Islands,South Andaman,744206,0,2
24-12-2025,Andaman & Nicobar Islands,South Andaman,744107,0,1
26-12-2025,Andaman & Nicobar Islands,Andamans,744102,0,1
26-12-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
18-12-2025,Andaman & Nicobar Islands,South Andaman,744107,0,1
18-12-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
19-12-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
22-12-2025,Andaman & Nicobar Islands,Andamans,744101,0,3
22-12-2025,Andaman & Nicobar Islands,Andamans,744103,0,3
21-12-2025,Andaman & Nicobar Islands,Andamans,744101,0,1
21-12-2025,Andaman & Nicobar Islands,Andamans,744103,0,1
21-12-2025,Andaman & Nicobar Islands,Andamans,744106,0,1
13-12-2025,Andaman & Nicobar Islands,Andamans,744103,0,1
01-09-2025,Andaman & Nicobar Islands,Andamans,744101,0,4
01-09-2025,Andaman & Nicobar Islands,South Andaman,744105,0,1
02-09-2025,Andaman & Nicobar Islands,Andamans,744105,0,5
05-09-2025,Andaman & Nicobar Islands,Andamans,744101,0,3
05-09-2025,Andaman & Nicobar Islands,Andamans,744105,0,2
05-09-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
06-09-2025,Andaman & Nicobar Islands,Andamans,744101,0,3
08-09-2025,Andaman & Nicobar Islands,Andamans,744103,0,3
08-09-2025,Andaman & Nicobar Islands,Andamans,744105,0,1
09-09-2025,Andaman & Nicobar Islands,Andamans,744101,0,4
09-09-2025,Andaman & Nicobar Islands,Andamans,744102,0,1
09-09-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
10-09-2025,Andaman & Nicobar Islands,Andamans,744105,0,2
10-09-2025,Andaman & Nicobar Islands,Andamans,744112,0,1
10-09-2025,Andaman & Nicobar Islands,South Andaman,744102,0,1
11-09-2025,Andaman & Nicobar Islands,Andamans,744101,0,7
11-09-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
13-09-2025,Andaman & Nicobar Islands,Andamans,744105,0,1
13-09-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
15-09-2025,Andaman & Nicobar Islands,Andamans,744106,0,1
15-09-2025,Andaman & Nicobar Islands,Andamans,744206,0,1
15-09-2025,Andaman & Nicobar Islands,South Andaman,744206,0,1
16-09-2025,Andaman & Nicobar Islands,Andamans,744103,0,1
18-09-2025,Andaman & Nicobar Islands,South Andaman,744103,0,3
19-09-2025,Andaman & Nicobar Islands,South Andaman,744107,0,1
15-10-2025,Andaman & Nicobar Islands,Andamans,744105,0,2
15-10-2025,Andaman & Nicobar Islands,South Andaman,744105,0,1
16-10-2025,Andaman & Nicobar Islands,South Andaman,744207,0,1
17-10-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
26-10-2025,Andaman & Nicobar Islands,South Andaman,744103,0,1
21-10-2025,Andaman & Nicobar Islands,Andamans,744101,0,1
18-10-2025,Andaman & Nicobar Islands,Andamans,744105,0,1
20-10-2025,Andaman & Nicobar Islands,Andamans,744106,0,1
