date,state,district,pincode,demo_age_5_17,demo_age_17_
01-09-2025,Andaman and Nicobar Islands,South Andaman,744103,0,2
01-09-2025,Andaman and Nicobar Islands,South Andaman,744105,0,6
01-09-2025,Andaman and Nicobar Islands,South Andaman,744106,0,2
01-09-2025,Andaman and Nicobar Islands,South Andaman,744112,0,1
02-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744205,0,2
02-09-2025,Andaman and Nicobar Islands,South Andaman,744102,0,1
02-09-2025,Andaman and Nicobar Islands,South Andaman,744105,2,5
02-09-2025,Andaman and Nicobar Islands,South Andaman,744206,0,2
02-09-2025,Andaman and Nicobar Islands,South Andaman,744211,0,1
03-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,0,1
03-09-2025,Andaman and Nicobar Islands,South Andaman,744102,0,1
03-09-2025,Andaman and Nicobar Islands,South Andaman,744106,1,4
03-09-2025,Andaman and Nicobar Islands,South Andaman,744207,0,3
04-09-2025,Andaman and Nicobar Islands,Nicobar,744301,0,7
04-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,1,6
04-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,0,1
04-09-2025,Andaman and Nicobar Islands,South Andaman,744102,0,2
04-09-2025,Andaman and Nicobar Islands,South Andaman,744103,3,11
04-09-2025,Andaman and Nicobar Islands,South Andaman,744207,0,1
06-09-2025,Andaman and Nicobar Islands,Nicobar,744301,0,2
05-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744209,0,1
05-09-2025,Andaman and Nicobar Islands,South Andaman,744102,1,4
05-09-2025,Andaman and Nicobar Islands,South Andaman,744112,0,1
05-09-2025,Andaman and Nicobar Islands,South Andaman,744211,0,1
07-09-2025,Andaman and Nicobar Islands,South Andaman,744206,0,1
08-09-2025,Andaman and Nicobar Islands,Nicobar,744303,0,3
08-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744201,0,1
08-09-2025,Andaman and Nicobar Islands,South Andaman,744102,1,3
08-09-2025,Andaman and Nicobar Islands,South Andaman,744103,0,8
08-09-2025,Andaman and Nicobar Islands,South Andaman,744106,1,2
10-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744201,0,2
10-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,0,1
10-09-2025,Andaman and Nicobar Islands,South Andaman,744102,0,5
11-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,0,1
11-09-2025,Andaman and Nicobar Islands,South Andaman,744101,0,4
11-09-2025,Andaman and Nicobar Islands,South Andaman,744103,0,8
11-09-2025,Andaman and Nicobar Islands,South Andaman,744105,1,6
11-09-2025,Andaman and Nicobar Islands,South Andaman,744207,0,2
12-09-2025,Andaman and Nicobar Islands,Nicobar,744302,1,0
12-09-2025,Andaman and Nicobar Islands,Nicobar,744303,0,1
12-09-2025,Andaman and Nicobar Islands,Nicobar,744304,0,2
12-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,0,7
12-09-2025,Andaman and Nicobar Islands,South Andaman,744102,0,2
12-09-2025,Andaman and Nicobar Islands,South Andaman,744103,1,5
13-09-2025,Andaman and Nicobar Islands,North And Middle Andaman,744204,1,0
13-09-2025,Andaman and Nicobar Islands,South Andaman,744101,0,1
13-09-2025,Andaman and Nicobar Islands,South Andaman,744102,1,0
13-09-2025,Andaman and Nicobar Islands,South Andaman,744105,0,2
