date,state,district,pincode,demo_age_5_17,demo_age_17_
16-11-2025,Arunachal Pradesh,Changlang,792120,0,2
16-11-2025,Arunachal Pradesh,East Kameng,790102,1,6
16-11-2025,Arunachal Pradesh,Lohit,792001,1,1
16-11-2025,Arunachal Pradesh,Lohit,792102,0,2
16-11-2025,Arunachal Pradesh,Papum Pare,791112,2,0
19-11-2025,Arunachal Pradesh,West Kameng,790102,1,0
19-11-2025,Arunachal Pradesh,West Kameng,790114,0,1
03-12-2025,Arunachal Pradesh,Dibang Valley,792101,0,1
06-12-2025,Arunachal Pradesh,Tawang,790104,1,2
06-12-2025,Arunachal Pradesh,West Siang,791125,1,0
01-12-2025,Arunachal Pradesh,Changlang,792055,1,0
01-12-2025,Arunachal Pradesh,Upper Siang,792061,2,0
02-12-2025,Arunachal Pradesh,West Kameng,790114,0,1
05-12-2025,Arunachal Pradesh,Longding,786631,0,2
05-12-2025,Arunachal Pradesh,Shi-yomi,791003,0,3
08-12-2025,Arunachal Pradesh,Tawang,790105,0,2
08-12-2025,Arunachal Pradesh,West Kameng,790002,0,2
09-12-2025,Arunachal Pradesh,Papum Pare,791123,0,2
07-12-2025,Arunachal Pradesh,Lohit,792001,1,3
07-12-2025,Arunachal Pradesh,Lower Subansiri,791119,1,0
07-12-2025,Arunachal Pradesh,Upper Subansiri,791122,1,1
10-12-2025,Arunachal Pradesh,Lower Siang,791101,1,0
12-12-2025,Arunachal Pradesh,Longding,792130,1,0
13-12-2025,Arunachal Pradesh,Anjaw,792104,0,3
13-12-2025,Arunachal Pradesh,Lohit,792102,0,1
13-12-2025,Arunachal Pradesh,Lower Dibang Valley,792110,2,3
13-12-2025,Arunachal Pradesh,Tawang,790104,1,0
13-12-2025,Arunachal Pradesh,Tirap,792129,0,1
13-12-2025,Arunachal Pradesh,Upper Siang,791105,0,1
13-12-2025,Arunachal Pradesh,Upper Subansiri,791122,1,2
14-12-2025,Arunachal Pradesh,Anjaw,792104,1,1
14-12-2025,Arunachal Pradesh,Changlang,792056,0,1
