date,state,district,pincode,demo_age_5_17,demo_age_17_
16-11-2025,Assam,Sibsagar,785696,1,2
16-11-2025,Assam,Sibsagar,785701,1,1
16-11-2025,Assam,Sonitpur,784028,0,1
16-11-2025,Assam,Sonitpur,784103,0,3
16-11-2025,Assam,Sonitpur,784176,0,1
16-11-2025,Assam,Sonitpur,784180,0,2
16-11-2025,Assam,Tinsukia,786146,0,2
16-11-2025,Assam,Tinsukia,786158,2,6
16-11-2025,Assam,Tinsukia,786160,1,1
15-11-2025,Assam,Bajali,781325,0,1
15-11-2025,Assam,Bongaigaon,783389,0,3
15-11-2025,Assam,Nalbari,781346,0,1
15-11-2025,Assam,Tamulpur District,781360,0,1
15-11-2025,Assam,Tamulpur District,781368,0,1
15-11-2025,Assam,West Karbi Anglong,782448,0,1
16-11-2025,Assam,Baksa,781367,0,2
16-11-2025,Assam,Bongaigaon,783381,0,2
16-11-2025,Assam,Cachar,788013,0,5
16-11-2025,Assam,Cachar,788031,1,2
16-11-2025,Assam,Cachar,788126,2,3
16-11-2025,Assam,Cachar,788816,1,7
16-11-2025,Assam,Chirang,783385,0,5
16-11-2025,Assam,Chirang,783391,1,2
16-11-2025,Assam,Dhemaji,786110,2,1
16-11-2025,Assam,Dhubri,783128,0,1
16-11-2025,Assam,Dibrugarh,786004,1,1
16-11-2025,Assam,Dibrugarh,786623,0,1
16-11-2025,Assam,Goalpara,783121,0,4
16-11-2025,Assam,Golaghat,785610,2,2
16-11-2025,Assam,Jorhat,785008,0,1
16-11-2025,Assam,Jorhat,785014,0,1
16-11-2025,Assam,Jorhat,785107,0,2
16-11-2025,Assam,Jorhat,785108,1,2
16-11-2025,Assam,Kamrup,781031,0,4
16-11-2025,Assam,Kamrup Metro,782401,0,1
16-11-2025,Assam,Kamrup Metro,782402,0,7
16-11-2025,Assam,Karimganj,788726,0,2
16-11-2025,Assam,Karimganj,788735,2,0
16-11-2025,Assam,Nagaon,782126,0,1
16-11-2025,Assam,Nagaon,782143,0,5
16-11-2025,Assam,Nagaon,782426,0,16
16-11-2025,Assam,Nalbari,781337,0,2
16-11-2025,Assam,Sibsagar,785663,0,1
16-11-2025,Assam,Sibsagar,785665,0,2
16-11-2025,Assam,Sibsagar,785666,0,2
17-11-2025,Assam,Kamrup,781034,0,1
17-11-2025,Assam,Nalbari,781339,0,2
17-11-2025,Assam,Nalbari,781348,0,3
17-11-2025,Assam,Nalbari,781370,0,1
17-11-2025,Assam,Sibsagar,785688,0,1
17-11-2025,Assam,Sribhumi,788726,0,2
