date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Bihar,Supaul,852137,83,1345
01-03-2025,Bihar,Samastipur,848129,40,458
01-03-2025,Bihar,Siwan,841240,18,209
01-03-2025,Bihar,Nalanda,803117,92,691
01-03-2025,Bihar,Begusarai,851132,105,557
01-03-2025,Bihar,Patna,800009,110,804
01-03-2025,Bihar,Patna,803214,64,638
01-03-2025,Bihar,Muzaffarpur,843121,51,558
01-03-2025,Bihar,Aurangabad,824112,80,1144
01-03-2025,Bihar,Rohtas,802220,48,354
01-03-2025,Bihar,Katihar,854106,48,751
01-03-2025,Bihar,Samastipur,848505,128,1358
01-03-2025,Bihar,Supaul,847408,26,324
01-03-2025,Bihar,Gopalganj,841426,245,1931
01-03-2025,Bihar,Gopalganj,841405,147,1660
01-03-2025,Bihar,Purnia,854337,95,1078
01-03-2025,Bihar,West Champaran,845106,233,2387
01-03-2025,Bihar,Saharsa,852216,117,1677
01-03-2025,Bihar,Araria,854312,333,3279
01-03-2025,Bihar,Nawada,805103,93,1562
01-03-2025,Bihar,Bhojpur,841312,17,115
01-03-2025,Bihar,Gaya,823002,136,913
01-03-2025,Bihar,Gaya,824205,137,990
01-03-2025,Bihar,Rohtas,802211,54,370
01-03-2025,Bihar,Sitamarhi,843302,287,4444
01-03-2025,Bihar,East Champaran,845424,101,1107
01-03-2025,Bihar,Begusarai,851127,134,1313
01-03-2025,Bihar,Bhojpur,802204,41,383
01-03-2025,Bihar,Aurangabad,824129,34,281
01-03-2025,Bihar,Darbhanga,846003,100,1067
01-03-2025,Bihar,Purnia,854302,19,276
01-03-2025,Bihar,Darbhanga,847233,95,836
01-03-2025,Bihar,Purnia,854326,191,1835
01-03-2025,Bihar,Saran,841414,99,998
01-03-2025,Bihar,Madhubani,847108,172,1583
01-03-2025,Bihar,Nalanda,803114,116,1067
01-03-2025,Bihar,Madhubani,847229,83,1081
01-03-2025,Bihar,Sheohar,843329,291,3422
01-03-2025,Bihar,Purnia,854101,68,831
01-03-2025,Bihar,Vaishali,844102,149,1817
