date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Chandigarh,Chandigarh,160103,12,78
01-03-2025,Chandigarh,Chandigarh,160003,31,149
01-04-2025,Chandigarh,Chandigarh,160002,246,641
01-04-2025,Chandigarh,Chandigarh,160102,382,697
01-04-2025,Chandigarh,Chandigarh,160022,71,321
01-04-2025,Chandigarh,Chandigarh,160036,400,1441
01-04-2025,Chandigarh,Chandigarh,160015,76,223
01-04-2025,Chandigarh,Chandigarh,160047,370,1255
01-05-2025,Chandigarh,Chandigarh,160036,256,1325
01-06-2025,Chandigarh,Chandigarh,160047,123,1039
01-06-2025,Chandigarh,Chandigarh,160101,97,836
01-07-2025,Chandigarh,Chandigarh,160047,258,1373
01-07-2025,Chandigarh,Chandigarh,160101,333,1226
01-09-2025,Chandigarh,Chandigarh,160001,0,1
01-09-2025,Chandigarh,Chandigarh,160047,7,23
01-09-2025,Chandigarh,Chandigarh,160102,3,11
02-09-2025,Chandigarh,Chandigarh,160001,1,0
02-09-2025,Chandigarh,Chandigarh,160002,8,22
02-09-2025,Chandigarh,Chandigarh,160014,8,25
02-09-2025,Chandigarh,Chandigarh,160018,2,2
02-09-2025,Chandigarh,Chandigarh,160102,3,23
03-09-2025,Chandigarh,Chandigarh,160015,0,3
03-09-2025,Chandigarh,Chandigarh,160022,1,15
03-09-2025,Chandigarh,Chandigarh,160025,0,12
03-09-2025,Chandigarh,Chandigarh,160101,1,18
04-09-2025,Chandigarh,Chandigarh,160002,8,23
04-09-2025,Chandigarh,Chandigarh,160009,0,3
04-09-2025,Chandigarh,Chandigarh,160015,1,4
04-09-2025,Chandigarh,Chandigarh,160102,2,17
04-09-2025,Chandigarh,Chandigarh,160103,2,2
06-09-2025,Chandigarh,Chandigarh,160047,7,18
06-09-2025,Chandigarh,Chandigarh,160055,0,1
06-09-2025,Chandigarh,Chandigarh,160101,1,25
05-09-2025,Chandigarh,Chandigarh,160012,0,3
05-09-2025,Chandigarh,Chandigarh,160019,3,11
05-09-2025,Chandigarh,Chandigarh,160022,0,12
05-09-2025,Chandigarh,Chandigarh,160025,3,10
07-09-2025,Chandigarh,Chandigarh,160011,1,0
07-09-2025,Chandigarh,Chandigarh,160015,0,1
07-09-2025,Chandigarh,Rupnagar,160014,0,1
08-09-2025,Chandigarh,Chandigarh,160009,1,0
08-09-2025,Chandigarh,Chandigarh,160011,0,5
08-09-2025,Chandigarh,Chandigarh,160012,0,4
08-09-2025,Chandigarh,Chandigarh,160014,5,30
08-09-2025,Chandigarh,Chandigarh,160036,5,47
09-09-2025,Chandigarh,Chandigarh,160003,0,9
09-09-2025,Chandigarh,Chandigarh,160014,7,46
09-09-2025,Chandigarh,Chandigarh,160023,1,1
09-09-2025,Chandigarh,Chandigarh,160036,6,34
11-09-2025,Chandigarh,Chandigarh,160001,1,4
11-09-2025,Chandigarh,Chandigarh,160003,2,4
11-09-2025,Chandigarh,Chandigarh,160015,0,9
11-09-2025,Chandigarh,Chandigarh,160022,1,6
10-09-2025,Chandigarh,Chandigarh,160015,0,9
10-09-2025,Chandigarh,Chandigarh,160018,0,1
10-09-2025,Chandigarh,Chandigarh,160022,2,19
10-09-2025,Chandigarh,Chandigarh,160025,1,13
10-09-2025,Chandigarh,Chandigarh,160047,4,42
10-09-2025,Chandigarh,Chandigarh,160102,1,17
10-09-2025,Chandigarh,Rupnagar,160014,0,1
12-09-2025,Chandigarh,Chandigarh,160003,0,6
12-09-2025,Chandigarh,Chandigarh,160019,1,16
12-09-2025,Chandigarh,Chandigarh,160022,1,11
12-09-2025,Chandigarh,Chandigarh,160036,3,52
12-09-2025,Chandigarh,Chandigarh,160047,11,41
14-09-2025,Chandigarh,Chandigarh,160103,2,2
13-09-2025,Chandigarh,Chandigarh,160018,0,1
13-09-2025,Chandigarh,Chandigarh,160020,0,2
13-09-2025,Chandigarh,Chandigarh,160025,0,4
15-09-2025,Chandigarh,Chandigarh,140901,0,1
15-09-2025,Chandigarh,Chandigarh,160030,0,5
15-09-2025,Chandigarh,Chandigarh,160036,2,44
16-09-2025,Chandigarh,Chandigarh,160019,2,10
16-09-2025,Chandigarh,Chandigarh,160023,0,1
16-09-2025,Chandigarh,Chandigarh,160030,0,5
16-09-2025,Chandigarh,Chandigarh,160103,0,3
17-09-2025,Chandigarh,Chandigarh,160012,0,2
17-09-2025,Chandigarh,Chandigarh,160014,1,44
17-09-2025,Chandigarh,Chandigarh,160019,1,15
19-09-2025,Chandigarh,Chandigarh,160001,0,2
19-09-2025,Chandigarh,Chandigarh,160009,0,3
19-09-2025,Chandigarh,Chandigarh,160020,1,4
19-09-2025,Chandigarh,Chandigarh,160103,0,4
18-09-2025,Chandigarh,Chandigarh,160004,0,1
18-09-2025,Chandigarh,Chandigarh,160014,5,29
18-09-2025,Chandigarh,Chandigarh,160019,1,8
18-09-2025,Chandigarh,Rupnagar,160014,0,1
20-09-2025,Chandigarh,Chandigarh,160023,0,3
20-09-2025,Chandigarh,Chandigarh,160055,0,3
13-10-2025,Chandigarh,Chandigarh,160002,1,6
13-10-2025,Chandigarh,Chandigarh,160003,0,3
13-10-2025,Chandigarh,Chandigarh,160023,0,1
15-10-2025,Chandigarh,Chandigarh,160009,0,3
15-10-2025,Chandigarh,Chandigarh,160011,0,4
15-10-2025,Chandigarh,Chandigarh,160012,0,2
15-10-2025,Chandigarh,Chandigarh,160023,0,5
15-10-2025,Chandigarh,Chandigarh,160102,3,23
16-10-2025,Chandigarh,Chandigarh,160011,0,2
16-10-2025,Chandigarh,Chandigarh,160015,0,10
16-10-2025,Chandigarh,Chandigarh,160025,0,12
16-10-2025,Chandigarh,Chandigarh,160030,1,16
16-10-2025,Chandigarh,Chandigarh,160047,6,49
17-10-2025,Chandigarh,Chandigarh,160002,0,14
17-10-2025,Chandigarh,Chandigarh,160015,1,3
17-10-2025,Chandigarh,Chandigarh,160023,0,1
17-10-2025,Chandigarh,Chandigarh,160025,2,11
17-10-2025,Chandigarh,Chandigarh,160101,2,17
18-10-2025,Chandigarh,Chandigarh,160011,0,4
18-10-2025,Chandigarh,Chandigarh,160018,0,0
18-10-2025,Chandigarh,Chandigarh,160047,6,36
18-10-2025,Chandigarh,Chandigarh,160103,0,2
26-10-2025,Chandigarh,Chandigarh,160030,0,5
26-10-2025,Chandigarh,Chandigarh,160055,1,5
19-10-2025,Chandigarh,Chandigarh,160002,3,8
19-10-2025,Chandigarh,Chandigarh,160019,2,10
19-10-2025,Chandigarh,Chandigarh,160055,0,4
20-10-2025,Chandigarh,Chandigarh,160011,0,1
20-10-2025,Chandigarh,Chandigarh,160017,0,2
21-10-2025,Chandigarh,Chandigarh,160012,0,1
21-10-2025,Chandigarh,Chandigarh,160023,0,2
21-10-2025,Chandigarh,Chandigarh,160025,1,1
21-10-2025,Chandigarh,Chandigarh,160055,1,2
24-10-2025,Chandigarh,Chandigarh,160009,1,2
24-10-2025,Chandigarh,Chandigarh,160014,5,23
24-10-2025,Chandigarh,Chandigarh,160020,0,6
24-10-2025,Chandigarh,Chandigarh,160055,1,4
23-10-2025,Chandigarh,Chandigarh,160003,0,3
23-10-2025,Chandigarh,Chandigarh,160055,0,1
25-10-2025,Chandigarh,Chandigarh,160101,1,21
25-10-2025,Chandigarh,Chandigarh,160102,0,8
28-10-2025,Chandigarh,Chandigarh,160014,0,37
28-10-2025,Chandigarh,Chandigarh,160022,1,9
28-10-2025,Chandigarh,Chandigarh,160036,0,29
27-10-2025,Chandigarh,Chandigarh,160022,0,8
27-10-2025,Chandigarh,Chandigarh,160030,0,3
27-10-2025,Chandigarh,Chandigarh,160036,3,23
17-11-2025,Chandigarh,Chandigarh,160001,0,4
02-12-2025,Chandigarh,Chandigarh,160062,0,1
02-12-2025,Chandigarh,Mohali,140603,0,1
04-12-2025,Chandigarh,Chandigarh,160001,1,1
14-12-2025,Chandigarh,Chandigarh,160023,0,3
19-12-2025,Chandigarh,Chandigarh,160062,0,1
20-12-2025,Chandigarh,Chandigarh,160009,0,2
20-12-2025,Chandigarh,Chandigarh,160017,0,1
21-12-2025,Chandigarh,Chandigarh,160012,0,1
29-12-2025,Chandigarh,Chandigarh,160002,3,25
29-12-2025,Chandigarh,Chandigarh,160019,0,20
31-12-2025,Chandigarh,Chandigarh,160012,0,7
31-12-2025,Chandigarh,Chandigarh,160020,1,1
31-12-2025,Chandigarh,Chandigarh,160047,2,21
03-01-2026,Chandigarh,Chandigarh,160001,0,1
03-01-2026,Chandigarh,Chandigarh,160003,0,2
03-01-2026,Chandigarh,Chandigarh,160055,2,0
03-01-2026,Chandigarh,Chandigarh,160102,0,5
21-12-2025,Chandigarh,Chandigarh,160003,0,2
21-12-2025,Chandigarh,Chandigarh,160020,1,2
21-12-2025,Chandigarh,Chandigarh,160036,1,11
21-12-2025,Chandigarh,Chandigarh,160047,1,8
21-12-2025,Chandigarh,Chandigarh,160055,0,1
21-12-2025,Chandigarh,Chandigarh,160101,6,19
