date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Chhattisgarh,Kawardha,491888,13,375
01-03-2025,Chhattisgarh,Baloda Bazar,493331,10,437
01-03-2025,Chhattisgarh,Kabeerdham,491559,24,546
01-03-2025,Chhattisgarh,Jashpur,496118,125,961
01-03-2025,Chhattisgarh,Kanker,494635,31,336
01-03-2025,Chhattisgarh,Bastar,494005,45,302
01-03-2025,Chhattisgarh,Janjgir-champa,495559,30,504
01-03-2025,Chhattisgarh,Baloda Bazar,493338,34,1304
01-03-2025,Chhattisgarh,Kanker,494665,39,423
01-04-2025,Chhattisgarh,Mahasamund,493445,123,1706
01-04-2025,Chhattisgarh,Surguja,497001,210,2060
01-04-2025,Chhattisgarh,Raipur,492013,119,814
01-04-2025,Chhattisgarh,Surguja,497101,103,1032
01-04-2025,Chhattisgarh,Raipur,493225,60,1451
01-04-2025,Chhattisgarh,Balod,491226,74,764
01-04-2025,Chhattisgarh,Koriya,497335,153,756
01-04-2025,Chhattisgarh,Jashpur,496118,160,707
01-04-2025,Chhattisgarh,Balod,491223,156,445
01-04-2025,Chhattisgarh,Durg,490011,135,392
01-05-2025,Chhattisgarh,Korba,495445,84,1052
01-05-2025,Chhattisgarh,Balod,491226,72,815
01-05-2025,Chhattisgarh,Raipur,493111,68,576
01-05-2025,Chhattisgarh,Mahasamund,493445,151,1381
01-05-2025,Chhattisgarh,Mungeli,495334,138,1919
01-05-2025,Chhattisgarh,Rajnandgaon,491661,97,697
01-05-2025,Chhattisgarh,Bastar,494442,162,1256
01-05-2025,Chhattisgarh,Raipur,493225,108,1380
01-05-2025,Chhattisgarh,Baloda Bazar,493118,195,2667
01-05-2025,Chhattisgarh,Janjgir-champa,495692,24,358
01-05-2025,Chhattisgarh,Korba,495674,73,923
01-05-2025,Chhattisgarh,Janjgir-champa,495689,95,1094
01-05-2025,Chhattisgarh,Balod,491228,114,640
01-06-2025,Chhattisgarh,Jashpur,496223,248,3280
01-06-2025,Chhattisgarh,Bastar,494442,249,1833
01-06-2025,Chhattisgarh,Kanker,494669,149,1924
01-06-2025,Chhattisgarh,Balrampur,497225,370,9334
01-06-2025,Chhattisgarh,Rajnandgaon,491885,265,4277
01-06-2025,Chhattisgarh,Baloda Bazar,493229,149,1919
01-06-2025,Chhattisgarh,Rajnandgaon,491441,645,9113
01-03-2025,Chhattisgarh,Durg,490023,189,788
01-03-2025,Chhattisgarh,Dhamtari,493770,37,1552
01-03-2025,Chhattisgarh,Balrampur,497001,14,213
01-03-2025,Chhattisgarh,Raigarh,496100,16,160
01-03-2025,Chhattisgarh,Gariyaband,493888,22,596
01-03-2025,Chhattisgarh,Koriya,497778,18,259
01-03-2025,Chhattisgarh,Rajnandgaon,491668,47,1553
01-03-2025,Chhattisgarh,Rajnandgaon,491229,54,861
01-03-2025,Chhattisgarh,Bastar,494115,24,416
01-03-2025,Chhattisgarh,Jashpur,496227,45,236
01-03-2025,Chhattisgarh,Surguja,497001,224,2521
01-03-2025,Chhattisgarh,Raipur,493111,39,561
01-03-2025,Chhattisgarh,Bemetara,491335,109,2443
01-03-2025,Chhattisgarh,Raigarh,496115,57,277
01-03-2025,Chhattisgarh,Uttar Bastar Kanker,494337,21,186
01-03-2025,Chhattisgarh,Rajnandgaon,491666,32,1370
01-03-2025,Chhattisgarh,Kondagaon,494228,45,457
01-03-2025,Chhattisgarh,Mahasamund,493558,242,1730
01-03-2025,Chhattisgarh,Mahasamund,493555,27,628
01-03-2025,Chhattisgarh,Durg,490006,101,675
