date,state,district,pincode,demo_age_5_17,demo_age_17_
04-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,4
03-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,1,0
03-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,2,0
10-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,2,0
10-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
26-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
14-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
22-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
14-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
08-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
10-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
14-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
17-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
22-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
31-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
29-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
04-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,2
08-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,2,1
09-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,1,2
11-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
19-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,2
15-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
17-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
09-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
10-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
11-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
10-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
04-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
29-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,4
26-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
20-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
12-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
12-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
18-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
03-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
02-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
12-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,4
11-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
15-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,2,0
15-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,5
16-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
17-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
19-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
20-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
15-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,2,2
20-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0
24-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,4
02-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
07-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
10-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,4
25-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
15-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
12-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
13-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
21-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
15-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
25-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,4
19-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,3,0
31-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
31-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
01-01-2026,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,2
23-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
24-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
24-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,6
25-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
09-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
16-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
18-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
19-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
25-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
28-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
31-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
05-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,6
11-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
09-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
07-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
06-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
24-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
26-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
13-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
01-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,1
30-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
28-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
29-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
01-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
02-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,2
05-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
08-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
17-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
16-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,2,1
18-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
04-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
01-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
02-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
05-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
04-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,2
08-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
06-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
28-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,5
18-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
15-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,2
16-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,5
17-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
03-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
05-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,3
19-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,2,1
18-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396193,0,1
20-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1
26-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,5
27-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,2
