date,state,district,pincode,demo_age_5_17,demo_age_17_
17-11-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,0,2
18-11-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396240,0,1
03-12-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362540,0,1
05-12-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362520,1,1
07-12-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,0,2
08-12-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396240,0,1
13-12-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396193,0,1
21-12-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,0,3
29-11-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396240,0,1
29-11-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,1,0
26-12-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362540,0,1
27-12-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,0,1
29-12-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,0,1
31-12-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,0,4
03-01-2026,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396193,0,2
02-01-2026,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396235,0,3
02-01-2026,Dadra and Nagar Haveli and Daman and Diu,Diu,362520,0,2
23-12-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,3,11
23-12-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,0,9
23-12-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396215,0,1
23-12-2025,Dadra and Nagar Haveli and Daman and Diu,Diu,362570,0,0
24-12-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396210,1,9
27-12-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396240,0,1
19-12-2025,Dadra and Nagar Haveli and Daman and Diu,Daman,396220,0,4
20-12-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,0,15
20-12-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396235,0,1
21-12-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,1,5
13-12-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,0,3
