date,state,district,pincode,demo_age_5_17,demo_age_17_
19-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,0
19-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,3
27-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,2
21-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,3,4
20-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,0
14-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,2
15-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,0
19-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1
07-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,2
01-03-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,49,593
01-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,13,35
02-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,8
05-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,2
05-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,2
08-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,7
07-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,0,5
12-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,4,13
11-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,19,34
13-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,2,9
15-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,16,65
16-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,3,3
17-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,16,64
17-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,10
17-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,2,3
19-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,11,34
19-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,3,8
20-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,2,4
16-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,27,45
05-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,3
06-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,2,15
03-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,6
29-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,4
02-01-2026,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,4
28-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,6,13
23-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,3,31
23-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,2,7
25-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
27-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,5
26-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,2
14-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,1
18-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,4
20-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
21-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,1
22-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,6,27
22-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1
15-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,2
17-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,2
10-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,2
11-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,3
11-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,6,27
09-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1
19-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,4
07-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,4
07-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,4
08-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,3
08-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1
14-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,3,21
12-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,4
13-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,5
18-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,10,37
03-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,11,35
22-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,1
31-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,17,28
31-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,1
25-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,2,4
02-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,1
30-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,10,44
01-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,10,36
27-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
28-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,5
29-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1
02-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,13,42
04-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,4
04-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,5,4
05-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,13,10
09-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,11
10-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,27,45
10-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,9,13
11-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,7,10
13-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,6
13-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,11,29
13-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,4,3
14-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,2,10
14-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1
15-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,2,4
15-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,2,5
16-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,6,12
13-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
13-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,3
15-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,11,41
17-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,1
26-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,1
26-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,3
18-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
19-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,1
23-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,1,2
25-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,1
25-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,4
27-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,4,16
28-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,4
05-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,3
09-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,3
16-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,0
31-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,2
31-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,2
03-01-2026,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,2
02-01-2026,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,2
24-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,9
26-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,6
18-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,4
19-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,4
27-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,1,13
17-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,6
10-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,4,24
11-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,2
16-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,6
04-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,5
04-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,4,30
03-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,4
07-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,1,3
15-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,7
10-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,3
11-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,4,18
13-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,2,30
13-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,2
14-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,4
18-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,3
17-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,5,44
04-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,3
06-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,3
06-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,7,31
08-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,7
07-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,3,1
15-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,1,18
15-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,1
03-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,2
03-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,3
30-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1
25-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,3
25-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,2,16
24-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
24-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,3
27-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,2,3
02-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,4
28-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,2,22
01-04-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,78,483
01-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,8,5
02-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
03-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,2
06-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,1
06-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,10,5
08-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,11,47
09-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,19,50
11-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,4,20
17-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,3,1
18-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,6
18-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,5,12
19-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,5
20-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,2,2
13-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,1,17
13-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,2
15-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,11
16-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,3,5
16-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,9,12
19-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,4,9
26-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,6
20-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,1
22-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,1
27-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,5
28-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,11,24
28-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,2
02-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,3,0
18-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,3
24-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1
25-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,7,21
18-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
05-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
06-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,3
06-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,5
06-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,2,3
06-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,2
04-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,2,1
10-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,8,35
10-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,3,4
11-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,4
12-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,2
12-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,4
14-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
16-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,0,3
25-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,2
29-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,8
29-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,4
02-01-2026,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,6,21
14-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,3
23-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,4
23-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,9
27-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,3
19-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,4
20-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,4,16
21-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,0,3
15-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,5,34
14-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,0,6
16-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
13-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,5
17-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,2,0
09-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,9,38
10-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,2,6
12-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,4
12-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,6
29-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,3
29-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,16,43
29-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,6
22-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1
31-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,3
23-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,1,3
17-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,2,7
20-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,2
