date,state,district,pincode,demo_age_5_17,demo_age_17_
02-09-2025,Daman & Diu,Daman,396210,1,7
02-09-2025,Daman & Diu,Diu,362520,0,2
04-09-2025,Daman & Diu,Diu,362570,1,0
06-09-2025,Daman & Diu,Diu,362570,0,1
10-09-2025,Daman & Diu,Diu,362540,1,1
10-09-2025,Daman & Diu,Diu,362570,0,2
13-09-2025,Daman & Diu,Daman,396220,0,1
15-09-2025,Daman & Diu,Daman,396210,2,2
19-09-2025,Daman & Diu,Diu,362540,0,4
18-09-2025,Daman & Diu,Daman,396210,0,2
18-09-2025,Daman & Diu,Daman,396220,0,1
18-09-2025,Daman & Diu,Diu,362570,0,1
12-11-2025,Daman & Diu,Diu,362520,0,1
12-11-2025,Daman & Diu,Diu,362570,0,1
18-11-2025,Daman & Diu,Daman,396220,0,1
13-12-2025,Daman & Diu,Diu,362520,0,1
15-12-2025,Daman & Diu,Diu,362540,0,1
16-12-2025,Daman & Diu,Daman,396220,0,3
26-10-2025,Daman & Diu,Daman,396210,0,3
26-10-2025,Daman & Diu,Diu,362540,0,1
19-10-2025,Daman & Diu,Diu,362570,1,1
25-10-2025,Daman & Diu,Diu,362540,0,3
27-10-2025,Daman & Diu,Daman,396210,0,2
20-12-2025,Daman & Diu,Diu,362520,0,1
18-12-2025,Daman & Diu,Diu,362540,0,1
16-12-2025,Daman & Diu,Diu,362570,0,2
10-12-2025,Daman & Diu,Diu,362520,0,1
10-12-2025,Daman & Diu,Diu,362570,0,3
11-12-2025,Daman & Diu,Daman,396210,0,8
11-12-2025,Daman & Diu,Diu,362570,0,1
12-12-2025,Daman & Diu,Diu,362520,0,3
27-12-2025,Daman & Diu,Daman,396220,0,2
13-12-2025,Daman & Diu,Daman,396210,1,2
01-01-2026,Daman & Diu,Daman,396210,0,4
02-01-2026,Daman & Diu,Diu,362540,0,1
03-12-2025,Daman & Diu,Daman,396220,0,1
04-12-2025,Daman & Diu,Diu,362520,0,1
04-12-2025,Daman & Diu,Diu,362570,0,1
05-12-2025,Daman & Diu,Daman,396210,0,4
06-11-2025,Daman & Diu,Daman,396210,0,1
06-11-2025,Daman & Diu,Daman,396220,0,1
07-11-2025,Daman & Diu,Diu,362570,0,4
12-11-2025,Daman & Diu,Daman,396210,1,6
12-11-2025,Daman & Diu,Daman,396220,0,1
14-11-2025,Daman & Diu,Diu,362540,0,2
15-11-2025,Daman & Diu,Daman,396210,0,2
17-11-2025,Daman & Diu,Daman,396220,0,2
19-11-2025,Daman & Diu,Daman,396220,0,4
01-11-2025,Daman & Diu,Daman,396210,0,3
29-10-2025,Daman & Diu,Diu,362520,0,1
01-12-2025,Daman & Diu,Daman,396220,0,1
01-12-2025,Daman & Diu,Diu,362520,0,1
24-11-2025,Daman & Diu,Daman,396210,0,4
24-11-2025,Daman & Diu,Diu,362540,1,3
27-11-2025,Daman & Diu,Daman,396210,0,7
02-12-2025,Daman & Diu,Daman,396210,0,1
02-12-2025,Daman & Diu,Diu,362570,0,1
02-09-2025,Daman & Diu,Daman,396220,0,2
08-09-2025,Daman & Diu,Diu,362570,0,1
09-09-2025,Daman & Diu,Diu,362520,2,0
10-09-2025,Daman & Diu,Daman,396210,0,4
11-09-2025,Daman & Diu,Diu,362570,0,2
12-09-2025,Daman & Diu,Daman,396210,1,9
12-09-2025,Daman & Diu,Diu,362520,0,3
12-09-2025,Daman & Diu,Diu,362540,0,1
17-09-2025,Daman & Diu,Diu,362540,1,1
17-09-2025,Daman & Diu,Diu,362570,0,1
18-09-2025,Daman & Diu,Diu,362520,0,2
18-09-2025,Daman & Diu,Diu,362540,0,6
17-10-2025,Daman & Diu,Diu,362540,0,3
18-10-2025,Daman & Diu,Daman,396220,0,2
18-10-2025,Daman & Diu,Diu,362540,1,1
20-10-2025,Daman & Diu,Daman,396210,0,1
25-10-2025,Daman & Diu,Daman,396220,0,2
28-10-2025,Daman & Diu,Daman,396210,1,5
28-10-2025,Daman & Diu,Diu,362570,1,0
05-11-2025,Daman & Diu,Daman,396210,0,1
08-11-2025,Daman & Diu,Diu,362570,0,3
16-11-2025,Daman & Diu,Diu,362570,0,1
17-11-2025,Daman & Diu,Diu,362540,0,1
06-12-2025,Daman & Diu,Diu,362570,0,3
27-12-2025,Daman & Diu,Diu,362540,0,1
23-12-2025,Daman & Diu,Diu,362570,0,2
29-12-2025,Daman & Diu,Daman,396210,0,3
03-01-2026,Daman & Diu,Diu,362540,0,1
02-01-2026,Daman & Diu,Daman,396210,0,2
02-01-2026,Daman & Diu,Daman,396220,0,1
24-12-2025,Daman & Diu,Daman,396210,0,3
23-12-2025,Daman & Diu,Diu,362540,1,1
18-12-2025,Daman & Diu,Daman,396210,1,2
18-12-2025,Daman & Diu,Diu,362570,0,4
21-12-2025,Daman & Diu,Daman,396210,0,1
17-12-2025,Daman & Diu,Diu,362520,0,3
10-12-2025,Daman & Diu,Daman,396210,0,6
16-12-2025,Daman & Diu,Diu,362520,0,2
04-12-2025,Daman & Diu,Daman,396210,0,2
03-12-2025,Daman & Diu,Daman,396210,0,5
03-12-2025,Daman & Diu,Diu,362570,0,1
05-12-2025,Daman & Diu,Diu,362570,0,5
07-12-2025,Daman & Diu,Diu,362520,0,1
14-12-2025,Daman & Diu,Daman,396210,0,2
12-12-2025,Daman & Diu,Diu,362540,0,2
11-11-2025,Daman & Diu,Daman,396210,0,5
14-11-2025,Daman & Diu,Daman,396210,0,4
18-11-2025,Daman & Diu,Daman,396210,0,5
17-11-2025,Daman & Diu,Daman,396210,0,16
04-11-2025,Daman & Diu,Daman,396220,0,1
04-11-2025,Daman & Diu,Diu,362540,0,1
06-11-2025,Daman & Diu,Diu,362570,0,1
15-11-2025,Daman & Diu,Daman,396220,0,2
19-11-2025,Daman & Diu,Diu,362520,0,1
19-11-2025,Daman & Diu,Diu,362540,0,3
21-11-2025,Daman & Diu,Diu,362520,0,1
21-11-2025,Daman & Diu,Diu,362570,0,1
30-10-2025,Daman & Diu,Daman,396220,0,2
31-10-2025,Daman & Diu,Daman,396220,0,3
31-10-2025,Daman & Diu,Diu,362570,0,2
29-11-2025,Daman & Diu,Daman,396210,0,7
29-11-2025,Daman & Diu,Daman,396220,0,1
24-11-2025,Daman & Diu,Diu,362570,0,3
17-10-2025,Daman & Diu,Diu,362570,0,1
18-10-2025,Daman & Diu,Daman,396215,0,1
28-10-2025,Daman & Diu,Daman,396220,0,2
30-10-2025,Daman & Diu,Diu,362570,0,2
03-11-2025,Daman & Diu,Daman,396220,0,1
25-10-2025,Daman & Diu,Diu,362520,0,1
01-11-2025,Daman & Diu,Diu,362570,0,1
07-12-2025,Daman & Diu,Daman,396210,0,1
07-12-2025,Daman & Diu,Diu,362570,0,1
03-09-2025,Daman & Diu,Daman,396220,0,1
06-09-2025,Daman & Diu,Diu,362520,0,1
08-09-2025,Daman & Diu,Daman,396220,1,3
08-09-2025,Daman & Diu,Diu,362520,0,4
09-09-2025,Daman & Diu,Daman,396210,0,6
09-09-2025,Daman & Diu,Diu,362540,0,1
15-09-2025,Daman & Diu,Diu,362540,0,3
16-09-2025,Daman & Diu,Daman,396210,0,3
16-09-2025,Daman & Diu,Diu,362540,1,5
19-09-2025,Daman & Diu,Diu,362570,0,4
12-12-2025,Daman & Diu,Daman,396210,0,1
03-12-2025,Daman & Diu,Diu,362540,0,2
23-12-2025,Daman & Diu,Diu,362520,0,1
31-12-2025,Daman & Diu,Daman,396210,0,9
25-12-2025,Daman & Diu,Diu,362570,0,1
27-12-2025,Daman & Diu,Daman,396210,1,1
28-12-2025,Daman & Diu,Daman,396210,1,1
28-12-2025,Daman & Diu,Daman,396220,0,2
01-01-2026,Daman & Diu,Diu,362520,0,1
03-01-2026,Daman & Diu,Daman,396210,0,1
03-01-2026,Daman & Diu,Daman,396220,0,1
24-12-2025,Daman & Diu,Diu,362520,0,1
26-12-2025,Daman & Diu,Daman,396210,1,5
19-12-2025,Daman & Diu,Daman,396210,0,4
21-12-2025,Daman & Diu,Diu,362570,0,1
22-12-2025,Daman & Diu,Daman,396210,0,1
15-12-2025,Daman & Diu,Daman,396210,0,4
16-12-2025,Daman & Diu,Diu,362540,0,3
09-12-2025,Daman & Diu,Diu,362570,0,5
11-12-2025,Daman & Diu,Diu,362520,0,1
10-11-2025,Daman & Diu,Daman,396220,0,2
10-11-2025,Daman & Diu,Diu,362570,0,3
15-11-2025,Daman & Diu,Diu,362540,0,1
19-11-2025,Daman & Diu,Daman,396210,0,3
07-11-2025,Daman & Diu,Daman,396210,0,2
07-11-2025,Daman & Diu,Daman,396220,0,1
08-11-2025,Daman & Diu,Daman,396210,0,2
14-11-2025,Daman & Diu,Daman,396220,0,2
20-11-2025,Daman & Diu,Daman,396210,0,5
20-11-2025,Daman & Diu,Daman,396220,0,1
21-11-2025,Daman & Diu,Daman,396210,1,4
11-11-2025,Daman & Diu,Diu,362570,0,1
13-11-2025,Daman & Diu,Daman,396220,0,1
03-11-2025,Daman & Diu,Daman,396210,0,3
03-11-2025,Daman & Diu,Diu,362570,0,1
01-11-2025,Daman & Diu,Daman,396220,0,2
30-10-2025,Daman & Diu,Daman,396210,0,8
26-11-2025,Daman & Diu,Diu,362570,0,1
01-12-2025,Daman & Diu,Diu,362540,0,2
27-11-2025,Daman & Diu,Diu,362540,0,3
02-12-2025,Daman & Diu,Daman,396220,0,4
04-09-2025,Daman & Diu,Daman,396220,0,1
06-09-2025,Daman & Diu,Daman,396210,1,4
08-09-2025,Daman & Diu,Daman,396210,0,7
