date,state,district,pincode,demo_age_5_17,demo_age_17_
01-09-2025,Daman and Diu,Daman,396210,0,8
04-09-2025,Daman and Diu,Daman,396215,0,2
04-09-2025,Daman and Diu,Diu,362570,1,6
03-09-2025,Daman and Diu,Diu,362570,2,2
05-09-2025,Daman and Diu,Daman,396210,0,1
06-09-2025,Daman and Diu,Daman,396220,0,3
11-09-2025,Daman and Diu,Diu,362570,1,5
10-09-2025,Daman and Diu,Daman,396215,1,0
13-09-2025,Daman and Diu,Daman,396220,2,2
15-09-2025,Daman and Diu,Daman,396210,2,7
15-09-2025,Daman and Diu,Diu,362540,2,3
19-09-2025,Daman and Diu,Daman,396215,1,3
19-09-2025,Daman and Diu,Diu,362540,0,3
20-09-2025,Daman and Diu,Daman,396210,2,5
13-10-2025,Daman and Diu,Diu,362520,0,2
15-10-2025,Daman and Diu,Daman,396210,1,11
15-10-2025,Daman and Diu,Diu,362570,2,1
16-10-2025,Daman and Diu,Diu,362570,1,5
18-10-2025,Daman and Diu,Daman,396210,0,5
19-10-2025,Daman and Diu,Diu,362570,1,0
26-10-2025,Daman and Diu,Diu,362570,0,2
20-10-2025,Daman and Diu,Diu,362540,0,1
23-10-2025,Daman and Diu,Daman,396220,0,1
24-10-2025,Daman and Diu,Diu,362520,1,0
25-10-2025,Daman and Diu,Diu,362520,1,0
01-11-2025,Daman and Diu,Diu,362540,0,1
05-11-2025,Daman and Diu,Diu,362520,0,3
05-11-2025,Daman and Diu,Diu,362570,0,1
12-11-2025,Daman and Diu,Daman,396215,0,1
18-11-2025,Daman and Diu,Daman,396220,1,3
05-12-2025,Daman and Diu,Daman,396220,0,1
07-12-2025,Daman and Diu,Diu,362520,0,1
04-11-2025,Daman and Diu,Daman,396210,4,7
06-11-2025,Daman and Diu,Diu,362540,0,1
10-11-2025,Daman and Diu,Diu,362520,0,1
10-11-2025,Daman and Diu,Diu,362570,0,2
11-11-2025,Daman and Diu,Daman,396210,0,5
11-11-2025,Daman and Diu,Diu,362520,0,1
12-11-2025,Daman and Diu,Diu,362570,1,1
13-11-2025,Daman and Diu,Daman,396220,0,3
14-11-2025,Daman and Diu,Daman,396215,0,1
27-11-2025,Daman and Diu,Diu,362520,1,2
29-11-2025,Daman and Diu,Diu,362520,1,0
24-12-2025,Daman and Diu,Daman,396215,0,1
26-12-2025,Daman and Diu,Diu,362540,0,1
28-12-2025,Daman and Diu,Daman,396215,0,2
29-12-2025,Daman and Diu,Daman,396210,0,5
29-12-2025,Daman and Diu,Daman,396215,1,0
29-12-2025,Daman and Diu,Diu,362570,0,1
31-12-2025,Daman and Diu,Diu,362520,0,1
01-01-2026,Daman and Diu,Daman,396220,0,2
25-12-2025,Daman and Diu,Daman,396220,0,2
26-12-2025,Daman and Diu,Daman,396220,0,1
19-12-2025,Daman and Diu,Daman,396210,0,10
19-12-2025,Daman and Diu,Daman,396220,0,1
20-12-2025,Daman and Diu,Daman,396210,1,6
22-12-2025,Daman and Diu,Diu,362520,0,4
22-12-2025,Daman and Diu,Diu,362570,2,6
