date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Delhi,North West Delhi,110088,78,1319
01-03-2025,Delhi,East Delhi,110053,22,182
01-03-2025,Delhi,South West Delhi,110072,45,497
01-03-2025,Delhi,South West Delhi,110038,60,417
01-03-2025,Delhi,North Delhi,110006,196,2469
01-03-2025,Delhi,South Delhi,110076,105,1795
01-03-2025,Delhi,Central Delhi,110012,73,722
01-03-2025,Delhi,South West Delhi,110043,501,4098
01-03-2025,Delhi,New Delhi,110001,74,437
01-03-2025,Delhi,West Delhi,110027,170,1938
01-03-2025,Delhi,South West Delhi,110023,46,379
01-03-2025,Delhi,Central Delhi,110008,216,2829
01-03-2025,Delhi,South Delhi,110047,101,728
01-04-2025,Delhi,North Delhi,110084,756,5451
01-04-2025,Delhi,North West Delhi,110040,957,2444
01-04-2025,Delhi,South Delhi,110062,699,9272
01-04-2025,Delhi,South West Delhi,110043,740,4439
01-04-2025,Delhi,East Delhi,110031,498,2286
01-04-2025,Delhi,South Delhi,110017,183,1875
01-04-2025,Delhi,South West Delhi,110046,261,2034
01-04-2025,Delhi,Shahdara,110093,299,898
01-04-2025,Delhi,Central Delhi,110005,205,2580
01-04-2025,Delhi,South Delhi,110047,163,704
01-04-2025,Delhi,South Delhi,110014,52,586
01-04-2025,Delhi,North West Delhi,110085,823,4912
01-04-2025,Delhi,East Delhi,110091,635,4916
01-05-2025,Delhi,North West Delhi,110083,257,1329
01-05-2025,Delhi,East Delhi,110051,259,2146
01-05-2025,Delhi,South Delhi,110076,122,1058
01-05-2025,Delhi,South West Delhi,110046,173,1416
01-05-2025,Delhi,East Delhi,110092,709,4857
01-05-2025,Delhi,North Delhi,110084,566,3633
01-05-2025,Delhi,North Delhi,110007,153,1975
01-05-2025,Delhi,North West Delhi,110052,240,2473
01-05-2025,Delhi,West Delhi,110063,191,1560
01-05-2025,Delhi,North West Delhi,110042,718,3393
01-05-2025,Delhi,East Delhi,110031,354,1928
01-05-2025,Delhi,South Delhi,110074,193,1505
01-06-2025,Delhi,South Delhi,110019,183,1911
01-06-2025,Delhi,North Delhi,110007,120,1358
01-06-2025,Delhi,South West Delhi,110077,170,1182
01-06-2025,Delhi,West Delhi,110059,846,8050
01-06-2025,Delhi,East Delhi,110096,633,2827
01-06-2025,Delhi,North East Delhi,110053,577,2906
01-06-2025,Delhi,North West Delhi,110033,255,2146
01-06-2025,Delhi,South Delhi,110044,441,3201
01-06-2025,Delhi,North East Delhi,110093,335,1656
01-06-2025,Delhi,South Delhi,110062,311,3516
01-06-2025,Delhi,West Delhi,110063,105,1138
01-06-2025,Delhi,West Delhi,110027,131,1522
01-06-2025,Delhi,Shahdara,110032,255,1574
01-07-2025,Delhi,South Delhi,110019,282,2305
01-07-2025,Delhi,North Delhi,110084,598,3868
01-07-2025,Delhi,South Delhi,110047,99,573
01-03-2025,Delhi,Central Delhi,110005,145,2190
01-03-2025,Delhi,Shahdara,110053,18,244
01-03-2025,Delhi,South West Delhi,110022,58,717
01-09-2025,Delhi,Central Delhi,110005,7,49
01-09-2025,Delhi,East Delhi,110031,12,43
01-09-2025,Delhi,East Delhi,110053,1,2
01-09-2025,Delhi,New Delhi,110001,1,10
01-09-2025,Delhi,New Delhi,110011,0,1
01-09-2025,Delhi,North Delhi,110007,4,34
01-09-2025,Delhi,North East,110094,1,41
01-09-2025,Delhi,North East Delhi,110053,15,84
01-09-2025,Delhi,North West Delhi,110009,4,26
01-09-2025,Delhi,North West Delhi,110040,12,53
01-09-2025,Delhi,North West Delhi,110088,7,38
01-09-2025,Delhi,South Delhi,110013,2,16
01-09-2025,Delhi,South Delhi,110016,0,9
01-09-2025,Delhi,South Delhi,110047,1,14
01-09-2025,Delhi,South Delhi,110068,2,15
01-09-2025,Delhi,South West Delhi,110016,0,8
01-09-2025,Delhi,South West Delhi,110022,1,10
01-09-2025,Delhi,South West Delhi,110038,2,7
01-09-2025,Delhi,South West Delhi,110077,3,34
01-09-2025,Delhi,South West Delhi,110078,4,29
01-09-2025,Delhi,West Delhi,110058,1,17
02-09-2025,Delhi,Central Delhi,110004,0,3
02-09-2025,Delhi,Central Delhi,110008,15,41
02-09-2025,Delhi,East Delhi,110031,8,41
02-09-2025,Delhi,East Delhi,110096,24,84
02-09-2025,Delhi,New Delhi,110023,0,5
02-09-2025,Delhi,North East Delhi,110094,36,140
02-09-2025,Delhi,North West Delhi,110009,4,26
02-09-2025,Delhi,North West Delhi,110052,18,60
02-09-2025,Delhi,North West Delhi,110085,20,101
02-09-2025,Delhi,Shahdara,110032,4,28
02-09-2025,Delhi,Shahdara,110095,4,10
02-09-2025,Delhi,South Delhi,110044,16,114
02-09-2025,Delhi,South Delhi,110048,3,14
02-09-2025,Delhi,South West Delhi,110021,0,5
02-09-2025,Delhi,South West Delhi,110028,1,22
02-09-2025,Delhi,South West Delhi,110047,0,1
02-09-2025,Delhi,South West Delhi,110061,0,16
02-09-2025,Delhi,South West Delhi,110070,2,26
02-09-2025,Delhi,South West Delhi,110077,5,44
04-09-2025,Delhi,Central Delhi,110002,2,16
04-09-2025,Delhi,Central Delhi,110004,2,0
04-09-2025,Delhi,North Delhi,110007,3,23
04-09-2025,Delhi,North East,110094,4,36
04-09-2025,Delhi,North East Delhi,110094,31,157
04-09-2025,Delhi,North West Delhi,110040,16,45
04-09-2025,Delhi,North West Delhi,110056,0,1
04-09-2025,Delhi,North West Delhi,110088,6,18
04-09-2025,Delhi,North West Delhi,110089,7,20
04-09-2025,Delhi,South Delhi,110019,3,60
04-09-2025,Delhi,South Delhi,110020,3,24
04-09-2025,Delhi,South Delhi,110030,2,33
04-09-2025,Delhi,South Delhi,110080,1,19
04-09-2025,Delhi,South West Delhi,110029,1,9
04-09-2025,Delhi,South West Delhi,110030,0,5
04-09-2025,Delhi,South West Delhi,110046,11,20
04-09-2025,Delhi,West Delhi,110027,10,42
04-09-2025,Delhi,West Delhi,110041,22,125
04-09-2025,Delhi,West Delhi,110063,3,38
04-09-2025,Delhi,West Delhi,110064,0,2
03-09-2025,Delhi,Central Delhi,110011,0,1
03-09-2025,Delhi,Central Delhi,110060,0,2
03-09-2025,Delhi,Najafgarh,110043,0,2
03-09-2025,Delhi,North East Delhi,110053,22,56
03-09-2025,Delhi,North East Delhi,110094,38,115
03-09-2025,Delhi,North West Delhi,110009,1,25
03-09-2025,Delhi,North West Delhi,110033,13,56
03-09-2025,Delhi,North West Delhi,110040,7,30
03-09-2025,Delhi,South Delhi,110013,3,4
03-09-2025,Delhi,South Delhi,110016,0,7
03-09-2025,Delhi,South Delhi,110019,6,48
03-09-2025,Delhi,South Delhi,110025,8,41
03-09-2025,Delhi,South Delhi,110044,12,78
03-09-2025,Delhi,South Delhi,110047,3,17
03-09-2025,Delhi,South Delhi,110049,3,13
03-09-2025,Delhi,South Delhi,110065,3,14
03-09-2025,Delhi,South Delhi,110080,1,10
03-09-2025,Delhi,South West Delhi,110037,9,30
03-09-2025,Delhi,South West Delhi,110061,0,4
03-09-2025,Delhi,South West Delhi,110070,6,20
03-09-2025,Delhi,South West Delhi,110072,0,3
03-09-2025,Delhi,West Delhi,110063,1,30
03-09-2025,Delhi,West Delhi,110087,4,26
06-09-2025,Delhi,Central Delhi,110001,0,4
06-09-2025,Delhi,Central Delhi,110011,0,1
06-09-2025,Delhi,Central Delhi,110012,0,6
06-09-2025,Delhi,Central Delhi,110055,3,25
06-09-2025,Delhi,Central Delhi,110060,1,9
06-09-2025,Delhi,East Delhi,110032,2,15
06-09-2025,Delhi,East Delhi,110092,15,114
06-09-2025,Delhi,East Delhi,110094,0,2
06-09-2025,Delhi,Najafgarh,110043,0,1
06-09-2025,Delhi,North Delhi,110006,9,41
06-09-2025,Delhi,North East Delhi,110094,41,175
06-09-2025,Delhi,North West Delhi,110036,6,20
06-09-2025,Delhi,North West Delhi,110039,14,38
06-09-2025,Delhi,North West Delhi,110094,0,3
06-09-2025,Delhi,Shahdara,110032,11,39
06-09-2025,Delhi,South Delhi,110016,3,8
06-09-2025,Delhi,South Delhi,110049,1,16
06-09-2025,Delhi,South Delhi,110080,1,19
06-09-2025,Delhi,South West Delhi,110028,4,15
06-09-2025,Delhi,South West Delhi,110043,16,80
06-09-2025,Delhi,South West Delhi,110045,12,88
06-09-2025,Delhi,South West Delhi,110067,1,19
06-09-2025,Delhi,South West Delhi,110075,1,26
06-09-2025,Delhi,West Delhi,110026,2,11
05-09-2025,Delhi,Central Delhi,110002,2,10
05-09-2025,Delhi,Central Delhi,110012,0,2
05-09-2025,Delhi,East Delhi,110053,0,2
05-09-2025,Delhi,East Delhi,110092,13,95
05-09-2025,Delhi,East Delhi,110096,9,50
05-09-2025,Delhi,North Delhi,110007,2,21
05-09-2025,Delhi,North East,110053,0,5
05-09-2025,Delhi,North East,110094,1,17
05-09-2025,Delhi,North West Delhi,110039,3,21
05-09-2025,Delhi,North West Delhi,110052,7,34
05-09-2025,Delhi,North West Delhi,110086,14,112
05-09-2025,Delhi,South Delhi,110013,0,5
05-09-2025,Delhi,South Delhi,110019,2,26
05-09-2025,Delhi,South Delhi,110025,5,47
05-09-2025,Delhi,South Delhi,110030,5,15
05-09-2025,Delhi,South Delhi,110062,9,59
05-09-2025,Delhi,South Delhi,110068,0,1
05-09-2025,Delhi,South West Delhi,110064,0,10
05-09-2025,Delhi,South West Delhi,110072,0,1
05-09-2025,Delhi,West Delhi,110018,2,48
05-09-2025,Delhi,West Delhi,110026,0,6
05-09-2025,Delhi,West Delhi,110064,0,1
