date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Goa,North Goa,403114,15,64
01-03-2025,Goa,North Goa,403402,15,52
01-03-2025,Goa,North Goa,403110,21,100
01-03-2025,Goa,South Goa,403707,50,284
01-03-2025,Goa,North Goa,403107,16,146
01-09-2025,Goa,North Goa,403004,0,4
01-09-2025,Goa,North Goa,403103,1,5
01-09-2025,Goa,North Goa,403104,0,2
01-09-2025,Goa,North Goa,403108,0,6
01-09-2025,Goa,North Goa,403403,0,1
01-09-2025,Goa,North Goa,403404,0,1
01-09-2025,Goa,North Goa,403502,0,6
01-09-2025,Goa,North Goa,403505,1,16
01-09-2025,Goa,North Goa,403507,1,14
01-09-2025,Goa,North Goa,403515,1,2
01-09-2025,Goa,North Goa,403523,1,1
01-09-2025,Goa,South Goa,403706,0,1
01-09-2025,Goa,South Goa,403711,0,3
01-09-2025,Goa,South Goa,403716,0,6
01-09-2025,Goa,South Goa,403806,0,2
02-09-2025,Goa,North Goa,403114,0,2
02-09-2025,Goa,North Goa,403406,0,4
02-09-2025,Goa,North Goa,403506,0,6
02-09-2025,Goa,North Goa,403511,0,4
02-09-2025,Goa,North Goa,403521,0,4
02-09-2025,Goa,North Goa,403530,0,7
02-09-2025,Goa,South Goa,403409,0,1
02-09-2025,Goa,South Goa,403708,0,2
02-09-2025,Goa,South Goa,403720,0,3
02-09-2025,Goa,South Goa,403801,0,3
04-09-2025,Goa,North Goa,403110,0,3
04-09-2025,Goa,North Goa,403203,1,1
04-09-2025,Goa,North Goa,403510,0,1
04-09-2025,Goa,North Goa,403513,1,3
04-09-2025,Goa,South Goa,403409,0,1
04-09-2025,Goa,South Goa,403704,0,5
04-09-2025,Goa,South Goa,403705,0,18
04-09-2025,Goa,South Goa,403706,2,7
04-09-2025,Goa,South Goa,403708,0,4
04-09-2025,Goa,South Goa,403716,1,4
04-09-2025,Goa,South Goa,403802,1,31
04-09-2025,Goa,South Goa,403803,0,1
03-09-2025,Goa,North Goa,403005,0,6
03-09-2025,Goa,North Goa,403204,0,3
03-09-2025,Goa,North Goa,403404,0,2
03-09-2025,Goa,South Goa,403601,1,10
03-09-2025,Goa,South Goa,403708,0,3
03-09-2025,Goa,South Goa,403710,0,2
03-09-2025,Goa,South Goa,403711,0,3
03-09-2025,Goa,South Goa,403718,0,1
03-09-2025,Goa,South Goa,403722,0,3
05-09-2025,Goa,North Goa,403006,0,2
05-09-2025,Goa,North Goa,403102,0,2
05-09-2025,Goa,North Goa,403402,2,2
05-09-2025,Goa,North Goa,403511,0,2
05-09-2025,Goa,North Goa,403521,0,3
05-09-2025,Goa,South Goa,403601,3,10
05-09-2025,Goa,South Goa,403701,0,1
05-09-2025,Goa,South Goa,403707,1,5
05-09-2025,Goa,South Goa,403713,1,3
05-09-2025,Goa,South Goa,403716,0,1
05-09-2025,Goa,South Goa,403720,0,2
06-09-2025,Goa,North Goa,403001,1,3
06-09-2025,Goa,North Goa,403005,0,2
06-09-2025,Goa,North Goa,403103,0,2
06-09-2025,Goa,North Goa,403114,0,1
06-09-2025,Goa,North Goa,403401,1,12
06-09-2025,Goa,North Goa,403510,0,4
06-09-2025,Goa,North Goa,403515,0,2
06-09-2025,Goa,South Goa,403702,0,7
06-09-2025,Goa,South Goa,403709,1,3
06-09-2025,Goa,South Goa,403723,0,1
06-09-2025,Goa,South Goa,403801,0,1
08-09-2025,Goa,North Goa,403102,0,3
08-09-2025,Goa,North Goa,403105,0,3
08-09-2025,Goa,North Goa,403204,0,1
08-09-2025,Goa,North Goa,403402,1,4
08-09-2025,Goa,North Goa,403501,0,4
08-09-2025,Goa,North Goa,403506,1,16
08-09-2025,Goa,North Goa,403512,2,3
08-09-2025,Goa,North Goa,403513,1,7
08-09-2025,Goa,North Goa,403527,0,4
08-09-2025,Goa,South Goa,403703,0,5
08-09-2025,Goa,South Goa,403705,1,13
08-09-2025,Goa,South Goa,403706,0,5
08-09-2025,Goa,South Goa,403709,0,6
08-09-2025,Goa,South Goa,403712,0,2
08-09-2025,Goa,South Goa,403718,0,5
07-09-2025,Goa,South Goa,403716,0,2
09-09-2025,Goa,North Goa,403006,2,6
09-09-2025,Goa,North Goa,403103,0,6
09-09-2025,Goa,North Goa,403107,0,2
09-09-2025,Goa,North Goa,403501,1,2
09-09-2025,Goa,North Goa,403509,0,2
09-09-2025,Goa,North Goa,403515,0,4
09-09-2025,Goa,North Goa,403517,0,5
09-09-2025,Goa,North Goa,403706,0,3
09-09-2025,Goa,South Goa,403410,0,0
09-09-2025,Goa,South Goa,403709,0,10
09-09-2025,Goa,South Goa,403720,0,6
09-09-2025,Goa,South Goa,403731,0,1
09-09-2025,Goa,South Goa,403806,0,2
10-09-2025,Goa,North Goa,403005,1,7
10-09-2025,Goa,North Goa,403103,0,5
10-09-2025,Goa,North Goa,403406,0,5
10-09-2025,Goa,North Goa,403502,0,5
10-09-2025,Goa,North Goa,403503,0,4
10-09-2025,Goa,North Goa,403504,0,10
10-09-2025,Goa,North Goa,403508,0,5
10-09-2025,Goa,North Goa,403512,0,2
10-09-2025,Goa,North Goa,403516,0,6
10-09-2025,Goa,North Goa,403524,0,3
10-09-2025,Goa,North Goa,403527,0,3
10-09-2025,Goa,South Goa,403601,3,26
10-09-2025,Goa,South Goa,403602,0,6
10-09-2025,Goa,South Goa,403701,0,2
10-09-2025,Goa,South Goa,403710,0,8
10-09-2025,Goa,South Goa,403724,0,1
10-09-2025,Goa,South Goa,403801,0,6
12-09-2025,Goa,Bardez,403101,0,1
12-09-2025,Goa,North Goa,403002,0,8
12-09-2025,Goa,North Goa,403202,0,2
12-09-2025,Goa,North Goa,403206,0,1
12-09-2025,Goa,North Goa,403401,4,30
12-09-2025,Goa,North Goa,403406,0,2
12-09-2025,Goa,North Goa,403501,2,1
12-09-2025,Goa,North Goa,403502,0,4
12-09-2025,Goa,North Goa,403505,2,15
12-09-2025,Goa,North Goa,403511,0,4
12-09-2025,Goa,North Goa,403513,2,7
12-09-2025,Goa,South Goa,403410,2,3
12-09-2025,Goa,South Goa,403708,0,1
12-09-2025,Goa,South Goa,403716,0,5
12-09-2025,Goa,South Goa,403720,0,1
12-09-2025,Goa,South Goa,403722,0,4
12-09-2025,Goa,South Goa,403723,1,1
12-09-2025,Goa,South Goa,403806,0,3
11-09-2025,Goa,North Goa,403004,1,2
11-09-2025,Goa,North Goa,403101,0,6
11-09-2025,Goa,North Goa,403202,0,1
11-09-2025,Goa,North Goa,403204,0,1
11-09-2025,Goa,North Goa,403506,1,12
11-09-2025,Goa,North Goa,403507,1,11
11-09-2025,Goa,North Goa,403508,0,3
11-09-2025,Goa,North Goa,403510,1,5
11-09-2025,Goa,North Goa,403512,1,11
11-09-2025,Goa,North Goa,403524,0,3
11-09-2025,Goa,South Goa,403406,0,9
11-09-2025,Goa,South Goa,403601,0,20
11-09-2025,Goa,South Goa,403703,2,5
11-09-2025,Goa,South Goa,403704,0,5
11-09-2025,Goa,South Goa,403707,1,10
11-09-2025,Goa,South Goa,403711,0,4
11-09-2025,Goa,South Goa,403713,0,2
11-09-2025,Goa,South Goa,403720,0,6
11-09-2025,Goa,South Goa,403722,0,6
14-09-2025,Goa,North Goa,403107,2,0
