date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Haryana,Yamuna Nagar,135021,14,180
01-03-2025,Haryana,Sonipat,131408,10,122
01-03-2025,Haryana,Panchkula,134114,13,110
01-03-2025,Haryana,Mahendragarh,123001,116,1227
01-03-2025,Haryana,Bhiwani,127031,28,169
01-03-2025,Haryana,Karnal,132040,23,120
01-03-2025,Haryana,Rewari,123102,25,132
01-03-2025,Haryana,Kaithal,136044,33,171
01-03-2025,Haryana,Kurukshetra,136119,50,427
01-03-2025,Haryana,Ambala,133005,18,151
01-03-2025,Haryana,Panchkula,133302,72,360
01-03-2025,Haryana,Faridabad,121003,258,2046
01-03-2025,Haryana,Kaithal,136026,34,190
01-03-2025,Haryana,Mahendragarh,123029,56,680
01-03-2025,Haryana,Panipat,132104,39,312
01-03-2025,Haryana,Rohtak,124111,26,135
01-03-2025,Haryana,Hisar,125005,17,153
01-03-2025,Haryana,Sonipat,131301,79,819
01-03-2025,Haryana,Fatehabad,125053,28,352
01-03-2025,Haryana,Charkhi Dadri,127022,21,144
01-03-2025,Haryana,Hisar,125112,12,219
01-03-2025,Haryana,Kaithal,136117,55,617
01-03-2025,Haryana,Jhajjar,124507,325,2321
01-03-2025,Haryana,Bhiwani,127043,21,159
01-03-2025,Haryana,Bhiwani,127310,11,119
01-03-2025,Haryana,Gurgaon,122503,48,392
01-03-2025,Haryana,Mewat,122108,128,881
01-03-2025,Haryana,Bhiwani,127306,24,223
01-03-2025,Haryana,Rohtak,124021,13,70
01-03-2025,Haryana,Faridabad,121001,381,3209
01-03-2025,Haryana,Mahendragarh,123024,26,312
01-03-2025,Haryana,Panipat,132140,29,135
01-03-2025,Haryana,Kaithal,136027,298,2341
01-03-2025,Haryana,Bhiwani,127030,18,165
01-03-2025,Haryana,Gurgaon,122001,615,4898
01-03-2025,Haryana,Hisar,125038,18,183
01-03-2025,Haryana,Panchkula,134108,20,69
01-03-2025,Haryana,Mahendragarh,123021,63,575
01-03-2025,Haryana,Bhiwani,127029,14,127
01-03-2025,Haryana,Bhiwani,127201,37,469
01-04-2025,Haryana,Sonipat,131021,51,304
01-04-2025,Haryana,Sonipat,131001,568,2792
01-04-2025,Haryana,Hisar,125121,112,846
01-04-2025,Haryana,Sonipat,131101,124,659
01-04-2025,Haryana,Ambala,134203,91,558
01-04-2025,Haryana,Hisar,125039,74,575
01-04-2025,Haryana,Kaithal,136035,52,274
01-04-2025,Haryana,Gurgaon,122103,172,1050
01-04-2025,Haryana,Bhiwani,127046,62,260
01-04-2025,Haryana,Yamuna Nagar,135003,194,967
01-04-2025,Haryana,Kaithal,136021,36,128
01-04-2025,Haryana,Karnal,132114,111,668
01-04-2025,Haryana,Kaithal,136034,70,566
01-04-2025,Haryana,Sonipat,131408,15,127
01-04-2025,Haryana,Panchkula,134116,161,582
01-04-2025,Haryana,Bhiwani,127201,41,339
01-04-2025,Haryana,Sonipat,131301,111,800
01-04-2025,Haryana,Kurukshetra,136135,124,819
01-04-2025,Haryana,Bhiwani,127309,31,164
01-04-2025,Haryana,Hisar,125052,88,589
01-04-2025,Haryana,Kaithal,136027,378,2094
01-04-2025,Haryana,Rewari,123401,393,1964
01-05-2025,Haryana,Bhiwani,127309,28,164
01-05-2025,Haryana,Panipat,132103,857,5224
01-05-2025,Haryana,Jind,126101,55,424
01-05-2025,Haryana,Fatehabad,125050,164,1008
01-05-2025,Haryana,Panchkula,134116,101,410
01-05-2025,Haryana,Ambala,134003,219,1214
01-05-2025,Haryana,Hisar,125039,65,690
01-05-2025,Haryana,Yamuna Nagar,135102,77,433
01-05-2025,Haryana,Sirsa,125055,211,2001
01-05-2025,Haryana,Hisar,125121,66,728
01-05-2025,Haryana,Karnal,132001,573,2970
01-05-2025,Haryana,Palwal,121105,76,625
01-05-2025,Haryana,Yamuna Nagar,135103,50,458
01-05-2025,Haryana,Sonipat,131302,18,175
01-05-2025,Haryana,Hisar,125033,149,1170
01-05-2025,Haryana,Sirsa,125104,81,696
01-05-2025,Haryana,Panipat,132107,27,202
01-05-2025,Haryana,Panchkula,134102,143,690
01-05-2025,Haryana,Rohtak,124501,30,257
01-05-2025,Haryana,Faridabad,121005,304,1763
01-05-2025,Haryana,Fatehabad,125111,66,432
01-05-2025,Haryana,Karnal,132116,65,323
01-05-2025,Haryana,Sirsa,125201,69,473
01-05-2025,Haryana,Mahendragarh,123029,66,590
01-05-2025,Haryana,Sonipat,131023,32,298
01-05-2025,Haryana,Rohtak,124112,41,199
01-06-2025,Haryana,Hisar,125052,54,660
01-06-2025,Haryana,Mewat,122508,161,1872
01-06-2025,Haryana,Gurgaon,122505,116,890
01-06-2025,Haryana,Sonipat,131301,110,786
01-06-2025,Haryana,Palwal,121102,354,2716
01-06-2025,Haryana,Sirsa,125104,54,685
01-06-2025,Haryana,Gurgaon,122002,60,808
01-06-2025,Haryana,Rewari,123401,338,2155
01-06-2025,Haryana,Jind,126101,45,434
01-06-2025,Haryana,Palwal,121103,99,1122
01-06-2025,Haryana,Faridabad,121001,315,2816
01-06-2025,Haryana,Faridabad,121002,276,1822
01-06-2025,Haryana,Kaithal,136027,202,1973
01-06-2025,Haryana,Jind,126115,58,617
01-06-2025,Haryana,Palwal,121105,66,681
01-06-2025,Haryana,Jhajjar,124103,54,718
01-06-2025,Haryana,Faridabad,121010,27,284
01-06-2025,Haryana,Karnal,132116,56,277
01-06-2025,Haryana,Yamuna Nagar,135133,44,301
01-06-2025,Haryana,Jind,126102,214,1373
01-07-2025,Haryana,Yamuna Nagar,133204,20,199
01-07-2025,Haryana,Panchkula,134112,50,302
01-07-2025,Haryana,Rewari,123101,56,358
01-07-2025,Haryana,Sonipat,131302,17,166
01-07-2025,Haryana,Rohtak,124113,19,112
01-07-2025,Haryana,Kurukshetra,136135,129,729
01-07-2025,Haryana,Karnal,132024,27,230
01-07-2025,Haryana,Rohtak,124112,61,282
01-07-2025,Haryana,Hisar,125039,64,590
01-07-2025,Haryana,Panchkula,133302,95,347
01-07-2025,Haryana,Panipat,132103,1013,5451
01-07-2025,Haryana,Gurgaon,122505,148,1092
01-07-2025,Haryana,Yamuna Nagar,135003,162,1055
01-07-2025,Haryana,Palwal,121102,445,2854
01-07-2025,Haryana,Palwal,121103,240,1943
01-07-2025,Haryana,Jind,126152,24,266
01-03-2025,Haryana,Rohtak,124401,29,163
01-03-2025,Haryana,Fatehabad,125050,188,1207
01-03-2025,Haryana,Sonipat,131103,33,230
01-03-2025,Haryana,Rewari,123301,26,113
01-03-2025,Haryana,Sonipat,131302,19,214
01-03-2025,Haryana,Jhajjar,124142,13,136
01-03-2025,Haryana,Panchkula,134109,86,641
01-03-2025,Haryana,Kurukshetra,136132,34,571
01-03-2025,Haryana,Yamuna Nagar,135106,17,128
01-03-2025,Haryana,Faridabad,121101,70,517
01-03-2025,Haryana,Ambala,133004,31,211
01-09-2025,Haryana,Faridabad,121007,0,9
01-09-2025,Haryana,Faridabad,121009,0,9
01-09-2025,Haryana,Faridabad,121013,0,5
01-09-2025,Haryana,Fatehabad,125048,0,2
01-09-2025,Haryana,Fatehabad,125106,0,3
01-09-2025,Haryana,Gurgaon,122010,0,3
01-09-2025,Haryana,Gurgaon,122107,0,1
01-09-2025,Haryana,Hisar,125001,6,104
01-09-2025,Haryana,Hisar,125037,0,3
01-09-2025,Haryana,Hisar,125038,0,7
01-09-2025,Haryana,Hisar,125121,0,9
01-09-2025,Haryana,Jhajjar,124103,3,26
