date,state,district,pincode,demo_age_5_17,demo_age_17_
16-11-2025,Himachal Pradesh,Bilaspur,174029,0,1
16-11-2025,Himachal Pradesh,Chamba,176319,1,0
16-11-2025,Himachal Pradesh,Chamba,176320,0,2
16-11-2025,Himachal Pradesh,Hamirpur,177048,0,1
16-11-2025,Himachal Pradesh,Kangra,176038,0,1
16-11-2025,Himachal Pradesh,Kangra,176053,1,0
16-11-2025,Himachal Pradesh,Kangra,176087,0,1
16-11-2025,Himachal Pradesh,Kangra,176098,0,1
16-11-2025,Himachal Pradesh,Kangra,176403,0,2
16-11-2025,Himachal Pradesh,Kangra,177103,1,0
16-11-2025,Himachal Pradesh,Kullu,175101,2,2
16-11-2025,Himachal Pradesh,Kullu,175141,2,0
16-11-2025,Himachal Pradesh,Mandi,175018,0,1
16-11-2025,Himachal Pradesh,Mandi,175032,0,1
16-11-2025,Himachal Pradesh,Mandi,175033,0,1
16-11-2025,Himachal Pradesh,Mandi,175121,1,2
16-11-2025,Himachal Pradesh,Shimla,171220,1,0
16-11-2025,Himachal Pradesh,Shimla,172030,0,1
16-11-2025,Himachal Pradesh,Sirmaur,173022,0,2
16-11-2025,Himachal Pradesh,Sirmaur,173029,0,1
16-11-2025,Himachal Pradesh,Solan,173234,1,0
16-11-2025,Himachal Pradesh,Solan,174103,2,2
16-11-2025,Himachal Pradesh,Una,174319,0,1
15-11-2025,Himachal Pradesh,Hamirpur,177401,0,2
15-11-2025,Himachal Pradesh,Kinnaur,172115,1,1
15-11-2025,Himachal Pradesh,Mandi,175012,0,1
15-11-2025,Himachal Pradesh,Solan,173223,0,1
17-11-2025,Himachal Pradesh,Chamba,176318,1,2
17-11-2025,Himachal Pradesh,Kangra,176037,0,2
17-11-2025,Himachal Pradesh,Kangra,176071,1,0
17-11-2025,Himachal Pradesh,Lahul and Spiti,175140,1,0
19-11-2025,Himachal Pradesh,Kangra,176060,0,1
19-11-2025,Himachal Pradesh,Kullu,172201,0,1
19-11-2025,Himachal Pradesh,Kullu,175136,0,1
19-11-2025,Himachal Pradesh,Lahul & Spiti,175132,0,1
19-11-2025,Himachal Pradesh,Mandi,174403,0,1
