date,state,district,pincode,demo_age_5_17,demo_age_17_
05-09-2025,Jammu & Kashmir,Jammu,181205,1,0
06-09-2025,Jammu & Kashmir,Baramula,193101,0,1
06-09-2025,Jammu & Kashmir,Kathua,184101,0,1
08-09-2025,Jammu & Kashmir,Baramula,193101,0,1
09-09-2025,Jammu & Kashmir,Jammu,180001,0,2
09-09-2025,Jammu & Kashmir,Jammu,180002,0,2
09-09-2025,Jammu & Kashmir,Jammu,181124,0,1
09-09-2025,Jammu & Kashmir,Kargil,194302,0,1
10-09-2025,Jammu & Kashmir,Jammu,180002,0,1
10-09-2025,Jammu & Kashmir,Jammu,180007,0,1
11-09-2025,Jammu & Kashmir,Jammu,180002,0,1
15-09-2025,Jammu & Kashmir,Jammu,180001,0,1
15-09-2025,Jammu & Kashmir,Jammu,181121,0,1
16-09-2025,Jammu & Kashmir,Jammu,180001,0,2
18-09-2025,Jammu & Kashmir,Jammu,180002,0,1
18-09-2025,Jammu & Kashmir,Srinagar,190001,0,1
20-09-2025,Jammu & Kashmir,Srinagar,190001,0,1
15-10-2025,Jammu & Kashmir,Jammu,180002,0,1
16-10-2025,Jammu & Kashmir,Baramula,193101,0,1
16-10-2025,Jammu & Kashmir,Jammu,180001,0,2
16-10-2025,Jammu & Kashmir,Jammu,181124,0,1
06-11-2025,Jammu & Kashmir,Badgam,190015,0,1
05-11-2025,Jammu & Kashmir,Baramula,193101,0,2
12-11-2025,Jammu & Kashmir,Jammu,180002,0,1
12-11-2025,Jammu & Kashmir,Kathua,184141,0,1
15-11-2025,Jammu & Kashmir,Kathua,184148,0,1
17-11-2025,Jammu & Kashmir,Jammu,181102,0,1
19-11-2025,Jammu & Kashmir,Jammu,180005,0,1
03-12-2025,Jammu & Kashmir,Jammu,181102,0,1
05-12-2025,Jammu & Kashmir,Baramula,193122,1,0
08-12-2025,Jammu & Kashmir,Rajauri,185131,0,1
26-10-2025,Jammu & Kashmir,Jammu,181102,0,1
21-10-2025,Jammu & Kashmir,Leh (ladakh),194106,0,1
24-10-2025,Jammu & Kashmir,Punch,185121,0,1
27-10-2025,Jammu & Kashmir,Jammu,180010,0,1
29-10-2025,Jammu & Kashmir,Jammu,180007,0,1
30-10-2025,Jammu & Kashmir,Srinagar,190002,0,1
31-10-2025,Jammu & Kashmir,Baramula,193101,0,1
31-10-2025,Jammu & Kashmir,Baramula,193303,0,1
04-11-2025,Jammu & Kashmir,Jammu,180012,0,1
11-12-2025,Jammu & Kashmir,Jammu,180010,0,1
13-12-2025,Jammu & Kashmir,Srinagar,190010,0,1
19-12-2025,Jammu & Kashmir,Baramula,193101,0,2
20-12-2025,Jammu & Kashmir,Baramula,193101,1,2
22-12-2025,Jammu & Kashmir,Jammu,180007,0,1
17-12-2025,Jammu & Kashmir,Jammu,180003,0,1
17-12-2025,Jammu & Kashmir,Kathua,184102,0,1
10-12-2025,Jammu & Kashmir,Punch,185101,0,1
18-12-2025,Jammu & Kashmir,Jammu,181102,0,1
08-12-2025,Jammu & Kashmir,Jammu,180002,0,1
08-12-2025,Jammu & Kashmir,Jammu,181205,0,1
06-12-2025,Jammu & Kashmir,Jammu,181102,0,2
06-12-2025,Jammu & Kashmir,Rajauri,185155,0,1
