date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Jammu and Kashmir,Leh,194101,25,142
01-03-2025,Jammu and Kashmir,Kathua,184144,20,408
01-03-2025,Jammu and Kashmir,Jammu,181111,11,199
01-03-2025,Jammu and Kashmir,Ramban,182144,164,488
01-03-2025,Jammu and Kashmir,Badgam,193411,116,794
01-03-2025,Jammu and Kashmir,Jammu,180011,13,136
01-03-2025,Jammu and Kashmir,Kathua,184101,13,497
01-03-2025,Jammu and Kashmir,Baramula,193101,109,893
01-03-2025,Jammu and Kashmir,Punch,185102,67,581
01-03-2025,Jammu and Kashmir,Jammu,181101,15,356
01-03-2025,Jammu and Kashmir,Budgam,192121,16,52
01-03-2025,Jammu and Kashmir,Udhampur,182126,32,241
01-03-2025,Jammu and Kashmir,Kupwara,193302,72,434
01-03-2025,Jammu and Kashmir,Baramula,193303,29,153
01-03-2025,Jammu and Kashmir,Srinagar,190019,11,106
01-03-2025,Jammu and Kashmir,Rajouri,185155,16,91
01-03-2025,Jammu and Kashmir,Jammu,181121,10,106
01-03-2025,Jammu and Kashmir,Bandipore,193501,85,624
01-03-2025,Jammu and Kashmir,Pulwama,192305,24,55
01-03-2025,Jammu and Kashmir,Srinagar,190002,59,721
01-03-2025,Jammu and Kashmir,Budgam,193411,335,527
01-03-2025,Jammu and Kashmir,Samba,184141,10,107
01-03-2025,Jammu and Kashmir,Srinagar,190018,45,283
01-03-2025,Jammu and Kashmir,Kargil,194102,10,19
01-03-2025,Jammu and Kashmir,Rajouri,185152,45,187
01-03-2025,Jammu and Kashmir,Doda,182143,21,160
01-03-2025,Jammu and Kashmir,Udhampur,182121,47,365
01-04-2025,Jammu and Kashmir,Baramula,193402,67,283
01-04-2025,Jammu and Kashmir,Kishtwar,182205,102,358
01-04-2025,Jammu and Kashmir,Rajouri,185131,103,495
01-04-2025,Jammu and Kashmir,Rajouri,185132,130,590
01-04-2025,Jammu and Kashmir,Kathua,184203,53,465
01-04-2025,Jammu and Kashmir,Bandipore,193503,27,215
01-04-2025,Jammu and Kashmir,Srinagar,190001,42,366
01-04-2025,Jammu and Kashmir,Bandipore,193501,94,879
01-04-2025,Jammu and Kashmir,Kupwara,193222,597,2364
01-04-2025,Jammu and Kashmir,Doda,182201,45,294
01-04-2025,Jammu and Kashmir,Ramban,182145,65,390
01-03-2025,Jammu and Kashmir,Kathua,184203,51,580
01-03-2025,Jammu and Kashmir,Pulwama,192122,40,292
01-03-2025,Jammu and Kashmir,Punch,185121,299,1292
01-03-2025,Jammu and Kashmir,Kargil,194301,25,87
01-03-2025,Jammu and Kashmir,Doda,182201,50,385
01-03-2025,Jammu and Kashmir,Kupwara,193225,45,266
01-03-2025,Jammu and Kashmir,Kargil,194103,42,159
01-04-2025,Jammu and Kashmir,Srinagar,190011,27,303
01-04-2025,Jammu and Kashmir,Ramban,182146,105,420
01-04-2025,Jammu and Kashmir,Srinagar,190008,25,147
