date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Jharkhand,Ramgarh,829110,82,2488
01-03-2025,Jharkhand,Dumka,814146,44,1371
01-03-2025,Jharkhand,Koderma,825407,14,932
01-03-2025,Jharkhand,Hazaribag,825312,22,1717
01-03-2025,Jharkhand,Seraikela-Kharsawan,832401,47,719
01-03-2025,Jharkhand,West Singhbhum,833104,77,1938
01-03-2025,Jharkhand,Bokaro,829111,35,1198
01-03-2025,Jharkhand,Ranchi,834008,43,470
01-03-2025,Jharkhand,East Singhbhum,831009,34,323
01-03-2025,Jharkhand,Dhanbad,828104,37,750
01-03-2025,Jharkhand,Dumka,814103,64,1009
01-03-2025,Jharkhand,Bokaro,825102,14,596
01-03-2025,Jharkhand,Bokaro,828134,73,5398
01-03-2025,Jharkhand,Ranchi,835204,78,1934
01-03-2025,Jharkhand,Giridih,825106,48,1638
01-03-2025,Jharkhand,Simdega,835226,44,758
01-03-2025,Jharkhand,Hazaribagh,825402,66,1031
01-03-2025,Jharkhand,Giridih,825324,120,2716
01-03-2025,Jharkhand,Khunti,835216,46,1113
01-03-2025,Jharkhand,Dumka,814110,30,774
01-03-2025,Jharkhand,Lohardaga,835214,10,262
01-03-2025,Jharkhand,Giridih,815312,268,5560
01-03-2025,Jharkhand,Giridih,815301,73,3130
01-03-2025,Jharkhand,Hazaribagh,825303,18,199
01-03-2025,Jharkhand,Palamu,822101,51,906
01-03-2025,Jharkhand,Godda,814147,57,1570
01-03-2025,Jharkhand,Simdega,835235,18,364
01-03-2025,Jharkhand,Ranchi,834009,62,797
01-03-2025,Jharkhand,Deoghar,814112,58,1404
01-03-2025,Jharkhand,Hazaribagh,825301,130,2641
01-03-2025,Jharkhand,Dhanbad,828402,49,1769
01-03-2025,Jharkhand,Deoghar,814114,20,674
01-03-2025,Jharkhand,Dumka,814101,86,1650
01-03-2025,Jharkhand,Koderma,825318,72,1937
01-03-2025,Jharkhand,Khunti,835225,18,312
01-03-2025,Jharkhand,Dhanbad,828307,19,468
01-03-2025,Jharkhand,Sahebganj,816109,152,3584
01-03-2025,Jharkhand,Pakur,816106,110,4030
01-03-2025,Jharkhand,Sahebganj,816102,103,2216
01-03-2025,Jharkhand,Dhanbad,828103,11,308
01-03-2025,Jharkhand,Koderma,825109,35,1315
01-03-2025,Jharkhand,Ranchi,834006,68,946
01-03-2025,Jharkhand,Dhanbad,828101,29,869
01-03-2025,Jharkhand,Dhanbad,828113,91,2678
01-03-2025,Jharkhand,Latehar,829207,60,1203
01-03-2025,Jharkhand,Pakur,816117,24,759
01-03-2025,Jharkhand,Palamu,822117,20,219
01-03-2025,Jharkhand,Palamu,822115,122,2524
01-03-2025,Jharkhand,West Singhbhum,833106,14,418
01-03-2025,Jharkhand,Jamtara,814166,15,849
01-03-2025,Jharkhand,Pakur,816104,92,2084
01-03-2025,Jharkhand,Dhanbad,828116,42,1826
01-03-2025,Jharkhand,Bokaro,825315,18,722
01-03-2025,Jharkhand,East Singhbhum,831016,21,113
01-03-2025,Jharkhand,Hazaribagh,825317,17,121
01-03-2025,Jharkhand,Ranchi,835222,85,777
01-03-2025,Jharkhand,Bokaro,829127,14,553
01-03-2025,Jharkhand,Gumla,835220,18,310
01-03-2025,Jharkhand,Hazaribagh,825312,74,1100
01-03-2025,Jharkhand,Palamu,822118,176,3646
01-03-2025,Jharkhand,Seraikela-Kharsawan,831002,47,1970
01-03-2025,Jharkhand,Ranchi,834001,182,2289
01-03-2025,Jharkhand,East Singhbhum,832303,50,1863
01-03-2025,Jharkhand,Giridih,825412,213,5801
01-09-2025,Jharkhand,Bokaro,825102,0,15
01-09-2025,Jharkhand,Bokaro,827013,14,150
01-09-2025,Jharkhand,Bokaro,828302,0,1
01-09-2025,Jharkhand,Bokaro,829111,2,16
01-09-2025,Jharkhand,Bokaro,829112,1,17
01-09-2025,Jharkhand,Chatra,825103,5,94
01-09-2025,Jharkhand,Chatra,825401,16,198
01-09-2025,Jharkhand,Chatra,825404,7,91
01-09-2025,Jharkhand,Chatra,825408,19,145
01-09-2025,Jharkhand,Deoghar,814142,4,26
01-09-2025,Jharkhand,Deoghar,814146,3,76
01-09-2025,Jharkhand,Deoghar,814149,3,55
