date,state,district,pincode,demo_age_5_17,demo_age_17_
01-09-2025,Lakshadweep,Lakshadweep,682558,0,2
04-09-2025,Lakshadweep,Lakshadweep,682552,0,1
03-09-2025,Lakshadweep,Lakshadweep,682555,0,1
03-09-2025,Lakshadweep,Lakshadweep,682558,0,2
03-09-2025,Lakshadweep,Lakshadweep,682559,0,1
08-09-2025,Lakshadweep,Lakshadweep,682554,0,2
10-09-2025,Lakshadweep,Lakshadweep,682555,1,2
10-09-2025,Lakshadweep,Lakshadweep,682559,0,3
12-09-2025,Lakshadweep,Lakshadweep,682559,0,1
13-09-2025,Lakshadweep,Lakshadweep,682555,0,1
15-09-2025,Lakshadweep,Lakshadweep,682555,0,2
15-09-2025,Lakshadweep,Lakshadweep,682558,0,1
16-09-2025,Lakshadweep,Lakshadweep,682555,0,2
18-09-2025,Lakshadweep,Lakshadweep,682552,0,1
18-09-2025,Lakshadweep,Lakshadweep,682557,0,1
13-10-2025,Lakshadweep,Lakshadweep,682552,0,2
20-09-2025,Lakshadweep,Lakshadweep,682552,0,3
20-09-2025,Lakshadweep,Lakshadweep,682553,0,1
16-10-2025,Lakshadweep,Lakshadweep,682551,1,1
16-10-2025,Lakshadweep,Lakshadweep,682556,0,3
19-10-2025,Lakshadweep,Lakshadweep,682551,0,1
20-10-2025,Lakshadweep,Lakshadweep,682556,1,0
20-10-2025,Lakshadweep,Lakshadweep,682557,0,1
21-10-2025,Lakshadweep,Lakshadweep,682553,1,1
28-10-2025,Lakshadweep,Lakshadweep,682556,0,1
18-10-2025,Lakshadweep,Lakshadweep,682558,0,1
17-10-2025,Lakshadweep,Lakshadweep,682558,0,1
23-10-2025,Lakshadweep,Lakshadweep,682553,0,1
24-10-2025,Lakshadweep,Lakshadweep,682553,0,7
24-10-2025,Lakshadweep,Lakshadweep,682555,1,3
24-10-2025,Lakshadweep,Lakshadweep,682558,0,1
24-10-2025,Lakshadweep,Lakshadweep,682559,0,6
25-10-2025,Lakshadweep,Lakshadweep,682557,0,2
31-10-2025,Lakshadweep,Lakshadweep,682558,0,3
31-10-2025,Lakshadweep,Lakshadweep,682559,0,2
15-11-2025,Lakshadweep,Lakshadweep,682552,1,1
17-11-2025,Lakshadweep,Lakshadweep,682554,1,0
16-11-2025,Lakshadweep,Lakshadweep,682557,0,1
18-11-2025,Lakshadweep,Lakshadweep,682556,1,1
03-12-2025,Lakshadweep,Lakshadweep,682555,1,4
06-12-2025,Lakshadweep,Lakshadweep,682553,0,9
05-11-2025,Lakshadweep,Lakshadweep,682553,0,4
05-11-2025,Lakshadweep,Lakshadweep,682556,0,2
06-11-2025,Lakshadweep,Lakshadweep,682553,0,4
06-11-2025,Lakshadweep,Lakshadweep,682554,0,1
06-11-2025,Lakshadweep,Lakshadweep,682557,0,2
06-11-2025,Lakshadweep,Lakshadweep,682558,0,1
07-11-2025,Lakshadweep,Lakshadweep,682557,0,1
08-11-2025,Lakshadweep,Lakshadweep,682559,1,4
06-12-2025,Lakshadweep,Lakshadweep,682559,0,1
04-11-2025,Lakshadweep,Lakshadweep,682557,0,2
10-11-2025,Lakshadweep,Lakshadweep,682555,2,0
11-11-2025,Lakshadweep,Lakshadweep,682553,0,1
11-11-2025,Lakshadweep,Lakshadweep,682555,0,2
14-11-2025,Lakshadweep,Lakshadweep,682557,0,3
15-11-2025,Lakshadweep,Lakshadweep,682557,1,0
15-11-2025,Lakshadweep,Lakshadweep,682559,0,3
27-12-2025,Lakshadweep,Lakshadweep,682559,0,1
29-12-2025,Lakshadweep,Lakshadweep,682551,1,4
29-12-2025,Lakshadweep,Lakshadweep,682558,1,2
01-01-2026,Lakshadweep,Lakshadweep,682554,1,1
31-12-2025,Lakshadweep,Lakshadweep,682556,0,1
31-12-2025,Lakshadweep,Lakshadweep,682557,0,1
02-01-2026,Lakshadweep,Lakshadweep,682551,1,2
02-01-2026,Lakshadweep,Lakshadweep,682558,0,2
25-11-2025,Lakshadweep,Lakshadweep,682553,0,1
19-12-2025,Lakshadweep,Lakshadweep,682553,0,2
08-12-2025,Lakshadweep,Lakshadweep,682553,0,2
08-12-2025,Lakshadweep,Lakshadweep,682554,1,0
20-12-2025,Lakshadweep,Lakshadweep,682558,0,3
25-12-2025,Lakshadweep,Lakshadweep,682551,0,3
24-12-2025,Lakshadweep,Lakshadweep,682552,0,1
18-12-2025,Lakshadweep,Lakshadweep,682551,0,3
20-12-2025,Lakshadweep,Lakshadweep,682559,0,1
15-12-2025,Lakshadweep,Lakshadweep,682553,0,1
15-12-2025,Lakshadweep,Lakshadweep,682555,2,1
16-12-2025,Lakshadweep,Lakshadweep,682556,0,2
16-12-2025,Lakshadweep,Lakshadweep,682558,0,2
17-12-2025,Lakshadweep,Lakshadweep,682556,0,1
08-12-2025,Lakshadweep,Lakshadweep,682552,0,1
08-12-2025,Lakshadweep,Lakshadweep,682558,0,4
09-12-2025,Lakshadweep,Lakshadweep,682555,0,6
09-12-2025,Lakshadweep,Lakshadweep,682559,0,1
10-12-2025,Lakshadweep,Lakshadweep,682555,0,4
12-12-2025,Lakshadweep,Lakshadweep,682552,0,3
12-12-2025,Lakshadweep,Lakshadweep,682556,0,1
04-12-2025,Lakshadweep,Lakshadweep,682551,0,1
05-12-2025,Lakshadweep,Lakshadweep,682555,3,0
19-11-2025,Lakshadweep,Lakshadweep,682556,1,0
19-11-2025,Lakshadweep,Lakshadweep,682557,0,2
03-11-2025,Lakshadweep,Lakshadweep,682557,0,2
31-10-2025,Lakshadweep,Lakshadweep,682554,1,2
23-11-2025,Lakshadweep,Lakshadweep,682551,1,1
17-11-2025,Lakshadweep,Lakshadweep,682551,0,6
17-11-2025,Lakshadweep,Lakshadweep,682553,0,2
21-11-2025,Lakshadweep,Lakshadweep,682554,0,1
20-11-2025,Lakshadweep,Lakshadweep,682554,0,1
20-11-2025,Lakshadweep,Lakshadweep,682556,0,1
01-11-2025,Lakshadweep,Lakshadweep,682551,0,3
01-11-2025,Lakshadweep,Lakshadweep,682559,0,3
24-11-2025,Lakshadweep,Lakshadweep,682552,0,1
02-12-2025,Lakshadweep,Lakshadweep,682553,0,2
27-11-2025,Lakshadweep,Lakshadweep,682553,1,1
27-11-2025,Lakshadweep,Lakshadweep,682555,1,2
27-11-2025,Lakshadweep,Lakshadweep,682559,0,3
28-11-2025,Lakshadweep,Lakshadweep,682551,0,4
29-11-2025,Lakshadweep,Lakshadweep,682554,0,1
29-11-2025,Lakshadweep,Lakshadweep,682559,0,1
30-11-2025,Lakshadweep,Lakshadweep,682552,0,1
17-10-2025,Lakshadweep,Lakshadweep,682552,0,2
17-10-2025,Lakshadweep,Lakshadweep,682557,0,1
18-10-2025,Lakshadweep,Lakshadweep,682555,1,0
18-10-2025,Lakshadweep,Lakshadweep,682556,0,1
19-10-2025,Lakshadweep,Lakshadweep,682559,2,0
28-10-2025,Lakshadweep,Lakshadweep,682552,0,1
28-10-2025,Lakshadweep,Lakshadweep,682558,0,1
27-10-2025,Lakshadweep,Lakshadweep,682559,0,2
26-10-2025,Lakshadweep,Lakshadweep,682551,1,2
26-10-2025,Lakshadweep,Lakshadweep,682552,0,1
26-10-2025,Lakshadweep,Lakshadweep,682553,0,1
26-10-2025,Lakshadweep,Lakshadweep,682555,0,6
26-10-2025,Lakshadweep,Lakshadweep,682556,0,2
23-10-2025,Lakshadweep,Lakshadweep,682555,0,1
24-10-2025,Lakshadweep,Lakshadweep,682551,1,1
24-10-2025,Lakshadweep,Lakshadweep,682552,0,1
24-10-2025,Lakshadweep,Lakshadweep,682557,0,1
03-11-2025,Lakshadweep,Lakshadweep,682552,1,0
12-11-2025,Lakshadweep,Lakshadweep,682556,1,2
16-11-2025,Lakshadweep,Lakshadweep,682553,1,6
16-11-2025,Lakshadweep,Lakshadweep,682558,0,2
02-12-2025,Lakshadweep,Lakshadweep,682558,0,2
02-09-2025,Lakshadweep,Lakshadweep,682555,0,4
02-09-2025,Lakshadweep,Lakshadweep,682559,0,1
04-09-2025,Lakshadweep,Lakshadweep,682557,0,1
04-09-2025,Lakshadweep,Lakshadweep,682558,0,1
03-09-2025,Lakshadweep,Lakshadweep,682551,0,1
03-09-2025,Lakshadweep,Lakshadweep,682557,0,2
06-09-2025,Lakshadweep,Lakshadweep,682556,2,0
08-09-2025,Lakshadweep,Lakshadweep,682556,2,1
08-09-2025,Lakshadweep,Lakshadweep,682557,0,1
09-09-2025,Lakshadweep,Lakshadweep,682558,0,2
10-09-2025,Lakshadweep,Lakshadweep,682551,1,3
12-09-2025,Lakshadweep,Lakshadweep,682558,0,1
11-09-2025,Lakshadweep,Lakshadweep,682551,0,3
11-09-2025,Lakshadweep,Lakshadweep,682553,0,4
11-09-2025,Lakshadweep,Lakshadweep,682558,0,1
13-09-2025,Lakshadweep,Lakshadweep,682557,1,2
15-09-2025,Lakshadweep,Lakshadweep,682552,0,2
15-09-2025,Lakshadweep,Lakshadweep,682553,1,1
16-09-2025,Lakshadweep,Lakshadweep,682552,0,1
17-09-2025,Lakshadweep,Lakshadweep,682554,0,1
18-09-2025,Lakshadweep,Lakshadweep,682555,2,0
18-09-2025,Lakshadweep,Lakshadweep,682559,0,1
20-09-2025,Lakshadweep,Lakshadweep,682551,0,3
20-09-2025,Lakshadweep,Lakshadweep,682557,0,1
19-09-2025,Lakshadweep,Lakshadweep,682553,0,5
13-10-2025,Lakshadweep,Lakshadweep,682559,0,1
16-10-2025,Lakshadweep,Lakshadweep,682553,1,7
16-10-2025,Lakshadweep,Lakshadweep,682557,0,3
15-10-2025,Lakshadweep,Lakshadweep,682553,0,3
15-10-2025,Lakshadweep,Lakshadweep,682554,0,1
15-10-2025,Lakshadweep,Lakshadweep,682556,2,1
12-12-2025,Lakshadweep,Lakshadweep,682555,0,1
12-12-2025,Lakshadweep,Lakshadweep,682557,0,1
12-12-2025,Lakshadweep,Lakshadweep,682558,1,4
11-12-2025,Lakshadweep,Lakshadweep,682555,0,1
11-12-2025,Lakshadweep,Lakshadweep,682557,0,2
11-12-2025,Lakshadweep,Lakshadweep,682559,0,2
03-12-2025,Lakshadweep,Lakshadweep,682556,0,1
03-12-2025,Lakshadweep,Lakshadweep,682559,0,1
04-12-2025,Lakshadweep,Lakshadweep,682556,0,1
04-12-2025,Lakshadweep,Lakshadweep,682559,0,2
04-11-2025,Lakshadweep,Lakshadweep,682551,1,4
04-11-2025,Lakshadweep,Lakshadweep,682553,0,5
04-11-2025,Lakshadweep,Lakshadweep,682555,0,1
21-12-2025,Lakshadweep,Lakshadweep,682553,0,1
21-12-2025,Lakshadweep,Lakshadweep,682555,0,1
21-12-2025,Lakshadweep,Lakshadweep,682559,1,0
29-12-2025,Lakshadweep,Lakshadweep,682557,1,2
02-01-2026,Lakshadweep,Lakshadweep,682557,1,0
24-12-2025,Lakshadweep,Lakshadweep,682559,0,1
25-12-2025,Lakshadweep,Lakshadweep,682552,0,1
25-12-2025,Lakshadweep,Lakshadweep,682559,0,1
31-12-2025,Lakshadweep,Lakshadweep,682551,0,2
31-12-2025,Lakshadweep,Lakshadweep,682552,0,4
26-12-2025,Lakshadweep,Lakshadweep,682551,1,2
26-12-2025,Lakshadweep,Lakshadweep,682555,0,2
26-12-2025,Lakshadweep,Lakshadweep,682559,0,1
27-12-2025,Lakshadweep,Lakshadweep,682558,0,2
19-12-2025,Lakshadweep,Lakshadweep,682557,1,1
26-11-2025,Lakshadweep,Lakshadweep,682553,0,1
11-12-2025,Lakshadweep,Lakshadweep,682554,0,2
11-12-2025,Lakshadweep,Lakshadweep,682558,0,3
14-12-2025,Lakshadweep,Lakshadweep,682559,0,1
18-12-2025,Lakshadweep,Lakshadweep,682559,1,0
19-12-2025,Lakshadweep,Lakshadweep,682558,0,1
20-12-2025,Lakshadweep,Lakshadweep,682551,0,5
20-12-2025,Lakshadweep,Lakshadweep,682557,0,1
22-12-2025,Lakshadweep,Lakshadweep,682552,0,2
13-12-2025,Lakshadweep,Lakshadweep,682554,0,4
14-12-2025,Lakshadweep,Lakshadweep,682553,0,1
15-12-2025,Lakshadweep,Lakshadweep,682557,0,2
17-12-2025,Lakshadweep,Lakshadweep,682553,0,6
09-12-2025,Lakshadweep,Lakshadweep,682553,0,1
10-12-2025,Lakshadweep,Lakshadweep,682553,0,8
08-11-2025,Lakshadweep,Lakshadweep,682553,1,0
08-11-2025,Lakshadweep,Lakshadweep,682556,1,0
07-11-2025,Lakshadweep,Lakshadweep,682554,0,1
07-11-2025,Lakshadweep,Lakshadweep,682555,0,1
21-11-2025,Lakshadweep,Lakshadweep,682551,0,1
20-11-2025,Lakshadweep,Lakshadweep,682552,0,3
20-11-2025,Lakshadweep,Lakshadweep,682559,0,3
11-11-2025,Lakshadweep,Lakshadweep,682552,1,2
17-11-2025,Lakshadweep,Lakshadweep,682555,0,2
17-11-2025,Lakshadweep,Lakshadweep,682558,0,1
18-11-2025,Lakshadweep,Lakshadweep,682559,0,1
29-10-2025,Lakshadweep,Lakshadweep,682555,1,0
29-10-2025,Lakshadweep,Lakshadweep,682557,0,1
29-10-2025,Lakshadweep,Lakshadweep,682559,0,1
03-11-2025,Lakshadweep,Lakshadweep,682556,1,1
03-11-2025,Lakshadweep,Lakshadweep,682559,0,2
31-10-2025,Lakshadweep,Lakshadweep,682551,0,2
22-11-2025,Lakshadweep,Lakshadweep,682552,0,2
22-11-2025,Lakshadweep,Lakshadweep,682555,0,3
25-11-2025,Lakshadweep,Lakshadweep,682554,0,1
01-11-2025,Lakshadweep,Lakshadweep,682554,0,1
01-11-2025,Lakshadweep,Lakshadweep,682555,0,3
02-12-2025,Lakshadweep,Lakshadweep,682555,0,3
02-12-2025,Lakshadweep,Lakshadweep,682556,0,1
27-11-2025,Lakshadweep,Lakshadweep,682551,0,4
27-11-2025,Lakshadweep,Lakshadweep,682552,0,3
27-11-2025,Lakshadweep,Lakshadweep,682556,0,2
28-11-2025,Lakshadweep,Lakshadweep,682553,0,1
30-11-2025,Lakshadweep,Lakshadweep,682551,0,1
30-11-2025,Lakshadweep,Lakshadweep,682555,0,2
02-09-2025,Lakshadweep,Lakshadweep,682558,0,4
03-09-2025,Lakshadweep,Lakshadweep,682553,0,6
06-09-2025,Lakshadweep,Lakshadweep,682551,0,5
06-09-2025,Lakshadweep,Lakshadweep,682559,0,1
08-09-2025,Lakshadweep,Lakshadweep,682552,0,1
08-09-2025,Lakshadweep,Lakshadweep,682555,0,2
09-09-2025,Lakshadweep,Lakshadweep,682551,1,0
