date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Madhya Pradesh,Sagar,470125,30,396
01-03-2025,Madhya Pradesh,Shahdol,484774,172,2306
01-03-2025,Madhya Pradesh,Satna,485447,47,644
01-03-2025,Madhya Pradesh,Dewas,455118,62,795
01-03-2025,Madhya Pradesh,Betul,460443,58,244
01-03-2025,Madhya Pradesh,Mandsaur,458001,209,536
01-03-2025,Madhya Pradesh,Bhind,477111,67,796
01-03-2025,Madhya Pradesh,Guna,473111,33,350
01-03-2025,Madhya Pradesh,Satna,485446,99,1021
01-03-2025,Madhya Pradesh,Mauganj,486331,18,341
01-03-2025,Madhya Pradesh,Indore,453115,56,518
01-03-2025,Madhya Pradesh,Mandsaur,458775,155,789
01-03-2025,Madhya Pradesh,Mandsaur,458667,287,626
01-03-2025,Madhya Pradesh,Tikamgarh,472339,48,337
01-04-2025,Madhya Pradesh,Chhindwara,480115,277,630
01-04-2025,Madhya Pradesh,Raisen,464668,92,587
01-04-2025,Madhya Pradesh,Dhar,454552,193,784
01-04-2025,Madhya Pradesh,Bhopal,462003,83,624
01-04-2025,Madhya Pradesh,Barwani,451551,415,3230
01-04-2025,Madhya Pradesh,Mandla,481996,261,744
01-04-2025,Madhya Pradesh,Dindori,481880,212,1129
01-04-2025,Madhya Pradesh,Ujjain,456010,281,1354
01-04-2025,Madhya Pradesh,Chhindwara,480334,85,382
01-04-2025,Madhya Pradesh,Ujjain,456006,232,1370
01-04-2025,Madhya Pradesh,Satna,485441,61,313
01-04-2025,Madhya Pradesh,Mandla,481995,312,1126
01-04-2025,Madhya Pradesh,Indore,452010,302,2031
01-04-2025,Madhya Pradesh,Chhindwara,480001,484,1448
01-04-2025,Madhya Pradesh,Indore,452002,182,1208
01-04-2025,Madhya Pradesh,Jabalpur,482003,152,1382
01-04-2025,Madhya Pradesh,Raisen,462046,111,428
01-04-2025,Madhya Pradesh,Chhindwara,480559,124,554
01-04-2025,Madhya Pradesh,Damoh,470664,78,479
01-04-2025,Madhya Pradesh,Ratlam,457001,338,2462
01-04-2025,Madhya Pradesh,Mandsaur,458001,179,415
01-04-2025,Madhya Pradesh,Bhopal,462030,49,433
01-04-2025,Madhya Pradesh,Indore,453771,88,713
01-04-2025,Madhya Pradesh,Seoni,480661,454,1576
01-04-2025,Madhya Pradesh,Rewa,486445,89,666
01-04-2025,Madhya Pradesh,Morena,476001,525,2785
01-04-2025,Madhya Pradesh,Balaghat,481116,38,149
01-04-2025,Madhya Pradesh,Singrauli,486886,567,2265
01-04-2025,Madhya Pradesh,Balaghat,481449,225,635
01-04-2025,Madhya Pradesh,Damoh,470880,192,1461
01-04-2025,Madhya Pradesh,Balaghat,481111,63,342
01-04-2025,Madhya Pradesh,Mandla,481998,92,332
01-04-2025,Madhya Pradesh,Balaghat,481332,57,189
01-04-2025,Madhya Pradesh,Mandsaur,458990,102,338
01-05-2025,Madhya Pradesh,Sagar,470004,94,551
01-05-2025,Madhya Pradesh,Dhar,454111,85,768
01-05-2025,Madhya Pradesh,Morena,476221,272,1712
01-05-2025,Madhya Pradesh,Khargone,451001,182,953
01-05-2025,Madhya Pradesh,Indore,452015,125,701
01-05-2025,Madhya Pradesh,Hoshangabad,461111,88,294
01-05-2025,Madhya Pradesh,Sagar,470335,117,922
01-05-2025,Madhya Pradesh,Seoni,480999,76,521
01-05-2025,Madhya Pradesh,Sagar,470441,27,231
01-05-2025,Madhya Pradesh,Harda,461228,51,234
01-05-2025,Madhya Pradesh,Katni,483501,318,2243
01-05-2025,Madhya Pradesh,Indore,453331,79,618
01-05-2025,Madhya Pradesh,Narmadapuram,461001,41,202
01-05-2025,Madhya Pradesh,Chhindwara,480559,136,686
01-05-2025,Madhya Pradesh,Sagar,470002,157,1252
01-05-2025,Madhya Pradesh,Narsinghpur,487001,102,498
01-05-2025,Madhya Pradesh,Satna,485005,33,286
01-05-2025,Madhya Pradesh,Dhar,454665,31,354
01-05-2025,Madhya Pradesh,Mandla,481661,299,1353
01-05-2025,Madhya Pradesh,Rajgarh,465669,116,530
01-05-2025,Madhya Pradesh,Raisen,464881,147,583
01-05-2025,Madhya Pradesh,Jabalpur,483225,88,694
01-05-2025,Madhya Pradesh,Panna,488001,113,729
01-05-2025,Madhya Pradesh,Balaghat,481337,84,277
01-05-2025,Madhya Pradesh,Agar Malwa,465550,26,134
01-05-2025,Madhya Pradesh,Tikamgarh,472001,304,900
01-05-2025,Madhya Pradesh,Bhopal,462037,22,151
01-05-2025,Madhya Pradesh,Ratlam,457118,130,798
01-05-2025,Madhya Pradesh,Ratlam,457114,260,1210
01-05-2025,Madhya Pradesh,Chhatarpur,471525,296,901
01-05-2025,Madhya Pradesh,Balaghat,481226,144,555
01-05-2025,Madhya Pradesh,Chhindwara,480107,98,322
01-05-2025,Madhya Pradesh,Panna,488442,107,712
01-05-2025,Madhya Pradesh,Balaghat,481051,117,526
01-05-2025,Madhya Pradesh,Dindori,481879,129,556
01-05-2025,Madhya Pradesh,Barwani,451556,162,682
