date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Manipur,Tamenglong,795159,47,127
01-03-2025,Manipur,Senapati,795106,32,162
01-03-2025,Manipur,Senapati,795150,12,109
01-03-2025,Manipur,Imphal West,795002,29,141
01-03-2025,Manipur,Bishnupur,795134,79,1054
01-03-2025,Manipur,Imphal West,795130,15,214
01-03-2025,Manipur,Imphal West,795001,139,975
01-03-2025,Manipur,Thoubal,795149,79,426
01-03-2025,Manipur,Senapati,795129,32,172
01-03-2025,Manipur,Senapati,795118,20,227
01-03-2025,Manipur,Churachandpur,795128,393,1366
01-09-2025,Manipur,Bishnupur,795133,13,204
01-09-2025,Manipur,Chandel,795102,2,2
01-09-2025,Manipur,Churachandpur,795101,0,1
01-09-2025,Manipur,Churachandpur,795117,1,5
01-09-2025,Manipur,Churachandpur,795143,1,5
01-09-2025,Manipur,Imphal East,795005,9,47
01-09-2025,Manipur,Imphal East,795008,5,28
01-09-2025,Manipur,Imphal East,795114,3,13
01-09-2025,Manipur,Imphal East,795116,2,8
01-09-2025,Manipur,Imphal East,795130,1,5
01-09-2025,Manipur,Imphal West,795009,4,26
01-09-2025,Manipur,Imphal West,795132,6,11
01-09-2025,Manipur,Imphal West,795146,3,36
01-09-2025,Manipur,Jiribam,795116,6,23
01-09-2025,Manipur,Senapati,795118,1,1
01-09-2025,Manipur,Senapati,795122,4,5
01-09-2025,Manipur,Tamenglong,795126,0,8
01-09-2025,Manipur,Tamenglong,795141,2,13
01-09-2025,Manipur,Tamenglong,795146,0,1
01-09-2025,Manipur,Thoubal,795138,5,81
01-09-2025,Manipur,Thoubal,795148,9,115
01-09-2025,Manipur,Thoubal,795149,1,28
01-09-2025,Manipur,Ukhrul,795010,0,5
01-09-2025,Manipur,Ukhrul,795143,0,2
01-09-2025,Manipur,Ukhrul,795145,2,11
02-09-2025,Manipur,Bishnupur,795133,13,175
02-09-2025,Manipur,Imphal East,795115,0,4
02-09-2025,Manipur,Imphal West,795134,1,14
02-09-2025,Manipur,Tamenglong,795159,2,2
02-09-2025,Manipur,Thoubal,795132,2,9
02-09-2025,Manipur,Thoubal,795135,0,1
02-09-2025,Manipur,Thoubal,795149,3,19
02-09-2025,Manipur,Ukhrul,795149,0,5
03-09-2025,Manipur,Bishnupur,795101,0,1
03-09-2025,Manipur,Chandel,795127,0,5
03-09-2025,Manipur,Churachandpur,795117,0,6
03-09-2025,Manipur,Churachandpur,795124,0,5
03-09-2025,Manipur,Churachandpur,795126,0,1
03-09-2025,Manipur,Imphal East,795008,9,51
03-09-2025,Manipur,Imphal East,795116,1,8
03-09-2025,Manipur,Senapati,795015,3,11
03-09-2025,Manipur,Senapati,795104,2,10
03-09-2025,Manipur,Senapati,795107,1,5
03-09-2025,Manipur,Senapati,795113,0,4
03-09-2025,Manipur,Senapati,795126,0,2
03-09-2025,Manipur,Senapati,795129,1,4
03-09-2025,Manipur,Tamenglong,795115,0,1
03-09-2025,Manipur,Thoubal,795148,9,154
05-09-2025,Manipur,Chandel,795127,0,1
05-09-2025,Manipur,Imphal East,795008,9,31
05-09-2025,Manipur,Imphal West,795003,3,7
05-09-2025,Manipur,Imphal West,795136,2,15
05-09-2025,Manipur,Imphal West,795140,1,5
05-09-2025,Manipur,Senapati,795112,1,2
05-09-2025,Manipur,Senapati,795118,3,12
05-09-2025,Manipur,Senapati,795129,3,9
05-09-2025,Manipur,Tamenglong,795126,2,0
05-09-2025,Manipur,Thoubal,795103,8,53
05-09-2025,Manipur,Ukhrul,795144,0,1
04-09-2025,Manipur,Chandel,795102,2,6
04-09-2025,Manipur,Churachandpur,795158,0,1
04-09-2025,Manipur,Imphal East,795003,2,12
04-09-2025,Manipur,Imphal West,795140,1,5
04-09-2025,Manipur,Senapati,795010,2,1
04-09-2025,Manipur,Senapati,795106,3,3
04-09-2025,Manipur,Senapati,795129,2,11
04-09-2025,Manipur,Senapati,795134,2,1
04-09-2025,Manipur,Tamenglong,795141,3,12
04-09-2025,Manipur,Thoubal,795149,3,10
04-09-2025,Manipur,Ukhrul,795145,4,14
07-09-2025,Manipur,Bishnupur,795126,0,4
07-09-2025,Manipur,Chandel,795127,0,1
07-09-2025,Manipur,Chandel,795131,1,1
07-09-2025,Manipur,Churachandpur,795006,0,2
07-09-2025,Manipur,Imphal East,795003,0,4
07-09-2025,Manipur,Imphal East,795008,2,20
07-09-2025,Manipur,Imphal East,795138,1,45
07-09-2025,Manipur,Imphal West,795001,3,11
07-09-2025,Manipur,Imphal West,795113,3,5
07-09-2025,Manipur,Senapati,795002,0,1
07-09-2025,Manipur,Senapati,795107,0,1
07-09-2025,Manipur,Senapati,795129,0,1
07-09-2025,Manipur,Tamenglong,795141,0,2
07-09-2025,Manipur,Thoubal,795101,1,3
07-09-2025,Manipur,Thoubal,795103,11,18
07-09-2025,Manipur,Thoubal,795132,2,2
07-09-2025,Manipur,Thoubal,795138,6,63
06-09-2025,Manipur,Bishnupur,795126,1,21
06-09-2025,Manipur,Chandel,795103,1,1
06-09-2025,Manipur,Chandel,795131,2,4
06-09-2025,Manipur,Churachandpur,795101,1,1
06-09-2025,Manipur,Churachandpur,795117,5,4
06-09-2025,Manipur,Churachandpur,795133,1,0
06-09-2025,Manipur,Churachandpur,795143,1,4
06-09-2025,Manipur,Imphal East,795002,2,14
06-09-2025,Manipur,Imphal East,795008,6,22
06-09-2025,Manipur,Imphal East,795116,3,11
06-09-2025,Manipur,Imphal West,795002,1,5
06-09-2025,Manipur,Imphal West,795008,3,6
06-09-2025,Manipur,Imphal West,795134,1,9
06-09-2025,Manipur,Jiribam,795115,2,2
06-09-2025,Manipur,Senapati,795007,4,3
06-09-2025,Manipur,Senapati,795106,7,7
06-09-2025,Manipur,Senapati,795107,3,6
06-09-2025,Manipur,Senapati,795114,0,2
06-09-2025,Manipur,Senapati,795122,0,1
06-09-2025,Manipur,Senapati,795126,1,0
06-09-2025,Manipur,Tamenglong,795125,2,3
06-09-2025,Manipur,Tamenglong,795126,1,1
06-09-2025,Manipur,Thoubal,795103,7,41
06-09-2025,Manipur,Ukhrul,795145,7,10
08-09-2025,Manipur,Chandel,795101,0,3
08-09-2025,Manipur,Churachandpur,795133,0,3
08-09-2025,Manipur,Churachandpur,795139,2,6
08-09-2025,Manipur,Imphal East,795002,1,15
08-09-2025,Manipur,Imphal East,795114,4,10
08-09-2025,Manipur,Imphal West,795004,3,11
08-09-2025,Manipur,Imphal West,795146,5,18
08-09-2025,Manipur,Kakching,795135,1,1
08-09-2025,Manipur,Senapati,795015,0,7
08-09-2025,Manipur,Senapati,795106,1,7
08-09-2025,Manipur,Senapati,795146,1,3
08-09-2025,Manipur,Senapati,795150,0,9
08-09-2025,Manipur,Senapati,795159,1,2
08-09-2025,Manipur,Thoubal,795130,9,66
08-09-2025,Manipur,Thoubal,795148,11,255
08-09-2025,Manipur,Ukhrul,795144,0,1
09-09-2025,Manipur,Bishnupur,795126,8,35
09-09-2025,Manipur,Chandel,795102,0,7
09-09-2025,Manipur,Chandel,795135,1,3
09-09-2025,Manipur,Churachandpur,795116,0,2
09-09-2025,Manipur,Churachandpur,795124,1,0
09-09-2025,Manipur,Churachandpur,795133,1,3
09-09-2025,Manipur,Imphal East,795115,0,1
09-09-2025,Manipur,Imphal East,795130,0,7
09-09-2025,Manipur,Imphal East,795149,5,18
09-09-2025,Manipur,Imphal West,795001,19,44
09-09-2025,Manipur,Imphal West,795008,0,3
09-09-2025,Manipur,Imphal West,795136,3,14
09-09-2025,Manipur,Kakching,795101,0,6
09-09-2025,Manipur,Senapati,795002,0,1
09-09-2025,Manipur,Senapati,795107,4,12
09-09-2025,Manipur,Senapati,795112,3,6
09-09-2025,Manipur,Senapati,795130,0,1
09-09-2025,Manipur,Senapati,795149,0,2
