date,state,district,pincode,demo_age_5_17,demo_age_17_
15-11-2025,Meghalaya,East Garo Hills,794111,0,5
15-11-2025,Meghalaya,Ri Bhoi,781131,0,1
15-11-2025,Meghalaya,Ri Bhoi,793103,1,0
15-11-2025,Meghalaya,West Jaintia Hills,793151,0,1
16-11-2025,Meghalaya,East Garo Hills,783134,0,1
16-11-2025,Meghalaya,East Jaintia Hills,793200,1,0
16-11-2025,Meghalaya,East Khasi Hills,793022,1,1
16-11-2025,Meghalaya,Eastern West Khasi Hills,793120,0,2
16-11-2025,Meghalaya,North Garo Hills,794110,1,0
16-11-2025,Meghalaya,North Garo Hills,794112,0,2
16-11-2025,Meghalaya,West Garo Hills,794105,0,1
06-12-2025,Meghalaya,West Garo Hills,794002,0,3
06-12-2025,Meghalaya,West Garo Hills,794103,0,2
19-11-2025,Meghalaya,East Khasi Hills,793010,0,1
19-11-2025,Meghalaya,East Khasi Hills,793112,0,2
07-12-2025,Meghalaya,East Khasi Hills,793001,0,3
07-12-2025,Meghalaya,East Khasi Hills,793110,1,2
07-12-2025,Meghalaya,East Khasi Hills,793113,0,1
07-12-2025,Meghalaya,South Garo Hills,794102,3,3
07-12-2025,Meghalaya,West Garo Hills,794103,0,6
07-12-2025,Meghalaya,West Jaintia Hills,793150,0,4
08-12-2025,Meghalaya,East Khasi Hills,793019,0,1
10-12-2025,Meghalaya,Ri Bhoi,793122,0,1
09-12-2025,Meghalaya,North Garo Hills,794110,1,3
11-12-2025,Meghalaya,Eastern West Khasi Hills,793119,0,1
12-12-2025,Meghalaya,East Khasi Hills,793017,1,3
12-12-2025,Meghalaya,East Khasi Hills,793111,0,2
12-12-2025,Meghalaya,West Garo Hills,794002,0,8
14-12-2025,Meghalaya,East Khasi Hills,793002,1,5
14-12-2025,Meghalaya,East Khasi Hills,793003,1,0
14-12-2025,Meghalaya,East Khasi Hills,793015,1,1
14-12-2025,Meghalaya,Ri Bhoi,793102,3,3
14-12-2025,Meghalaya,Ri Bhoi,793103,0,1
14-12-2025,Meghalaya,Ri Bhoi,793105,1,3
14-12-2025,Meghalaya,South Garo Hills,794103,2,0
14-12-2025,Meghalaya,South West Garo Hills,794106,1,7
14-12-2025,Meghalaya,South West Garo Hills,794115,2,4
14-12-2025,Meghalaya,West Garo Hills,794001,0,2
14-12-2025,Meghalaya,West Jaintia Hills,793109,0,1
14-12-2025,Meghalaya,West Khasi Hills,793120,0,3
13-12-2025,Meghalaya,East Khasi Hills,793008,0,1
13-12-2025,Meghalaya,East Khasi Hills,793111,0,1
13-12-2025,Meghalaya,South Garo Hills,794102,0,3
13-12-2025,Meghalaya,South Garo Hills,794107,0,1
13-12-2025,Meghalaya,West Garo Hills,794001,0,1
19-12-2025,Meghalaya,Jaintia Hills,793200,0,1
19-12-2025,Meghalaya,North Garo Hills,783134,0,1
19-12-2025,Meghalaya,North Garo Hills,794110,0,1
19-12-2025,Meghalaya,South Garo Hills,794107,0,1
19-12-2025,Meghalaya,West Garo Hills,794105,0,2
18-12-2025,Meghalaya,East Khasi Hills,793108,1,0
18-12-2025,Meghalaya,Ri Bhoi,793116,1,0
20-12-2025,Meghalaya,East Khasi Hills,793001,0,3
20-12-2025,Meghalaya,East Khasi Hills,793010,0,1
20-12-2025,Meghalaya,East Khasi Hills,793110,0,2
20-12-2025,Meghalaya,West Jaintia Hills,793151,0,2
26-11-2025,Meghalaya,South Garo Hills,794114,0,1
27-11-2025,Meghalaya,East Khasi Hills,793018,0,1
21-12-2025,Meghalaya,East Khasi Hills,793016,0,1
21-12-2025,Meghalaya,South Garo Hills,794102,0,1
21-12-2025,Meghalaya,West Garo Hills,794002,1,0
21-12-2025,Meghalaya,West Garo Hills,794101,1,1
29-11-2025,Meghalaya,East Garo Hills,794002,0,1
29-11-2025,Meghalaya,East Khasi Hills,793009,0,1
29-11-2025,Meghalaya,East Khasi Hills,793111,0,1
29-11-2025,Meghalaya,East Khasi Hills,793121,0,1
29-11-2025,Meghalaya,North Garo Hills,794108,0,3
29-11-2025,Meghalaya,Ri Bhoi,793122,0,1
29-11-2025,Meghalaya,South Garo Hills,794103,0,2
29-11-2025,Meghalaya,West Garo Hills,794001,0,2
22-12-2025,Meghalaya,East Garo Hills,794111,0,1
23-12-2025,Meghalaya,East Garo Hills,794111,2,0
23-12-2025,Meghalaya,East Jaintia Hills,793160,1,0
23-12-2025,Meghalaya,South Garo Hills,794103,0,2
23-12-2025,Meghalaya,West Garo Hills,794101,1,0
24-12-2025,Meghalaya,East Khasi Hills,793011,1,1
24-12-2025,Meghalaya,East Khasi Hills,793110,1,0
24-12-2025,Meghalaya,Eastern West Khasi Hills,793120,1,1
25-12-2025,Meghalaya,East Khasi Hills,793004,1,3
25-12-2025,Meghalaya,West Garo Hills,794101,1,0
25-12-2025,Meghalaya,West Garo Hills,794109,2,2
27-12-2025,Meghalaya,East Khasi Hills,793006,0,2
27-12-2025,Meghalaya,East Khasi Hills,793121,0,4
27-12-2025,Meghalaya,North Garo Hills,794112,0,1
27-12-2025,Meghalaya,Ri Bhoi,793103,1,0
27-12-2025,Meghalaya,South Garo Hills,794114,0,1
26-12-2025,Meghalaya,East Khasi Hills,793010,1,0
26-12-2025,Meghalaya,South West Garo Hills,794106,0,4
28-12-2025,Meghalaya,East Jaintia Hills,793200,0,2
28-12-2025,Meghalaya,East Khasi Hills,793007,0,3
28-12-2025,Meghalaya,East Khasi Hills,793019,0,1
28-12-2025,Meghalaya,East Khasi Hills,793111,0,1
28-12-2025,Meghalaya,East Khasi Hills,793113,0,1
28-12-2025,Meghalaya,Eastern West Khasi Hills,793120,0,1
28-12-2025,Meghalaya,South West Garo Hills,794106,0,2
28-12-2025,Meghalaya,West Garo Hills,794103,0,1
28-12-2025,Meghalaya,West Garo Hills,794109,0,2
28-12-2025,Meghalaya,West Khasi Hills,793120,1,2
29-12-2025,Meghalaya,East Garo Hills,794111,1,2
29-12-2025,Meghalaya,East Khasi Hills,793004,0,4
29-12-2025,Meghalaya,East Khasi Hills,793110,0,1
29-12-2025,Meghalaya,South West Garo Hills,794106,1,2
29-12-2025,Meghalaya,West Jaintia Hills,793150,1,5
31-12-2025,Meghalaya,East Khasi Hills,793014,0,1
