date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Mizoram,Mamit,796441,80,171
01-03-2025,Mizoram,Mammit,796441,13,162
01-03-2025,Mizoram,Aizawl,796161,18,270
01-03-2025,Mizoram,Aizawl,796261,35,560
01-03-2025,Mizoram,Aizawl,796005,83,710
01-03-2025,Mizoram,Aizawl,796008,25,163
01-03-2025,Mizoram,Lunglei,796571,103,408
01-03-2025,Mizoram,Lunglei,796691,22,160
01-06-2025,Mizoram,Lawngtlai,796891,29,465
01-09-2025,Mizoram,Aizawl,796001,2,19
01-09-2025,Mizoram,Aizawl,796012,0,10
01-09-2025,Mizoram,Aizawl,796015,1,0
01-09-2025,Mizoram,Aizawl,796111,0,3
01-09-2025,Mizoram,Aizawl,796230,0,1
01-09-2025,Mizoram,Champhai,796310,3,10
01-09-2025,Mizoram,Champhai,796320,0,4
01-09-2025,Mizoram,Khawzawl,796310,0,1
01-09-2025,Mizoram,Kolasib,796081,2,9
01-09-2025,Mizoram,Lawngtlai,796770,0,10
01-09-2025,Mizoram,Lunglei,796710,0,1
01-09-2025,Mizoram,Mammit,796471,0,2
02-09-2025,Mizoram,Aizawl,796008,0,5
02-09-2025,Mizoram,Aizawl,796012,3,12
02-09-2025,Mizoram,Champhai,796261,0,4
02-09-2025,Mizoram,Champhai,796320,2,13
02-09-2025,Mizoram,Champhai,796370,1,0
02-09-2025,Mizoram,Hnahthial,796581,0,2
02-09-2025,Mizoram,Kolasib,796070,0,4
02-09-2025,Mizoram,Lawngtlai,796810,0,3
02-09-2025,Mizoram,Mamit,796431,0,4
02-09-2025,Mizoram,Mamit,796471,1,2
02-09-2025,Mizoram,Mammit,796471,0,4
03-09-2025,Mizoram,Aizawl,796008,1,10
03-09-2025,Mizoram,Aizawl,796009,2,15
03-09-2025,Mizoram,Aizawl,796161,0,3
03-09-2025,Mizoram,Hnahthial,796571,0,1
03-09-2025,Mizoram,Lawngtlai,796810,0,2
03-09-2025,Mizoram,Mamit,796471,0,4
03-09-2025,Mizoram,Mamit,796501,1,2
03-09-2025,Mizoram,Mammit,796441,0,3
03-09-2025,Mizoram,Saiha,796901,4,8
03-09-2025,Mizoram,Serchhip,796161,0,1
05-09-2025,Mizoram,Aizawl,796009,0,8
05-09-2025,Mizoram,Aizawl,796410,0,6
05-09-2025,Mizoram,Champhai,796321,0,6
05-09-2025,Mizoram,Lawngtlai,796901,0,1
05-09-2025,Mizoram,Lunglei,796571,0,1
05-09-2025,Mizoram,Serchhip,796181,1,0
