date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Nagaland,Niuland,797116,27,127
01-09-2025,Nagaland,Chumukedima,797103,0,3
01-09-2025,Nagaland,Kohima,797105,0,4
01-09-2025,Nagaland,Mokokchung,798613,1,2
01-09-2025,Nagaland,Mon,798621,0,12
01-09-2025,Nagaland,Niuland,797112,1,4
01-09-2025,Nagaland,Niuland,797116,0,4
01-09-2025,Nagaland,Tuensang,798601,0,1
01-09-2025,Nagaland,Tuensang,798626,1,2
02-09-2025,Nagaland,Chumukedima,797103,0,11
02-09-2025,Nagaland,Chumukedima,797106,0,1
02-09-2025,Nagaland,Chumukedima,797112,0,3
02-09-2025,Nagaland,Chumukedima,797115,0,6
02-09-2025,Nagaland,Chumukedima,797116,0,1
02-09-2025,Nagaland,Dimapur,797103,2,20
02-09-2025,Nagaland,Dimapur,797106,0,2
02-09-2025,Nagaland,Kiphire,798611,1,7
02-09-2025,Nagaland,Kohima,797001,0,9
02-09-2025,Nagaland,Mon,798602,0,17
02-09-2025,Nagaland,Mon,798622,1,11
02-09-2025,Nagaland,Noklak,798626,0,2
02-09-2025,Nagaland,Peren,797101,0,6
02-09-2025,Nagaland,Phek,797104,0,3
04-09-2025,Nagaland,Chumukedima,797115,0,2
04-09-2025,Nagaland,Kiphire,798611,0,13
04-09-2025,Nagaland,Kohima,797002,0,1
04-09-2025,Nagaland,Kohima,797105,0,3
04-09-2025,Nagaland,Kohima,797109,3,0
04-09-2025,Nagaland,Mokokchung,798601,0,21
04-09-2025,Nagaland,Noklak,798626,2,5
04-09-2025,Nagaland,Peren,797101,0,4
04-09-2025,Nagaland,Tuensang,798616,0,1
03-09-2025,Nagaland,Chumukedima,797103,0,4
03-09-2025,Nagaland,Dimapur,797106,0,7
03-09-2025,Nagaland,Dimapur,797115,0,5
03-09-2025,Nagaland,Longleng,798625,0,13
03-09-2025,Nagaland,Mon,798602,2,7
03-09-2025,Nagaland,Mon,798603,2,16
03-09-2025,Nagaland,Noklak,798626,0,4
06-09-2025,Nagaland,Dimapur,797115,3,9
06-09-2025,Nagaland,Kiphire,798611,4,5
06-09-2025,Nagaland,Kohima,797101,0,1
06-09-2025,Nagaland,Kohima,797105,0,1
06-09-2025,Nagaland,Mokokchung,798615,0,1
06-09-2025,Nagaland,Mon,798603,8,20
06-09-2025,Nagaland,Phek,797114,1,1
06-09-2025,Nagaland,Shamator,798628,0,1
05-09-2025,Nagaland,Chumukedima,797115,0,1
05-09-2025,Nagaland,Kiphire,798611,0,8
05-09-2025,Nagaland,Kohima,797001,1,8
05-09-2025,Nagaland,Kohima,797105,0,2
05-09-2025,Nagaland,Kohima,797109,0,5
05-09-2025,Nagaland,Longleng,798618,0,1
05-09-2025,Nagaland,Mokokchung,798601,0,4
05-09-2025,Nagaland,Mokokchung,798604,1,2
05-09-2025,Nagaland,Tuensang,798612,3,29
05-09-2025,Nagaland,Zunheboto,797109,0,2
05-09-2025,Nagaland,Zunheboto,798620,0,9
07-09-2025,Nagaland,Mon,798603,1,15
07-09-2025,Nagaland,Mon,798622,0,1
08-09-2025,Nagaland,Chumukedima,797115,0,2
08-09-2025,Nagaland,Dimapur,797116,2,3
08-09-2025,Nagaland,Kohima,797002,0,2
08-09-2025,Nagaland,Kohima,797003,0,2
08-09-2025,Nagaland,Kohima,797110,0,3
08-09-2025,Nagaland,Mokokchung,798604,1,6
08-09-2025,Nagaland,Mokokchung,798613,0,1
08-09-2025,Nagaland,Mon,798602,0,7
08-09-2025,Nagaland,Mon,798603,4,19
08-09-2025,Nagaland,Tuensang,798612,4,35
08-09-2025,Nagaland,Wokha,797111,0,8
08-09-2025,Nagaland,Zunheboto,797109,0,2
09-09-2025,Nagaland,Kohima,797001,2,16
09-09-2025,Nagaland,Kohima,797003,0,5
09-09-2025,Nagaland,Kohima,797109,0,2
09-09-2025,Nagaland,Longleng,798625,1,8
09-09-2025,Nagaland,Mokokchung,798613,0,4
09-09-2025,Nagaland,Mon,798621,1,10
09-09-2025,Nagaland,Phek,797108,0,7
09-09-2025,Nagaland,Phek,797114,0,2
09-09-2025,Nagaland,Wokha,797111,1,4
09-09-2025,Nagaland,Zunheboto,797109,0,3
09-09-2025,Nagaland,Zunheboto,798620,2,20
10-09-2025,Nagaland,Chumukedima,797115,1,9
10-09-2025,Nagaland,Dimapur,797106,0,1
10-09-2025,Nagaland,Kiphire,798611,2,20
10-09-2025,Nagaland,Kohima,797001,1,14
10-09-2025,Nagaland,Mon,798621,0,13
10-09-2025,Nagaland,Phek,797104,0,3
10-09-2025,Nagaland,Zunheboto,798619,0,1
11-09-2025,Nagaland,Chumukedima,797115,0,2
11-09-2025,Nagaland,Chumukedima,797116,0,2
11-09-2025,Nagaland,Dimapur,797112,1,23
11-09-2025,Nagaland,Dimapur,797116,0,5
11-09-2025,Nagaland,Kohima,797001,1,17
11-09-2025,Nagaland,Kohima,797003,1,3
