date,state,district,pincode,demo_age_5_17,demo_age_17_
11-09-2025,ODISHA,NUAPADA,766107,0,2
16-10-2025,ODISHA,NUAPADA,766118,0,1
05-11-2025,ODISHA,NUAPADA,766107,0,1
12-12-2025,ODISHA,NUAPADA,766107,0,1
17-12-2025,ODISHA,NUAPADA,766107,0,2
18-11-2025,ODISHA,NUAPADA,766118,1,0
24-11-2025,ODISHA,NUAPADA,766107,0,1
01-09-2025,ODISHA,NUAPADA,766118,0,1
05-11-2025,ODISHA,NUAPADA,766118,1,0
26-12-2025,ODISHA,NUAPADA,766107,0,1
13-12-2025,ODISHA,NUAPADA,766107,0,1
10-12-2025,ODISHA,NUAPADA,766107,0,2
17-11-2025,ODISHA,NUAPADA,766107,0,2
30-10-2025,ODISHA,NUAPADA,766107,0,1
06-12-2025,ODISHA,NUAPADA,766107,0,1
28-12-2025,ODISHA,NUAPADA,766107,0,1
27-12-2025,ODISHA,NUAPADA,766107,0,1
06-09-2025,ODISHA,NUAPADA,766107,0,1
19-09-2025,ODISHA,NUAPADA,766107,0,1
25-10-2025,ODISHA,NUAPADA,766107,0,1
05-12-2025,ODISHA,NUAPADA,766107,0,1
12-11-2025,ODISHA,NUAPADA,766107,0,2
16-09-2025,ODISHA,NUAPADA,766107,0,1
10-11-2025,ODISHA,NUAPADA,766118,1,0
06-11-2025,ODISHA,NUAPADA,766107,0,1
14-11-2025,ODISHA,NUAPADA,766107,0,1
25-12-2025,ODISHA,NUAPADA,766107,0,1
18-12-2025,ODISHA,NUAPADA,766107,0,1
14-12-2025,ODISHA,NUAPADA,766107,0,1
01-12-2025,ODISHA,NUAPADA,766107,0,3
24-10-2025,ODISHA,NUAPADA,766107,0,2
11-12-2025,ODISHA,NUAPADA,766107,0,2
04-12-2025,ODISHA,NUAPADA,766107,0,1
20-12-2025,ODISHA,NUAPADA,766107,0,1
04-11-2025,ODISHA,NUAPADA,766107,0,1
15-12-2025,ODISHA,NUAPADA,766107,0,1
11-11-2025,ODISHA,NUAPADA,766107,0,1
18-11-2025,ODISHA,NUAPADA,766107,0,1
21-11-2025,ODISHA,NUAPADA,766107,0,2
01-11-2025,ODISHA,NUAPADA,766107,0,1
03-11-2025,ODISHA,NUAPADA,766107,0,1
31-10-2025,ODISHA,NUAPADA,766107,0,1
27-11-2025,ODISHA,NUAPADA,766107,0,1
