date,state,district,pincode,demo_age_5_17,demo_age_17_
17-10-2025,Odisha,Angul,759119,3,7
17-10-2025,Odisha,Angul,759122,3,3
17-10-2025,Odisha,Angul,759123,2,3
17-10-2025,Odisha,Angul,759126,3,14
17-10-2025,Odisha,Angul,759130,1,4
17-10-2025,Odisha,Anugul,759118,1,3
17-10-2025,Odisha,Balangir,767001,0,16
17-10-2025,Odisha,Balangir,767041,1,2
17-10-2025,Odisha,Baleshwar,756019,0,6
17-10-2025,Odisha,Baleshwar,756023,0,3
17-10-2025,Odisha,Baleshwar,756034,0,2
17-10-2025,Odisha,Baleshwar,756059,0,3
17-10-2025,Odisha,Baleshwar,756081,0,4
17-10-2025,Odisha,Baleshwar,756166,0,1
17-10-2025,Odisha,Baleshwar,756168,0,2
17-10-2025,Odisha,Baleswar,756021,1,5
17-10-2025,Odisha,Baleswar,756027,5,5
17-10-2025,Odisha,Baleswar,756030,1,3
17-10-2025,Odisha,Baleswar,756032,3,18
17-10-2025,Odisha,Baleswar,756036,1,9
17-10-2025,Odisha,Baleswar,756037,0,2
17-10-2025,Odisha,Baleswar,756041,3,8
17-10-2025,Odisha,Baleswar,756056,0,2
17-10-2025,Odisha,Baleswar,756060,1,2
17-10-2025,Odisha,Baleswar,756084,0,1
17-10-2025,Odisha,Baleswar,756134,2,3
17-10-2025,Odisha,Baleswar,756182,1,3
17-10-2025,Odisha,Bargarh,768027,7,23
17-10-2025,Odisha,Bargarh,768103,0,3
17-10-2025,Odisha,Baudh,762017,0,2
17-10-2025,Odisha,Bhadrak,756046,1,0
17-10-2025,Odisha,Bhadrak,756163,0,3
17-10-2025,Odisha,Bhadrak,756165,0,2
17-10-2025,Odisha,Bhadrak,756171,3,2
17-10-2025,Odisha,Boudh,760020,1,1
17-10-2025,Odisha,Boudh,762012,1,2
17-10-2025,Odisha,Boudh,762014,10,10
17-10-2025,Odisha,Boudh,762023,0,1
17-10-2025,Odisha,Cuttack,753002,0,2
17-10-2025,Odisha,Cuttack,753003,1,3
17-10-2025,Odisha,Cuttack,754004,3,4
17-10-2025,Odisha,Cuttack,754009,1,2
17-10-2025,Odisha,Cuttack,754029,3,7
17-10-2025,Odisha,Cuttack,754109,0,2
17-10-2025,Odisha,Cuttack,754132,0,1
17-10-2025,Odisha,Cuttack,754200,5,15
17-10-2025,Odisha,Cuttack,754201,1,8
17-10-2025,Odisha,Cuttack,754221,0,5
17-10-2025,Odisha,Cuttack,754293,3,6
17-10-2025,Odisha,Dhenkanal,759020,6,8
17-10-2025,Odisha,Dhenkanal,759023,0,6
17-10-2025,Odisha,Dhenkanal,759025,0,4
17-10-2025,Odisha,Dhenkanal,759026,3,4
17-10-2025,Odisha,Dhenkanal,759028,12,20
17-10-2025,Odisha,Dhenkanal,759120,6,31
17-10-2025,Odisha,Gajapati,761016,8,26
17-10-2025,Odisha,Gajapati,761017,3,21
17-10-2025,Odisha,Gajapati,761207,6,10
17-10-2025,Odisha,Gajapati,761208,0,4
17-10-2025,Odisha,Ganjam,760001,2,11
17-10-2025,Odisha,Ganjam,760004,2,1
17-10-2025,Odisha,Ganjam,760009,0,4
17-10-2025,Odisha,Ganjam,761010,4,2
17-10-2025,Odisha,Ganjam,761013,1,3
17-10-2025,Odisha,Ganjam,761035,1,11
17-10-2025,Odisha,Ganjam,761054,1,4
17-10-2025,Odisha,Ganjam,761102,4,1
17-10-2025,Odisha,Ganjam,761105,2,21
17-10-2025,Odisha,Ganjam,761106,1,15
17-10-2025,Odisha,Ganjam,761114,0,1
17-10-2025,Odisha,Ganjam,761125,0,7
17-10-2025,Odisha,Ganjam,761126,0,6
17-10-2025,Odisha,Ganjam,761141,0,3
17-10-2025,Odisha,Ganjam,761143,0,2
17-10-2025,Odisha,JAJPUR,754292,0,2
17-10-2025,Odisha,JAJPUR,755005,1,5
17-10-2025,Odisha,JAJPUR,755008,2,3
17-10-2025,Odisha,JAJPUR,755011,0,4
17-10-2025,Odisha,JAJPUR,755019,1,7
17-10-2025,Odisha,JAJPUR,755027,2,0
17-10-2025,Odisha,JAJPUR,755043,0,3
17-10-2025,Odisha,Jagatsinghapur,754107,0,1
17-10-2025,Odisha,Jagatsinghapur,754119,0,4
17-10-2025,Odisha,Jagatsinghpur,754106,0,3
17-10-2025,Odisha,Jagatsinghpur,754111,0,2
17-10-2025,Odisha,Jagatsinghpur,754138,0,7
17-10-2025,Odisha,Jagatsinghpur,754141,0,13
17-10-2025,Odisha,Jajapur,754024,0,2
17-10-2025,Odisha,Jajapur,754205,1,1
