date,state,district,pincode,demo_age_5_17,demo_age_17_
01-09-2025,Orissa,Balangir,767061,0,1
01-09-2025,Orissa,Baleshwar,756003,1,0
01-09-2025,Orissa,Baleshwar,756036,0,4
01-09-2025,Orissa,Baleshwar,756046,1,1
01-09-2025,Orissa,Baleshwar,756126,0,2
01-09-2025,Orissa,Bargarh,768111,0,1
01-09-2025,Orissa,Bhadrak,756100,0,10
01-09-2025,Orissa,Bhadrak,756123,0,1
01-09-2025,Orissa,Bhadrak,756127,0,1
01-09-2025,Orissa,Bhadrak,756131,0,5
01-09-2025,Orissa,Cuttack,753008,0,2
01-09-2025,Orissa,Cuttack,753009,0,1
01-09-2025,Orissa,Cuttack,754105,0,1
01-09-2025,Orissa,Dhenkanal,759001,0,2
01-09-2025,Orissa,Dhenkanal,759013,0,3
01-09-2025,Orissa,Dhenkanal,759025,0,2
01-09-2025,Orissa,Ganjam,760009,0,1
01-09-2025,Orissa,Ganjam,761001,0,2
01-09-2025,Orissa,Ganjam,761041,0,2
01-09-2025,Orissa,Ganjam,761045,1,0
01-09-2025,Orissa,Kandhamal,762001,0,1
01-09-2025,Orissa,Kandhamal,762100,0,1
01-09-2025,Orissa,Kandhamal,762103,0,1
01-09-2025,Orissa,Kandhamal,762112,0,1
02-09-2025,Orissa,Balangir,767001,0,9
02-09-2025,Orissa,Balangir,767016,0,0
02-09-2025,Orissa,Balangir,767030,0,4
02-09-2025,Orissa,Balangir,767037,0,6
02-09-2025,Orissa,Balangir,767061,0,1
02-09-2025,Orissa,Baleshwar,756019,0,2
02-09-2025,Orissa,Bargarh,768027,0,1
02-09-2025,Orissa,Bargarh,768038,0,4
02-09-2025,Orissa,Bargarh,768104,1,1
02-09-2025,Orissa,Bhadrak,756127,0,2
02-09-2025,Orissa,Cuttack,753004,0,1
02-09-2025,Orissa,Cuttack,753007,0,2
02-09-2025,Orissa,Cuttack,753008,0,1
02-09-2025,Orissa,Cuttack,754004,0,2
02-09-2025,Orissa,Cuttack,754028,0,1
02-09-2025,Orissa,Dhenkanal,759001,0,2
02-09-2025,Orissa,Dhenkanal,759019,0,1
02-09-2025,Orissa,Ganjam,760006,0,3
02-09-2025,Orissa,Ganjam,760010,0,3
02-09-2025,Orissa,Ganjam,761019,0,1
02-09-2025,Orissa,Ganjam,761020,1,13
02-09-2025,Orissa,Jagatsinghapur,754104,0,1
02-09-2025,Orissa,Jajapur,755008,0,3
02-09-2025,Orissa,Kendujhar,758044,0,1
02-09-2025,Orissa,Khordha,751010,0,1
02-09-2025,Orissa,Khordha,751017,0,1
02-09-2025,Orissa,Khordha,752035,0,2
02-09-2025,Orissa,Khordha,752103,0,5
02-09-2025,Orissa,Koraput,764004,0,1
02-09-2025,Orissa,Puri,752105,0,1
02-09-2025,Orissa,Puri,752106,0,10
02-09-2025,Orissa,Puri,752109,0,3
02-09-2025,Orissa,Puri,752111,0,3
02-09-2025,Orissa,Puri,752118,0,1
02-09-2025,Orissa,Sundargarh,769004,0,3
01-09-2025,Orissa,Kendujhar,756121,0,1
01-09-2025,Orissa,Khordha,751007,0,2
01-09-2025,Orissa,Khordha,751013,0,3
01-09-2025,Orissa,Khordha,752035,0,3
01-09-2025,Orissa,Khordha,752054,0,3
01-09-2025,Orissa,Koraput,764001,1,5
01-09-2025,Orissa,Koraput,764011,0,2
01-09-2025,Orissa,Nayagarh,752077,0,2
