date,state,district,pincode,demo_age_5_17,demo_age_17_
01-09-2025,Pondicherry,Karaikal,609601,1,2
01-09-2025,Pondicherry,Karaikal,609602,0,6
01-09-2025,Pondicherry,Karaikal,609604,0,2
01-09-2025,Pondicherry,Karaikal,609609,0,3
01-09-2025,Pondicherry,Pondicherry,605003,1,9
01-09-2025,Pondicherry,Pondicherry,605013,0,6
01-09-2025,Pondicherry,Pondicherry,605102,0,2
01-09-2025,Pondicherry,Pondicherry,607402,0,6
01-09-2025,Pondicherry,Yanam,533464,0,8
02-09-2025,Pondicherry,Karaikal,609602,0,4
02-09-2025,Pondicherry,Karaikal,609609,0,1
02-09-2025,Pondicherry,Pondicherry,605007,0,9
02-09-2025,Pondicherry,Pondicherry,605010,0,5
02-09-2025,Pondicherry,Pondicherry,605011,1,4
02-09-2025,Pondicherry,Pondicherry,605012,1,2
02-09-2025,Pondicherry,Pondicherry,605102,0,1
02-09-2025,Pondicherry,Pondicherry,605105,0,2
02-09-2025,Pondicherry,Pondicherry,673310,0,2
03-09-2025,Pondicherry,Karaikal,609601,0,1
03-09-2025,Pondicherry,Karaikal,609603,0,1
03-09-2025,Pondicherry,Pondicherry,605001,0,5
03-09-2025,Pondicherry,Pondicherry,605005,0,1
03-09-2025,Pondicherry,Pondicherry,605006,0,1
03-09-2025,Pondicherry,Pondicherry,605007,0,14
03-09-2025,Pondicherry,Pondicherry,605008,0,9
03-09-2025,Pondicherry,Pondicherry,605102,0,1
03-09-2025,Pondicherry,Pondicherry,605107,0,2
05-09-2025,Pondicherry,Karaikal,609602,0,1
05-09-2025,Pondicherry,Karaikal,609606,0,1
05-09-2025,Pondicherry,Pondicherry,605008,0,1
05-09-2025,Pondicherry,Pondicherry,605009,0,2
05-09-2025,Pondicherry,Pondicherry,605502,0,1
04-09-2025,Pondicherry,Karaikal,609605,0,3
04-09-2025,Pondicherry,Pondicherry,605008,0,4
04-09-2025,Pondicherry,Pondicherry,605012,0,1
04-09-2025,Pondicherry,Pondicherry,605502,0,3
